SET Symbol,ISIN CODE,บริษัท,ประเภทหลักทรัพย์,วันที่มีผล,ราคาพาร์เก่า,ราคาพาร์ใหม่,"ประเภท
การเปลี่ยนพาร์ ",,,
     APEX,TH0211B10Z07,บริษัท เอเพ็กซ์ ดีเวลลอปเม้นท์ จำกัด (มหาชน),หุ้นสามัญ,10 พ.ย. 2560,2.50,1.00,Par Change,,,
     APEX,TH0211B10Z07,บริษัท เอเพ็กซ์ ดีเวลลอปเม้นท์ จำกัด (มหาชน),หุ้นสามัญ,10 พ.ย. 2560,1.00,0.50,Par Change,,,
     SEAFCO,TH0780010Z07,บริษัท ซีฟโก้ จำกัด (มหาชน),หุ้นสามัญ,27 ต.ค. 2560,1.00,0.50,Par Change,,,
     POMPUI,TH0524010Z09,บริษัท ผลิตภัณฑ์อาหารกว้างไพศาล จำกัด (มหาชน),หุ้นสามัญ,16 ต.ค. 2560,10.00,1.00,Par Change,,,
     NFC,TH0586C10Z03,บริษัท เอ็นเอฟซี จำกัด (มหาชน),หุ้นสามัญ,13 ก.ย. 2560,1.00,0.16,Par Change,,,
     NFC,TH0586C10Z03,บริษัท เอ็นเอฟซี จำกัด (มหาชน),หุ้นสามัญ,13 ก.ย. 2560,0.16,0.50,Par Change,,,
     NFC,TH0586C10Z03,บริษัท เอ็นเอฟซี จำกัด (มหาชน),หุ้นสามัญ,13 ก.ย. 2560,0.50,1.25,Par Change,,,
     NFC,TH0586C10Z03,บริษัท เอ็นเอฟซี จำกัด (มหาชน),หุ้นสามัญ,13 ก.ย. 2560,1.25,0.75,Par Change,,,
     SSSC,TH0547010Z00  ,บริษัท ศูนย์บริการเหล็กสยาม จำกัด (มหาชน),หุ้นสามัญ,29 พ.ค. 2560,10.00,1.00,Par Change,,,
     TBSP,TH0476010Z02  ,บริษัท ไทย บริติช ซีเคียวริตี้ พริ้นติ้ง จำกัด (มหาชน),หุ้นสามัญ,27 เม.ย. 2560,10.00,1.00,Par Change,,,
     AOT,TH0765010Z08  ,บริษัท ท่าอากาศยานไทย จำกัด (มหาชน),หุ้นสามัญ,9 ก.พ. 2560,10.00,1.00,Par Change,,,
     SGF,TH0107B10Z04  ,บริษัท เอสจีเอฟ แคปปิตอล จำกัด (มหาชน),หุ้นสามัญ,12 ก.ค. 2559,1.00,0.25,Par Change,,,
     SGF,TH0107B10Z04  ,บริษัท เอสจีเอฟ แคปปิตอล จำกัด (มหาชน),หุ้นสามัญ,12 ก.ค. 2559,0.25,0.50,Par Change,,,
     CMR,TH0432010Z05  ,บริษัท เชียงใหม่รามธุรกิจการแพทย์ จำกัด (มหาชน),หุ้นสามัญ,8 มิ.ย. 2559,10.00,0.10,Par Change,,,
     SMK,TH0239A10Z06  ,บริษัท สินมั่นคงประกันภัย จำกัด (มหาชน),หุ้นสามัญ,24 พ.ค. 2559,10.00,1.00,Par Change,,,
     DTC,TH0007A10Z06  ,บริษัท ดุสิตธานี จำกัด (มหาชน),หุ้นสามัญ,23 พ.ค. 2559,10.00,1.00,Par Change,,,
     TWP,TH0163010Z06  ,บริษัท ไทยไวร์โพรดัคท์ จำกัด (มหาชน),หุ้นสามัญ,16 พ.ค. 2559,10.00,1.00,Par Change,,,
     WORLD,TH0430A10Z03,บริษัท เวิลด์ คอร์ปอเรชั่น จำกัด (มหาชน),หุ้นสามัญ,1 ก.พ. 2559,10.00,0.10,Par Change,,,
     WORLD,TH0430A10Z03,บริษัท เวิลด์ คอร์ปอเรชั่น จำกัด (มหาชน),หุ้นสามัญ,1 ก.พ. 2559,0.10,0.50,Par Change,,,
     PAF,TH0112A10Z08  ,บริษัท แพนเอเซียฟุตแวร์ จำกัด (มหาชน),หุ้นสามัญ,30 ธ.ค. 2558,5.00,0.51,Par Change,,,
     SGF-P1,TH0107A20Z03  ,บริษัท เอสจีเอฟ แคปปิตอล จำกัด (มหาชน),หุ้นบุริมสิทธิ,30 ต.ค. 2558,1.00,0.25,Par Change,,,
     SGF-P1,TH0107A20Z03  ,บริษัท เอสจีเอฟ แคปปิตอล จำกัด (มหาชน),หุ้นบุริมสิทธิ,30 ต.ค. 2558,0.25,0.50,Par Change,,,
     SAFARI,TH0469A10Z07  ,บริษัท ซาฟารีเวิลด์ จำกัด (มหาชน),หุ้นสามัญ,27 ต.ค. 2558,5.00,1.00,Par Change,,,
