Date,Open,High,Low,Close,Adj Close,Volume
2013-08-09,3.92,3.96,2.66,2.88,2.522735,507144900
2013-08-13,2.88,2.88,2.28,2.28,1.997165,124383100
2013-08-14,2.28,2.36,2.08,2.14,1.8745319999999999,51306500
2013-08-15,2.16,2.26,2.1,2.14,1.8745319999999999,38304400
2013-08-16,2.12,2.34,2.12,2.28,1.997165,71065000
2013-08-19,2.24,2.24,2.02,2.02,1.769418,30897800
2013-08-20,1.99,1.99,1.91,1.95,1.708102,14632600
2013-08-21,1.94,2.04,1.94,1.98,1.73438,17470700
2013-08-22,1.96,1.98,1.93,1.95,1.708102,10351300
2013-08-23,2.0,2.04,1.87,1.87,1.638026,14486300
2013-08-26,1.9,1.92,1.63,1.64,1.4365569999999999,42246500
2013-08-27,1.64,1.64,1.47,1.48,1.296405,9388800
2013-08-28,1.43,1.48,1.39,1.45,1.270127,7259000
2013-08-29,1.47,1.56,1.46,1.52,1.331443,8614200
2013-08-30,1.53,1.53,1.49,1.5,1.3139239999999999,2905900
2013-09-02,1.51,1.56,1.51,1.56,1.366481,3473200
2013-09-03,1.56,1.6,1.48,1.48,1.296405,5116300
2013-09-04,1.49,1.51,1.45,1.47,1.2876459999999998,2476000
2013-09-05,1.49,1.53,1.49,1.49,1.305165,4490000
2013-09-06,1.51,1.93,1.5,1.93,1.6905830000000002,114804300
2013-09-09,1.98,2.3,1.97,2.08,1.821975,158019900
2013-09-10,2.16,2.18,1.85,1.86,1.6292659999999999,44697000
2013-09-11,1.91,1.96,1.86,1.9,1.664304,16983600
2013-09-12,1.93,2.2,1.9,1.97,1.7256209999999998,69342300
2013-09-13,2.0,2.02,1.95,1.97,1.7256209999999998,12623400
2013-09-16,1.99,2.12,1.98,2.12,1.857013,22155800
2013-09-17,2.08,2.14,2.02,2.04,1.786937,19380000
2013-09-18,2.08,2.08,2.0,2.0,1.751899,10599200
2013-09-19,2.06,2.06,2.0,2.02,1.769418,10511600
2013-09-20,2.04,2.28,2.02,2.18,1.90957,134697000
2013-09-23,2.14,2.16,1.9,1.91,1.696409,40634800
2013-09-24,1.92,2.02,1.87,1.9,1.687527,29133100
2013-09-25,1.93,1.96,1.9,1.93,1.714172,9842800
2013-09-26,1.93,2.2,1.92,2.02,1.7941080000000003,72322700
2013-09-27,2.08,2.18,1.98,2.02,1.7941080000000003,43147600
2013-09-30,1.98,2.28,1.98,2.22,1.9717419999999999,157415900
2013-10-01,2.24,2.6,2.24,2.34,2.078323,277307500
2013-10-02,2.28,2.4,2.22,2.22,1.9717419999999999,56738900
2013-10-03,2.24,2.28,2.2,2.22,1.9717419999999999,22855900
2013-10-04,2.22,2.34,2.22,2.26,2.007269,35636500
2013-10-07,2.26,2.44,2.26,2.28,2.025032,55453300
2013-10-08,2.32,2.36,2.26,2.3,2.042796,18785800
2013-10-09,2.3,2.32,2.22,2.22,1.9717419999999999,9249700
2013-10-10,2.24,2.26,2.22,2.24,1.9895049999999999,6452500
2013-10-11,2.26,2.3,2.22,2.22,1.9717419999999999,4919200
2013-10-14,2.22,2.24,2.2,2.2,1.9539790000000001,2034800
2013-10-15,2.2,2.26,2.2,2.2,1.9539790000000001,6102100
2013-10-16,2.22,2.22,2.12,2.14,1.9006880000000002,5959600
2013-10-17,2.16,2.24,2.14,2.18,1.9362150000000002,6368800
2013-10-18,2.2,2.26,2.2,2.22,1.9717419999999999,5765000
2013-10-21,2.22,2.22,2.14,2.14,1.9006880000000002,4369400
2013-10-22,2.2,2.2,2.14,2.18,1.9362150000000002,1588400
2013-10-24,2.18,2.22,2.14,2.22,1.9717419999999999,4852800
2013-10-25,2.22,2.26,2.16,2.16,1.918452,3863500
2013-10-28,2.18,2.2,2.14,2.16,1.918452,1345100
2013-10-29,2.18,2.18,2.12,2.12,1.882925,1766800
2013-10-30,2.12,2.12,2.02,2.06,1.829634,3604500
2013-10-31,2.04,2.06,2.02,2.04,1.811871,2052200
2013-11-01,2.04,2.08,2.02,2.04,1.811871,3543200
2013-11-04,2.04,2.06,2.0,2.0,1.776344,2804600
2013-11-05,2.0,2.08,2.0,2.04,1.811871,3342700
2013-11-06,2.04,2.12,2.04,2.1,1.865161,2333000
2013-11-07,2.08,2.14,2.04,2.04,1.811871,3302600
2013-11-08,2.04,2.1,2.04,2.04,1.811871,3474500
2013-11-11,2.02,2.06,2.02,2.04,1.811871,679100
2013-11-12,2.06,2.22,2.06,2.12,1.882925,5987600
2013-11-13,2.12,2.14,2.08,2.1,1.865161,930100
2013-11-14,2.12,2.16,2.1,2.1,1.865161,1419300
2013-11-15,2.12,2.12,2.06,2.08,1.8473979999999999,940800
2013-11-18,2.1,2.14,2.06,2.1,1.865161,3939800
