Date,Open,High,Low,Close,Adj Close,Volume
2000-01-11,0.55,0.555,0.55,0.555,-0.052325,3132428
2000-01-12,0.54,0.54,0.53,0.53,-0.049968,4501705
2000-01-13,0.53,0.53,0.485,0.52,-0.049025,1500564
2000-01-14,0.54,0.55,0.54,0.55,-0.051854,1500564
2000-01-21,0.55,0.555,0.55,0.555,-0.052325,3751417
2000-01-25,0.555,0.565,0.555,0.565,-0.053267999999999996,412650
2000-02-01,0.55,0.675,0.55,0.6,-0.05656799999999999,4295367
2000-02-03,0.595,0.595,0.585,0.585,-0.055153999999999995,4314130
2000-02-08,0.61,0.61,0.575,0.575,-0.054211,3938992
2000-02-29,0.55,0.61,0.55,0.61,-0.057511,2063277
2000-03-02,0.51,0.52,0.51,0.52,-0.049025,637738
2000-03-03,0.51,0.52,0.51,0.52,-0.049025,300113
2000-03-21,0.53,0.54,0.53,0.54,-0.050911,1012875
2000-03-22,0.55,0.55,0.54,0.55,-0.051854,581476
2000-03-29,0.55,0.6,0.55,0.6,-0.05656799999999999,2157065
2000-03-31,0.565,0.6,0.565,0.6,-0.05656799999999999,2063277
2000-05-02,0.42,0.655,0.42,0.655,-0.370519,2569715
2000-05-08,0.655,0.655,0.5,0.5,-0.282839,1913228
2000-05-09,0.585,0.595,0.54,0.54,-0.30546599999999996,3751417
2000-05-11,0.445,0.575,0.445,0.575,-0.325265,731526
2000-05-24,0.5,0.5,0.495,0.495,-0.28001,2344640
2000-05-25,0.51,0.51,0.5,0.5,-0.282839,3169940
2000-05-30,0.495,0.565,0.495,0.565,-0.319608,2532202
2000-06-02,0.555,0.585,0.55,0.585,-0.330921,2250853
2000-06-08,0.51,0.565,0.51,0.55,-0.311123,281350
2000-07-11,0.445,0.495,0.445,0.495,-0.28001,187576
2000-08-30,0.475,0.485,0.465,0.485,-0.274354,6189831
2000-08-31,0.475,0.475,0.465,0.465,-0.26304,6264870
2000-09-07,0.455,0.475,0.455,0.475,-0.26869699999999996,1538076
2000-10-05,0.455,0.455,0.445,0.445,-0.251727,92622462
2000-10-13,0.39,0.44,0.39,0.44,-0.248898,37512
2000-10-31,0.4,0.4,0.39,0.4,-0.226271,7146445
2000-11-02,0.39,0.39,0.385,0.385,-0.217786,8121822
2000-11-03,0.375,0.375,0.36,0.365,-0.206472,26184878
2000-11-06,0.365,0.365,0.36,0.365,-0.206472,11479338
2000-11-08,0.365,0.365,0.36,0.365,-0.206472,17875494
2000-11-10,0.36,0.365,0.36,0.365,-0.206472,15005666
2000-11-15,0.365,0.365,0.355,0.355,-0.200816,14911879
2000-11-16,0.36,0.36,0.355,0.355,-0.200816,2063277
2000-11-20,0.355,0.36,0.355,0.36,-0.203644,2063277
2000-11-23,0.36,0.36,0.355,0.355,-0.200816,3001128
2000-11-27,0.365,0.365,0.36,0.365,-0.206472,3938992
2000-12-01,0.365,0.365,0.36,0.365,-0.206472,2494690
2000-12-18,0.355,0.355,0.35,0.35,-0.197987,11366787
2000-12-19,0.345,0.36,0.345,0.345,-0.195159,7540346
2000-12-25,0.34,0.345,0.34,0.345,-0.195159,393901
2001-01-10,0.35,0.35,0.345,0.345,-0.195159,2250853
2001-01-11,0.345,0.35,0.345,0.345,-0.195159,9659898
2001-01-15,0.345,0.35,0.345,0.35,-0.197987,1050402
2001-01-16,0.35,0.36,0.345,0.345,-0.195159,1781927
2001-01-17,0.34,0.355,0.335,0.355,-0.200816,900338
2001-01-24,0.35,0.355,0.35,0.355,-0.200816,1031639
2001-01-25,0.355,0.36,0.35,0.36,-0.203644,4089042
2001-01-26,0.355,0.355,0.35,0.35,-0.197987,2719778
2001-02-01,0.35,0.36,0.35,0.355,-0.200816,11798200
2001-02-05,0.355,0.355,0.35,0.35,-0.197987,4501705
2001-02-06,0.355,0.36,0.355,0.36,-0.203644,956614
2001-02-07,0.345,0.35,0.345,0.345,-0.195159,8909609
2001-02-09,0.35,0.35,0.34,0.34,-0.19233,17237756
2001-02-14,0.335,0.34,0.335,0.34,-0.19233,11385550
2001-02-15,0.34,0.355,0.335,0.355,-0.200816,8834584
2001-02-16,0.34,0.345,0.335,0.34,-0.19233,26484990
2001-02-19,0.34,0.35,0.33,0.335,-0.189502,12435938
2001-02-21,0.34,0.34,0.33,0.33,-0.186674,28773355
2001-02-22,0.335,0.335,0.33,0.33,-0.186674,600226
2001-02-23,0.335,0.34,0.335,0.34,-0.19233,1144176
2001-02-26,0.33,0.335,0.33,0.335,-0.189502,25509627
2001-02-27,0.34,0.34,0.335,0.335,-0.189502,3019891
2001-02-28,0.34,0.34,0.33,0.33,-0.186674,62667405
2001-03-01,0.33,0.33,0.32,0.32,-0.181017,26147365
2001-03-02,0.335,0.34,0.32,0.32,-0.181017,61429428
2001-03-05,0.325,0.34,0.325,0.33,-0.186674,1031639
2001-03-06,0.33,0.34,0.33,0.34,-0.19233,18813345
2001-03-07,0.335,0.335,0.33,0.33,-0.186674,32374722
2001-03-08,0.33,0.33,0.325,0.33,-0.186674,18325670
2001-03-12,0.33,0.335,0.33,0.335,-0.189502,937851
2001-03-14,0.335,0.335,0.33,0.335,-0.189502,4670518
2001-03-15,0.33,0.345,0.33,0.345,-0.195159,16093580
2001-03-16,0.35,0.36,0.35,0.355,-0.200816,24684314
2001-03-19,0.355,0.355,0.345,0.345,-0.195159,2719778
2001-03-20,0.345,0.35,0.34,0.345,-0.195159,54132933
2001-03-21,0.345,0.345,0.34,0.345,-0.195159,21045448
2001-03-22,0.345,0.345,0.34,0.34,-0.19233,10635261
2001-03-29,0.345,0.355,0.345,0.355,-0.200816,21758211
2001-03-30,0.355,0.355,0.345,0.355,-0.200816,8853348
2001-04-03,0.32,0.325,0.32,0.32,0.099629,4689267
2001-04-04,0.32,0.32,0.315,0.32,0.099629,6602495
2001-04-05,0.315,0.32,0.315,0.32,0.099629,206325
2001-04-09,0.315,0.325,0.315,0.325,0.101186,1538076
2001-04-12,0.32,0.33,0.32,0.33,0.102743,10522724
2001-04-17,0.325,0.33,0.325,0.33,0.102743,581476
2001-04-19,0.33,0.34,0.33,0.33,0.102743,5645881
2001-04-30,0.33,0.335,0.33,0.335,0.1043,431413
2001-05-04,0.34,0.345,0.335,0.34,0.10585599999999999,47830551
2001-05-14,0.34,0.34,0.335,0.335,0.1043,937851
2001-05-15,0.34,0.34,0.335,0.34,0.10585599999999999,5420793
2001-05-16,0.345,0.35,0.345,0.35,0.10897000000000001,30799120
2001-05-17,0.35,0.35,0.345,0.35,0.10897000000000001,7146445
2001-05-18,0.35,0.35,0.345,0.345,0.10741300000000001,8928372
2001-05-21,0.35,0.36,0.345,0.36,0.11208299999999999,17762957
2001-05-22,0.365,0.42,0.365,0.42,0.13076400000000002,90615447
2001-05-23,0.42,0.455,0.42,0.43,0.133877,63736556
2001-05-24,0.44,0.485,0.42,0.465,0.144774,140077862
2001-05-25,0.485,0.485,0.44,0.44,0.13699,54470558
2001-05-28,0.455,0.5,0.455,0.495,0.154114,119295028
2001-05-29,0.495,0.52,0.475,0.485,0.151001,90596697
2001-05-30,0.495,0.5,0.485,0.485,0.151001,29598669
