Date,Open,High,Low,Close,Adj Close,Volume
2000-01-04,1.495,1.495,1.495,1.495,0.926953,42712
2000-01-05,1.7725,1.7725,1.7725,1.7725,1.099013,4272
2000-01-06,1.495,1.495,1.495,1.495,0.926953,42712
2000-01-13,1.516,1.516,1.516,1.516,0.939974,17084
2000-01-14,1.2175,1.2175,1.2065,1.2065,0.748073,102506
2000-01-20,1.5375,1.5375,1.5375,1.5375,0.953305,8542
2000-01-21,1.5375,1.5375,1.5375,1.5375,0.953305,38440
2000-01-24,1.5375,1.5375,1.5375,1.5375,0.953305,4272
2000-01-27,1.559,1.559,1.559,1.559,0.966636,42712
2000-01-28,1.623,1.623,1.623,1.623,1.006318,21356
2000-02-01,1.3025,1.3025,1.292,1.292,0.801086,38440
2000-02-07,1.623,1.623,1.623,1.623,1.006318,42712
2000-03-01,1.655,1.655,1.655,1.655,1.026159,25626
2000-03-02,1.399,1.4415,1.399,1.4415,0.893782,64066
2000-03-10,1.698,1.698,1.698,1.698,1.052821,21356
2000-03-14,1.698,1.698,1.698,1.698,1.052821,64066
2000-03-15,1.356,1.356,1.324,1.324,0.8209270000000001,213556
2000-03-16,1.356,1.399,1.356,1.399,0.8674299999999999,46982
2000-03-17,1.3775,1.388,1.3775,1.388,0.86061,153760
2000-03-20,1.7405,1.7405,1.7405,1.7405,1.079172,21356
2000-03-21,1.388,1.388,1.3775,1.3775,0.8540989999999999,42712
2000-03-22,1.7085,1.7085,1.7085,1.7085,1.059331,17084
2000-03-23,1.7085,1.7085,1.7085,1.7085,1.059331,42712
2000-03-24,1.7085,1.7085,1.7085,1.7085,1.059331,187928
2000-03-27,1.367,1.367,1.356,1.356,0.8407690000000001,51254
2000-03-28,1.356,1.356,1.3345,1.3345,0.8274379999999999,303248
2000-03-29,1.516,1.516,1.516,1.516,-0.654866,128134
2000-03-30,1.4415,1.4415,1.4415,1.4415,-0.622684,21356
2000-03-31,1.4095,1.4095,1.4095,1.4095,-0.608861,21356
2000-04-10,1.2495,1.2495,1.2495,1.2495,-0.5397460000000001,21356
2000-04-17,1.196,1.196,1.196,1.196,-0.516636,21356
2000-04-18,1.196,1.196,1.196,1.196,-0.516636,21356
2000-04-21,1.2175,1.2175,1.2175,1.2175,-0.5259229999999999,21356
2000-05-02,1.1745,1.1745,1.1745,1.1745,-0.5073479999999999,8542
2000-05-03,1.185,1.185,1.185,1.185,-0.511884,166574
2000-05-04,0.9505,0.961,0.9505,0.961,-0.41512299999999996,106778
2000-05-08,1.1745,1.1745,1.1745,1.1745,-0.5073479999999999,42712
2000-05-09,1.153,1.153,1.153,1.153,-0.498061,12814
2000-05-10,1.164,1.164,1.164,1.164,-0.5028130000000001,85422
2000-05-11,0.9185,0.9185,0.8865,0.9185,-0.396764,636396
2000-05-12,1.153,1.153,1.153,1.153,-0.498061,85422
2000-05-15,1.153,1.153,1.153,1.153,-0.498061,85422
2000-05-16,1.153,1.153,1.153,1.153,-0.498061,128134
2000-05-22,1.153,1.153,1.153,1.153,-0.498061,85422
2000-05-23,1.153,1.153,1.153,1.153,-0.498061,42712
2000-05-25,1.153,1.153,1.153,1.153,-0.498061,38440
2000-05-29,1.153,1.153,1.153,1.153,-0.498061,85422
2000-06-01,1.153,1.153,1.153,1.153,-0.498061,12814
2000-06-06,0.8865,0.897,0.8865,0.897,-0.387477,128134
2000-06-07,0.8865,0.897,0.8865,0.897,-0.387477,128134
2000-06-08,0.897,0.9075,0.897,0.9075,-0.39201199999999997,42712
2000-06-12,1.1425,1.1425,1.1425,1.1425,-0.493525,76880
2000-06-13,0.9075,0.9185,0.9075,0.9185,-0.396764,149488
2000-06-15,1.153,1.153,1.153,1.153,-0.498061,12814
2000-06-16,1.153,1.153,1.153,1.153,-0.498061,42712
2000-06-21,1.153,1.153,1.153,1.153,-0.498061,34168
2000-06-22,1.153,1.153,1.153,1.153,-0.498061,21356
2000-06-29,1.153,1.153,1.153,1.153,-0.498061,85422
2000-07-05,1.1105,1.1105,1.1105,1.1105,-0.479702,21356
2000-07-10,1.1105,1.1105,1.1105,1.1105,-0.479702,4272
2000-07-20,1.1105,1.1105,1.1105,1.1105,-0.479702,42712
2000-07-24,1.025,1.025,1.025,1.025,-0.44276899999999997,12814
2000-08-03,1.324,1.324,1.324,1.324,-0.571928,17084
2000-08-07,1.0,1.0,1.0,1.0,-0.43196999999999997,8542
2000-08-11,1.0785,1.0785,1.0785,1.0785,-0.465879,21356
2000-08-18,0.8435,0.8435,0.822,0.822,-0.355079,64066
2000-08-21,1.05,1.05,1.05,1.05,-0.453568,42712
2000-08-22,1.05,1.05,1.05,1.05,-0.453568,42712
2000-08-23,0.822,0.822,0.801,0.801,-0.346008,85422
2000-10-03,1.0,1.0,1.0,1.0,-0.43196999999999997,12814
2000-10-19,1.1,1.1,1.1,1.1,-0.475167,42712
2000-10-26,1.0,1.0,1.0,1.0,-0.43196999999999997,21356
2000-10-27,1.0,1.0,1.0,1.0,-0.43196999999999997,25626
2000-11-07,0.801,0.801,0.758,0.758,-0.327433,42712
2000-11-13,0.975,0.975,0.975,0.975,-0.42117,42712
2000-11-14,1.26,1.26,1.26,1.26,-0.5442819999999999,64066
2000-11-17,1.05,1.05,1.05,1.05,-0.453568,119592
2000-11-20,1.0,1.0,1.0,1.0,-0.43196999999999997,21356
2000-11-21,1.0,1.0,1.0,1.0,-0.43196999999999997,64066
