Date,Open,High,Low,Close,Adj Close,Volume
2005-03-17,2.44,3.42,2.44,3.38,2.469991,203036400
2005-03-18,3.46,3.56,3.12,3.14,2.294607,83849100
2005-03-21,3.16,3.94,3.14,3.86,2.820758,158345600
2005-03-22,3.86,4.04,3.76,3.96,2.8938349999999997,84774300
2005-03-23,3.98,4.22,3.9,4.22,3.083834,52420700
2005-03-24,4.3,4.4,4.18,4.18,3.0546029999999997,60399200
2005-03-25,4.22,4.56,4.06,4.56,3.332295,48818000
2005-03-28,4.54,4.58,4.36,4.38,3.200757,38158300
2005-03-29,4.44,5.05,4.42,4.88,3.5661400000000003,74193700
2005-03-30,4.88,4.96,4.52,4.6,3.361525,53435300
2005-03-31,4.74,4.88,4.54,4.78,3.493063,52242300
2005-04-01,4.76,5.05,4.48,4.54,3.31768,99244700
2005-04-04,4.42,4.52,4.04,4.06,2.9669119999999998,10854900
2005-04-05,4.14,4.28,4.1,4.22,3.083834,13664900
2005-04-07,4.26,4.74,4.16,4.64,3.3907559999999997,45682600
2005-04-08,4.72,4.78,4.64,4.66,3.4053720000000003,25416900
2005-04-11,4.7,4.76,4.7,4.74,3.463832,8365800
2005-04-12,4.78,4.88,4.78,4.84,3.5369099999999998,13291000
2005-04-18,4.8,4.96,4.78,4.78,3.493063,17785100
2005-04-19,4.86,4.88,4.74,4.76,3.478448,10703500
2005-04-20,4.8,4.86,4.7,4.7,3.4346019999999995,8869100
2005-04-21,4.7,5.05,4.68,5.05,3.690371,14128100
2005-04-22,5.1,5.55,5.1,5.25,3.836523,49560300
2005-04-25,5.25,5.55,5.25,5.55,4.055754,16596900
2005-04-26,5.65,6.3,5.45,5.45,3.982677,120484900
2005-04-27,5.5,5.6,5.05,5.1,3.7269089999999996,22336900
2005-04-28,5.25,5.45,5.2,5.45,3.982677,11544000
2005-04-29,5.5,5.7,5.35,5.55,4.055754,18219700
2005-05-03,5.6,5.65,5.4,5.5,4.019215,7958300
2005-05-04,5.6,6.0,5.55,6.0,4.384598,34644200
2005-05-06,6.05,6.15,5.9,6.0,4.384598,26902900
2005-05-09,6.0,6.2,5.95,6.2,4.623216,19277600
2005-05-10,6.3,6.3,5.2,5.25,3.914821,83004300
2005-05-11,5.25,5.4,5.2,5.35,3.989389,13245500
2005-05-12,5.4,5.4,5.25,5.3,3.9521040000000003,6359100
2005-05-13,5.3,5.35,5.0,5.1,3.802968,6292100
2005-05-16,5.15,5.3,5.05,5.1,3.802968,4637100
2005-05-17,5.15,5.25,5.05,5.15,3.8402519999999996,3802600
2005-05-18,5.2,5.3,4.62,4.62,3.4450410000000002,29718200
2005-05-19,4.68,4.74,4.52,4.56,3.4003010000000002,7573200
2005-05-20,4.62,4.66,4.52,4.58,3.4152139999999997,10079000
2005-05-24,4.6,4.68,4.54,4.6,3.430128,10428800
2005-05-25,4.6,4.64,4.42,4.42,3.2959059999999996,5213500
2005-05-26,4.44,4.54,4.34,4.54,3.385387,4281300
2005-05-27,4.56,4.62,4.48,4.5,3.3555599999999997,2780700
2005-05-30,4.52,4.64,4.52,4.56,3.4003010000000002,11401500
2005-05-31,4.58,4.64,4.42,4.44,3.3108190000000004,11233000
2005-06-01,4.44,4.48,4.44,4.46,3.325733,1289500
2005-06-02,4.48,4.5,4.42,4.42,3.2959059999999996,902500
2005-06-03,4.4,4.54,4.4,4.5,3.3555599999999997,2012900
2005-06-06,4.5,4.54,4.46,4.5,3.3555599999999997,912100
2005-06-07,4.54,4.6,4.5,4.52,3.3704730000000005,4929600
2005-06-08,4.56,4.88,4.52,4.88,3.638918,40820100
2005-06-09,4.92,4.96,4.66,4.7,3.504696,23277800
2005-06-10,4.72,4.82,4.6,4.66,3.4748690000000004,15360700
2005-06-13,4.66,4.7,4.56,4.64,3.4599550000000003,4748700
2005-06-14,4.7,4.7,4.64,4.66,3.4748690000000004,4373100
2005-06-15,4.7,4.76,4.56,4.58,3.4152139999999997,16840900
2005-06-16,4.58,4.6,4.52,4.58,3.4152139999999997,5675200
2005-06-17,4.6,4.62,4.56,4.56,3.4003010000000002,4084700
2005-06-20,4.56,4.56,4.52,4.52,3.3704730000000005,1634800
2005-06-21,4.56,4.64,4.52,4.52,3.3704730000000005,6004100
2005-06-22,4.56,4.62,4.52,4.52,3.3704730000000005,2389100
2005-06-23,4.52,4.64,4.52,4.62,3.4450410000000002,20115700
2005-06-24,4.6,4.68,4.38,4.38,3.266078,22496200
2005-06-27,4.4,4.4,4.24,4.3,3.206424,7935800
2005-06-28,4.34,4.36,4.3,4.36,3.2511650000000003,2420900
2005-06-29,4.42,4.42,4.36,4.38,3.266078,1612500
2005-06-30,4.36,4.38,4.26,4.3,3.206424,4148000
2005-07-04,4.3,4.36,4.26,4.32,3.2213380000000003,2138800
2005-07-05,4.38,4.58,4.36,4.54,3.385387,5534800
2005-07-06,4.58,4.74,4.58,4.7,3.504696,7467100
2005-07-07,4.7,4.76,4.64,4.66,3.4748690000000004,3455200
2005-07-08,4.72,4.72,4.64,4.66,3.4748690000000004,711200
2005-07-11,4.7,4.72,4.56,4.56,3.4003010000000002,1000000
2005-07-12,4.58,4.8,4.58,4.8,3.579264,3430600
2005-07-13,4.8,4.82,4.68,4.74,3.5345230000000005,1402600
2005-07-14,4.72,4.74,4.7,4.72,3.5196099999999997,486900
2005-07-15,4.72,4.82,4.68,4.7,3.504696,928000
2005-07-18,4.74,4.74,4.64,4.7,3.504696,556000
2005-07-19,4.72,5.0,4.72,4.98,3.713487,29330500
2005-07-20,5.05,5.05,4.74,4.74,3.5345230000000005,15885800
2005-07-21,4.76,5.75,4.76,5.7,4.250376999999999,25897700
2005-07-25,5.65,5.95,5.55,5.75,4.28766,18806300
2005-07-26,5.75,5.95,5.75,5.95,4.436796,6548600
2005-07-27,5.95,7.4,4.8,5.05,3.765684,162339200
2005-07-28,5.0,5.05,4.56,4.76,3.549437,49650100
2005-07-29,4.66,4.86,4.56,4.6,3.430128,30127400
2005-08-01,4.64,4.74,4.52,4.54,3.385387,13122900
2005-08-02,4.58,4.6,4.4,4.46,3.325733,6038900
2005-08-03,4.48,4.56,4.36,4.36,3.2511650000000003,18333800
2005-08-04,4.34,4.56,4.34,4.52,3.3704730000000005,17913000
2005-08-05,4.5,4.6,4.38,4.4,3.280992,14888500
2005-08-08,4.46,4.54,4.22,4.24,3.161683,9888700
2005-08-09,4.26,4.28,4.14,4.2,3.131855,4425600
2005-08-10,4.22,4.3,4.2,4.22,3.14677,1779600
2005-08-11,4.22,4.34,4.22,4.26,3.176597,4444600
2005-08-15,4.3,4.36,4.2,4.22,3.14677,14688800
2005-08-16,4.26,4.26,4.08,4.08,3.042374,5880300
2005-08-17,4.08,4.08,3.98,4.04,3.012547,1172500
2005-08-18,4.06,4.12,4.02,4.02,2.997634,1743600
2005-08-19,4.02,4.06,4.0,4.04,3.012547,752700
2005-08-22,4.08,4.1,4.04,4.04,3.012547,984300
2005-08-23,4.06,4.08,4.04,4.04,3.012547,674900
2005-08-24,4.06,4.08,4.06,4.08,3.042374,593500
2005-08-25,4.1,4.22,4.04,4.04,3.012547,6398400
2005-08-26,4.04,4.1,4.04,4.04,3.012547,1625100
2005-08-29,3.94,4.0,3.94,3.98,3.035427,1270800
2005-08-30,4.0,4.0,3.98,3.98,3.035427,184500
2005-08-31,4.0,4.0,3.98,4.0,3.050681,204700
2005-09-01,4.0,4.04,4.0,4.02,3.065934,444200
2005-09-02,4.02,4.06,4.02,4.02,3.065934,1219700
2005-09-05,4.02,4.04,4.0,4.02,3.065934,447900
2005-09-06,4.02,4.14,4.02,4.04,3.081187,16259300
2005-09-07,4.08,4.08,3.56,3.56,2.715106,30073200
2005-09-08,3.6,3.66,3.3,3.4,2.593079,9228700
2005-09-09,3.42,3.44,3.22,3.28,2.501558,7415500
2005-09-12,3.28,3.34,3.22,3.26,2.4863049999999998,3791700
2005-09-13,3.26,3.6,3.26,3.58,2.730359,39897500
2005-09-14,3.6,3.6,3.38,3.44,2.623586,10911600
2005-09-15,3.46,3.54,3.42,3.42,2.608332,4546300
2005-09-16,3.42,3.46,3.3,3.34,2.547318,2865100
2005-09-19,3.36,3.36,3.3,3.3,2.516812,1154400
2005-09-20,3.32,3.34,3.3,3.3,2.516812,804300
2005-09-21,3.32,3.5,3.32,3.38,2.577825,5892600
2005-09-22,3.4,3.44,3.38,3.38,2.577825,2526300
2005-09-23,3.4,3.44,3.32,3.34,2.547318,2010600
2005-09-26,3.34,3.4,3.34,3.34,2.547318,2073500
2005-09-27,3.36,3.4,3.34,3.34,2.547318,1862600
2005-09-28,3.36,3.36,3.28,3.28,2.501558,1996600
2005-09-29,3.26,3.32,3.22,3.24,2.4710509999999997,1087400
2005-09-30,3.26,3.32,3.24,3.24,2.4710509999999997,1778900
2005-10-03,3.26,3.28,3.2,3.22,2.455798,556200
2005-10-04,3.22,3.26,3.22,3.22,2.455798,420300
2005-10-05,3.2,3.26,3.2,3.24,2.4710509999999997,506700
2005-10-06,3.22,3.24,3.1,3.14,2.394784,1471000
2005-10-07,3.16,3.22,3.14,3.16,2.410038,2015100
2005-10-10,3.16,3.18,3.1,3.1,2.364277,496700
2005-10-11,3.12,3.14,3.02,3.02,2.303264,717700
2005-10-12,3.04,3.08,3.0,3.0,2.28801,716500
2005-10-13,3.02,3.02,2.92,2.94,2.24225,995600
2005-10-14,2.94,2.94,2.74,2.76,2.1049700000000002,1546200
2005-10-17,2.72,2.8,2.62,2.64,2.013449,842700
2005-10-18,2.64,2.98,2.64,2.98,2.272757,10041800
2005-10-19,2.96,3.16,2.96,3.0,2.28801,15473000
2005-10-20,3.08,3.1,2.88,2.92,2.2269970000000003,4456100
2005-10-21,2.92,2.92,2.84,2.88,2.1964900000000003,887800
2005-10-25,2.88,2.88,2.78,2.78,2.1202229999999997,404000
2005-10-26,2.78,2.84,2.76,2.76,2.1049700000000002,199200
2005-10-27,2.78,2.78,2.68,2.72,2.074463,239800
2005-10-28,2.72,2.74,2.7,2.7,2.059209,69400
2005-10-31,2.7,2.7,2.68,2.7,2.059209,115200
2005-11-01,2.7,2.78,2.7,2.74,2.089716,406200
2005-11-02,2.76,2.84,2.76,2.82,2.15073,1096400
2005-11-03,2.84,2.92,2.78,2.88,2.1964900000000003,2369600
2005-11-04,2.92,2.92,2.84,2.84,2.165983,934400
2005-11-07,2.84,2.84,2.74,2.74,2.089716,233100
2005-11-08,2.78,2.8,2.76,2.78,2.1202229999999997,461200
2005-11-09,2.76,2.78,2.74,2.76,2.1049700000000002,109700
2005-11-10,2.78,2.8,2.7,2.7,2.059209,669100
2005-11-11,2.72,2.72,2.66,2.66,2.0287029999999997,283100
2005-11-14,2.66,2.74,2.64,2.64,2.013449,236000
2005-11-15,2.6,2.64,2.58,2.58,1.967689,230200
2005-11-16,2.62,2.64,2.5,2.5,1.906675,629600
2005-11-17,2.5,2.5,2.36,2.36,1.7999020000000001,677900
2005-11-18,2.36,2.36,2.26,2.26,1.723634,951
2005-11-21,2.26,2.32,2.2,2.22,1.693128,266100
2005-11-22,2.2,2.26,2.2,2.24,1.7083810000000001,65000
2005-11-23,2.26,2.28,2.08,2.1,1.601607,456700
