Date,Open,High,Low,Close,Adj Close,Volume
2000-01-04,31.6667,31.6667,26.6667,26.6667,3.07389,0
2000-01-05,41.0,41.0,26.0,26.0,2.997039,0
2000-01-06,41.0,41.0,26.6667,26.6667,3.07389,0
2000-01-07,41.0,41.0,26.0,26.0,2.997039,0
2000-01-10,41.0,41.0,26.0,26.0,2.997039,0
2000-01-11,41.0,41.0,26.0,26.0,2.997039,0
2000-01-12,40.0,40.0,28.3333,28.3333,3.266,0
2000-01-13,30.0,30.0,30.0,30.0,3.4581230000000005,1500
2000-01-14,31.6667,31.6667,31.6667,31.6667,3.650243,600
2000-01-17,32.0,32.0,32.0,32.0,3.6886629999999996,2700
2000-01-18,41.333302,41.333302,41.333302,41.333302,4.76452,600
2000-01-19,32.0,32.0,32.0,32.0,3.6886629999999996,300
2000-01-20,40.0,40.0,32.0,32.0,3.6886629999999996,0
2000-01-21,32.0,32.0,32.0,32.0,3.6886629999999996,3000
2000-01-24,32.0,32.0,32.0,32.0,3.6886629999999996,900
2000-01-25,41.333302,41.333302,31.3333,31.3333,3.6118120000000005,0
2000-01-26,32.0,32.0,32.0,32.0,3.6886629999999996,3900
2000-01-27,32.0,32.333302,32.0,32.333302,3.7270830000000004,5400
2000-01-28,31.6667,31.6667,31.6667,31.6667,3.650243,1500
2000-01-31,33.333302,33.333302,33.333302,33.333302,3.8423529999999997,4200
2000-02-01,35.0,35.0,32.0,32.0,3.6886629999999996,0
2000-02-02,32.666698,32.666698,32.666698,32.666698,3.765514,1800
2000-02-03,42.333302,42.333302,32.333302,32.333302,3.7270830000000004,0
2000-02-04,32.666698,33.0,32.666698,33.0,3.8039339999999995,1800
2000-02-07,33.166698,33.166698,32.666698,32.666698,3.765514,0
2000-02-08,36.666698,36.666698,32.666698,32.666698,3.765514,0
2000-02-09,33.166698,33.166698,32.666698,32.666698,3.765514,0
2000-02-10,42.666698,42.666698,32.666698,32.666698,3.765514,0
2000-02-11,33.166698,33.166698,32.666698,32.666698,3.765514,0
2000-02-14,36.666698,36.666698,33.0,33.0,3.8039339999999995,0
2000-02-15,33.0,33.0,32.666698,32.666698,3.765514,1500
2000-02-16,31.3333,31.3333,31.3333,31.3333,3.6118120000000005,600
2000-02-17,40.666698,40.666698,30.0,30.0,3.4581230000000005,0
2000-02-18,33.333302,33.333302,30.0,30.0,3.4581230000000005,0
2000-02-21,30.0,30.0,30.0,30.0,3.4581230000000005,0
2000-02-22,33.333302,33.333302,30.6667,30.6667,3.5349730000000004,0
2000-02-23,33.333302,33.333302,31.0,31.0,3.5733919999999997,0
2000-02-24,33.333302,33.333302,31.6667,31.6667,3.650243,0
2000-02-25,40.666698,40.666698,31.6667,31.6667,3.650243,0
2000-02-28,33.333302,33.333302,33.333302,33.333302,3.8423529999999997,1500
2000-02-29,43.333302,43.333302,31.6667,31.6667,3.650243,0
2000-03-01,32.666698,32.666698,32.666698,32.666698,3.765514,1200
2000-03-02,42.333302,42.333302,31.3333,31.3333,3.6118120000000005,0
2000-03-03,42.333302,42.333302,31.3333,31.3333,3.6118120000000005,0
2000-03-06,32.333302,32.333302,32.333302,32.333302,3.7270830000000004,600
2000-03-07,42.0,42.0,30.3333,30.3333,3.4965410000000006,0
2000-03-08,42.0,42.0,30.6667,30.6667,3.5349730000000004,0
2000-03-09,42.0,42.0,30.6667,30.6667,3.5349730000000004,0
2000-03-10,42.0,42.0,31.3333,31.3333,3.6118120000000005,0
2000-03-13,42.0,42.0,31.6667,31.6667,3.650243,0
2000-03-14,42.0,42.0,31.3333,31.3333,3.6118120000000005,0
2000-03-15,42.0,42.0,31.6667,31.6667,3.650243,0
2000-03-16,42.0,42.0,31.6667,31.6667,3.650243,0
2000-03-17,33.333302,36.666698,31.6667,33.0,3.8039339999999995,17700
2000-03-20,36.666698,36.666698,33.333302,33.333302,3.8423529999999997,21600
2000-03-21,35.333302,36.666698,35.333302,36.666698,4.226597,13200
2000-03-22,36.0,36.0,35.333302,36.0,4.1497459999999995,1500
2000-03-23,36.666698,36.666698,35.0,35.0,4.034475,0
2000-03-24,36.0,36.0,35.0,35.0,4.034475,0
2000-03-27,35.333302,35.333302,35.333302,35.333302,4.072896,1200
2000-03-28,36.666698,36.666698,36.666698,36.666698,4.226597,900
2000-03-29,36.666698,36.666698,35.333302,35.333302,4.072896,0
2000-03-30,36.333302,36.333302,36.0,36.0,4.1497459999999995,1500
2000-03-31,32.0,32.0,31.6667,31.6667,6.257561,0
2000-04-03,32.0,32.0,23.6667,23.6667,4.676704,0
2000-04-04,32.333302,32.333302,24.0,24.0,4.742567,0
2000-04-05,32.0,32.0,23.3333,23.3333,4.610823,0
2000-04-06,23.3333,23.3333,23.3333,23.3333,4.610823,0
2000-04-07,32.333302,32.333302,25.0,25.0,4.940173000000001,0
2000-04-10,33.333302,33.333302,23.3333,23.3333,4.610823,0
2000-04-11,33.333302,33.333302,23.6667,23.6667,4.676704,0
2000-04-12,33.333302,33.333302,26.6667,26.6667,5.269525,0
2000-04-13,26.6667,26.6667,26.6667,26.6667,5.269525,0
2000-04-14,26.6667,26.6667,26.6667,26.6667,5.269525,0
2000-04-17,33.333302,33.333302,23.3333,23.3333,4.610823,0
2000-04-18,33.333302,33.333302,23.3333,23.3333,4.610823,0
2000-04-19,32.333302,32.333302,25.0,25.0,4.940173000000001,0
2000-04-20,33.333302,33.333302,23.6667,23.6667,4.676704,0
2000-04-21,33.333302,33.333302,23.5,23.5,4.643763,0
2000-04-24,33.333302,33.333302,25.1667,25.1667,4.973115,0
2000-04-25,33.333302,33.333302,23.3333,23.3333,4.610823,0
2000-04-26,33.333302,33.333302,24.1667,24.1667,4.775507,0
2000-04-27,33.333302,33.333302,22.0,22.0,4.347353,0
2000-04-28,33.333302,33.333302,27.5,27.5,5.434191,0
2000-05-01,27.5,27.5,27.5,27.5,5.434191,0
2000-05-02,33.333302,33.333302,25.3333,25.3333,5.006036,0
2000-05-03,33.333302,33.333302,25.8333,25.8333,5.104839,0
2000-05-04,33.333302,33.333302,23.3333,23.3333,4.610823,0
2000-05-05,23.3333,23.3333,23.3333,23.3333,4.610823,0
2000-05-08,33.333302,33.333302,22.1667,22.1667,4.380294,0
2000-05-09,22.1667,22.1667,22.1667,22.1667,4.380294,0
2000-05-10,33.333302,33.333302,25.0,25.0,4.940173000000001,0
2000-05-11,33.333302,33.333302,25.0,25.0,4.940173000000001,0
2000-05-12,33.333302,33.333302,23.3333,23.3333,4.610823,0
2000-05-15,33.0,33.0,26.6667,26.6667,5.269525,0
2000-05-16,33.333302,33.333302,23.6667,23.6667,4.676704,0
2000-05-17,23.6667,23.6667,23.6667,23.6667,4.676704,0
2000-05-18,33.333302,33.333302,25.0,25.0,4.940173000000001,0
2000-05-19,33.333302,33.333302,25.3333,25.3333,5.006036,0
2000-05-22,33.333302,33.333302,26.0,26.0,5.1377809999999995,0
2000-05-23,33.333302,33.333302,22.0,22.0,4.347353,0
2000-05-24,33.333302,33.333302,25.6667,25.6667,5.071918,0
2000-05-25,33.333302,33.333302,21.8333,21.8333,4.314411,0
2000-05-26,33.333302,33.333302,25.6667,25.6667,5.071918,0
2000-05-29,33.333302,33.333302,22.0,22.0,4.347353,0
2000-05-30,22.0,22.0,22.0,22.0,4.347353,0
2000-05-31,33.333302,33.333302,33.333302,33.333302,6.5868910000000005,600
2000-06-01,34.666698,34.666698,26.6667,26.6667,5.269525,0
2000-06-02,33.666698,33.666698,25.6667,25.6667,5.071918,0
2000-06-05,34.333302,34.333302,27.1667,27.1667,5.368329,0
2000-06-06,34.666698,34.666698,23.3333,23.3333,4.610823,0
2000-06-07,31.6667,31.6667,30.0,30.0,5.928208000000001,0
2000-06-08,34.666698,34.666698,26.0,26.0,5.1377809999999995,0
2000-06-09,32.666698,32.666698,32.666698,32.666698,6.455165,600
2000-06-12,34.333302,34.333302,26.0,26.0,5.1377809999999995,0
2000-06-13,35.0,35.0,26.0,26.0,5.1377809999999995,0
2000-06-14,33.333302,33.333302,30.0,30.0,5.928208000000001,0
2000-06-15,34.333302,34.333302,26.0,26.0,5.1377809999999995,0
