Date,Open,High,Low,Close,Adj Close,Volume
2018-01-03,2.36,2.4,2.34,2.36,2.36,763900
2018-01-04,2.4,2.44,2.36,2.4,2.4,1504300
2018-01-05,2.44,2.48,2.42,2.44,2.44,1371900
2018-01-08,2.46,2.48,2.4,2.4,2.4,762800
2018-01-09,2.32,2.32,2.32,2.32,2.32,88500
2018-01-10,2.36,2.36,2.28,2.28,2.28,516600
2018-01-11,2.28,2.32,2.26,2.32,2.32,324200
2018-01-12,2.3,2.32,2.28,2.32,2.32,278600
2018-01-15,2.3,2.36,2.28,2.28,2.28,186400
2018-01-16,2.28,2.32,2.18,2.2,2.2,986700
2018-01-17,2.2,2.42,2.2,2.28,2.28,2796200
2018-01-18,2.28,2.3,2.2,2.2,2.2,602800
2018-01-19,2.24,2.86,2.24,2.86,2.86,54920900
2018-01-22,2.9,3.36,2.9,3.14,3.14,100439100
2018-01-23,3.1,3.24,3.04,3.1,3.1,24716000
2018-01-24,3.08,3.42,3.08,3.2,3.2,70616200
2018-01-25,3.22,3.32,3.04,3.04,3.04,19109800
2018-01-26,3.1,3.16,3.04,3.1,3.1,9896800
2018-01-29,3.14,3.22,3.06,3.08,3.08,9042400
2018-01-30,3.08,3.12,2.94,2.98,2.98,6968200
2018-01-31,2.96,3.26,2.96,3.22,3.22,18726500
2018-02-01,3.22,3.26,3.08,3.08,3.08,11184200
2018-02-02,3.1,3.16,2.94,2.94,2.94,8727200
2018-02-05,2.86,2.92,2.82,2.86,2.86,3563000
2018-02-06,2.8,2.8,2.72,2.72,2.72,3963400
2018-02-07,2.8,2.9,2.72,2.72,2.72,7133500
2018-02-08,2.76,2.86,2.74,2.78,2.78,4375600
2018-02-09,2.7,2.78,2.7,2.72,2.72,1573000
2018-02-12,2.74,2.86,2.74,2.82,2.82,5897200
2018-02-13,2.86,2.96,2.84,2.92,2.92,7722600
2018-02-14,2.92,3.16,2.92,3.02,3.02,35829600
2018-02-15,3.0,3.12,3.0,3.02,3.02,13147800
2018-02-16,3.06,3.08,3.0,3.0,3.0,4049400
2018-02-19,3.02,3.06,2.94,2.94,2.94,4639500
2018-02-20,2.92,2.96,2.8,2.8,2.8,4409300
2018-02-21,2.82,2.88,2.66,2.66,2.66,2725900
2018-02-22,2.66,2.68,2.5,2.5,2.5,3269300
2018-02-23,2.54,2.6,2.4,2.44,2.44,3694600
2018-02-26,2.58,2.58,2.44,2.44,2.44,2442400
2018-02-27,2.46,2.5,2.4,2.4,2.4,1381800
2018-02-28,2.42,2.5,2.42,2.46,2.46,1742500
2018-03-02,2.46,2.46,2.4,2.4,2.4,691300
2018-03-05,2.44,2.5,2.4,2.44,2.44,573900
2018-03-06,2.4,2.4,2.4,2.4,2.4,200600
2018-03-07,2.4,2.42,2.3,2.3,2.3,1134100
2018-03-08,2.36,2.36,2.24,2.24,2.24,852000
2018-03-09,2.26,2.32,2.24,2.24,2.24,626300
