Date,Open,High,Low,Close,Adj Close,Volume
2000-09-28,3.08,3.13,2.63,2.63,1.279203,69749000
2000-09-29,2.65,2.7,2.5,2.5,1.2159719999999998,27491000
2000-10-02,2.48,2.53,2.4,2.4,1.167334,14637000
2000-10-03,2.43,2.53,2.43,2.48,1.206245,26256000
2000-10-04,2.5,2.55,2.38,2.38,1.157606,21536000
2000-10-05,2.38,2.43,2.08,2.08,1.0116889999999998,20078000
2000-10-06,2.1,2.15,1.95,1.98,0.96305,15439000
2000-10-09,1.98,2.0,1.85,1.88,0.9144110000000001,9909000
2000-10-10,1.88,1.93,1.85,1.93,0.938731,11789000
2000-10-11,1.88,2.1,1.88,2.05,0.9970969999999999,42384000
2000-10-12,2.05,2.08,2.0,2.0,0.972778,11861000
2000-10-13,1.9,1.98,1.9,1.93,0.938731,10344000
2000-10-16,1.98,2.13,1.98,1.98,0.96305,32190000
2000-10-17,2.0,2.05,1.95,1.95,0.948459,8690000
2000-10-18,1.95,1.98,1.93,1.95,0.948459,6033000
2000-10-19,1.98,2.18,1.98,2.08,1.0116889999999998,33985000
2000-10-20,2.15,2.2,2.02,2.02,0.982506,18631000
2000-10-24,2.02,2.08,1.93,1.93,0.938731,8743000
2000-10-25,1.95,2.08,1.95,1.98,0.96305,19708000
2000-10-26,1.98,2.02,1.95,2.0,0.972778,5359000
2000-10-27,2.02,2.05,1.98,1.98,0.96305,4521000
2000-10-30,2.0,2.0,1.93,1.93,0.938731,1994000
2000-10-31,1.93,1.98,1.9,1.93,0.938731,3497000
2000-11-01,1.95,1.98,1.93,1.95,0.948459,3896000
2000-11-02,1.98,2.0,1.93,1.93,0.938731,4324000
2000-11-03,1.95,1.98,1.93,1.95,0.948459,5251000
2000-11-06,1.95,2.0,1.95,1.98,0.96305,4785000
2000-11-07,1.98,2.02,1.95,1.95,0.948459,13347000
2000-11-08,1.98,2.02,1.98,1.98,0.96305,9118000
2000-11-09,1.98,2.0,1.95,1.98,0.96305,5938000
2000-11-10,2.0,2.08,2.0,2.02,0.982506,13524000
2000-11-13,2.02,2.02,1.95,1.95,0.948459,2113000
2000-11-14,1.98,2.0,1.95,2.0,0.972778,1305000
2000-11-15,2.0,2.02,1.93,1.95,0.948459,4927000
2000-11-16,1.98,1.98,1.93,1.93,0.938731,2581000
2000-11-17,1.95,1.95,1.93,1.93,0.938731,3227000
2000-11-20,1.95,1.95,1.9,1.9,0.9241389999999999,3206000
2000-11-21,1.9,1.93,1.88,1.9,0.9241389999999999,3032000
