Date,Open,High,Low,Close,Adj Close,Volume
2003-12-15,4.95,4.95,4.025,4.225,0.012994,198604000
2003-12-16,4.15,4.25,4.025,4.025,0.012379000000000001,37845000
2003-12-17,4.075,4.225,3.95,4.025,0.012379000000000001,34630000
2003-12-18,4.075,4.35,4.075,4.2,0.012916999999999998,57697000
2003-12-19,4.25,4.275,3.975,4.025,0.012379000000000001,23232000
2003-12-22,4.075,4.075,3.825,3.825,0.011764,13762000
2003-12-23,3.875,3.925,3.775,3.775,0.011609999999999999,10792000
2003-12-24,3.825,3.875,3.75,3.8,0.011687000000000001,12841000
2003-12-25,3.825,3.825,3.6,3.6,0.011072,6429000
2003-12-26,3.6,3.875,3.575,3.7,0.01138,19504000
2003-12-29,3.725,3.725,3.475,3.5,0.010765,7422000
2003-12-30,3.525,3.625,3.4,3.425,0.010534,5638000
2003-12-31,3.45,3.725,3.4,3.525,0.010841,17028000
2004-01-05,3.575,3.6,3.525,3.525,0.010841,2761000
2004-01-06,3.575,3.65,3.525,3.55,0.010918,7914000
2004-01-07,3.6,3.65,3.55,3.575,0.010995,5019000
2004-01-08,3.6,3.7,3.55,3.675,0.011303,5942000
2004-01-09,3.7,3.7,3.5,3.55,0.010918,3002000
2004-01-12,3.55,3.55,3.475,3.475,0.010688,3011000
2004-01-13,3.55,3.575,3.475,3.475,0.010688,6593000
2004-01-15,3.525,3.575,3.325,3.325,0.010226,6988000
2004-01-16,3.325,3.4,3.325,3.375,0.01038,2300000
2004-01-19,3.425,3.5,3.375,3.475,0.010688,1955000
2004-01-20,3.5,3.5,3.4,3.4,0.010457,2131000
2004-01-21,3.475,3.475,3.325,3.35,0.010303,1053000
2004-01-22,3.35,3.5,3.35,3.5,0.010765,4951000
2004-01-23,3.4,3.675,3.4,3.45,0.010611,15130000
2004-01-26,3.45,3.475,3.25,3.25,0.009996,1961000
2004-01-27,3.275,3.3,3.2,3.225,0.009918999999999999,2509000
2004-01-28,3.25,3.325,3.025,3.025,0.009304,3111000
2004-01-29,3.05,3.1,2.95,2.975,0.00915,3249000
2004-01-30,3.0,3.025,2.85,2.85,0.008765,2297000
2004-02-02,2.825,2.9,2.6,2.6,0.007997,1537000
2004-02-03,2.675,2.7,2.55,2.675,0.008227,2926000
2004-02-04,2.675,2.85,2.675,2.85,0.008765,5434000
2004-02-05,2.9,3.0,2.875,2.95,0.009073000000000001,2880000
2004-02-11,3.2,3.3,3.125,3.125,0.009611,2531000
2004-02-12,3.175,3.225,3.1,3.15,0.009687999999999999,3479000
2004-02-13,3.15,3.2,3.075,3.15,0.009687999999999999,830000
2004-02-16,3.15,3.175,3.075,3.125,0.009611,760000
2004-02-17,3.175,3.175,3.1,3.175,0.009765000000000001,766000
2004-02-18,3.2,3.3,3.125,3.125,0.009611,6891000
2004-02-19,3.15,3.225,3.1,3.125,0.009611,2702000
2004-02-24,3.1,3.15,3.075,3.075,0.009457,1977000
2004-02-25,3.1,3.1,3.0,3.0,0.009226999999999999,1809000
2004-02-26,3.0,3.05,2.925,2.975,0.00915,2830000
2004-02-27,2.975,3.05,2.95,3.0,0.009226999999999999,1188000
2004-03-01,3.0,3.05,2.975,3.0,0.009226999999999999,672000
2004-03-02,3.05,3.1,2.95,2.95,0.009073000000000001,4161000
2004-03-03,2.95,3.0,2.925,2.925,0.008995999999999999,1712000
2004-03-04,2.925,3.0,2.925,3.0,0.009226999999999999,1196000
2004-03-08,3.025,3.05,3.0,3.025,0.009304,1929000
2004-03-10,3.1,3.125,3.0,3.05,0.009381,2749000
2004-03-11,3.05,3.1,3.025,3.075,0.009457,2021000
2004-03-12,3.075,3.075,3.025,3.075,0.009457,1949000
2004-03-15,3.1,3.1,2.9,2.9,0.008919,3169000
2004-03-16,2.95,2.95,2.825,2.9,0.008919,2219000
2004-03-18,2.825,2.875,2.8,2.85,0.008765,1412000
2004-03-19,2.85,2.85,2.8,2.825,0.008689,459000
2004-03-22,2.825,2.825,2.8,2.8,0.008612,272000
2004-03-23,2.775,2.825,2.775,2.8,0.008612,159000
2004-03-24,2.825,2.825,2.75,2.8,0.008612,228000
2004-03-25,2.8,2.8,2.7,2.75,0.008458,1353000
2004-03-26,2.775,2.8,2.675,2.725,0.008381,725000
2004-03-29,2.7,2.75,2.675,2.675,0.008227,404000
2004-03-30,2.7,2.775,2.55,2.775,0.008535,702000
2004-03-31,2.775,2.775,2.575,2.625,0.008073,630000
2004-04-01,2.675,2.7,2.625,2.675,0.008227,247000
2004-04-02,2.65,2.725,2.65,2.7,0.008304,1087000
2004-04-05,2.7,2.725,2.7,2.7,0.008304,564000
2004-04-07,2.725,2.725,2.7,2.7,0.008304,263000
2004-04-08,2.7,2.725,2.7,2.7,0.008304,189000
2004-04-09,2.675,2.7,2.675,2.675,0.008227,225000
2004-04-12,2.7,2.7,2.6,2.675,0.008227,228000
2004-04-19,2.75,2.775,2.7,2.775,0.008535,373000
2004-04-21,2.8,2.8,2.725,2.725,0.008381,326000
2004-04-22,2.775,2.775,2.7,2.7,0.008304,774000
2004-04-23,2.7,2.7,2.625,2.7,0.008304,846000
2004-04-26,2.675,2.675,2.55,2.625,0.012823,165000
