Date,Open,High,Low,Close,Adj Close,Volume
2015-01-05,37.0,37.0,37.0,37.0,37.0,0
2015-01-06,37.0,37.0,37.0,37.0,37.0,0
2015-01-07,37.0,37.0,37.0,37.0,37.0,0
2015-01-08,37.0,37.0,37.0,37.0,37.0,0
2015-01-09,37.0,37.0,37.0,37.0,37.0,0
2015-01-12,37.0,37.0,37.0,37.0,37.0,0
2015-01-13,37.0,37.0,37.0,37.0,37.0,0
2015-01-14,37.0,37.0,37.0,37.0,37.0,0
2015-01-15,37.0,37.0,37.0,37.0,37.0,0
2015-01-16,37.0,37.0,37.0,37.0,37.0,0
2015-01-19,39.0,39.0,39.0,39.0,39.0,100
2015-01-20,39.0,39.0,39.0,39.0,39.0,0
2015-01-21,32.25,32.25,32.25,32.25,32.25,100
2015-01-22,32.25,32.25,32.25,32.25,32.25,0
2015-01-23,35.75,35.75,35.75,35.75,35.75,100
2015-01-26,30.25,30.25,30.25,30.25,30.25,100
2015-01-27,30.25,30.25,30.25,30.25,30.25,0
2015-01-28,30.25,30.25,30.25,30.25,30.25,0
2015-01-29,31.0,31.0,31.0,31.0,31.0,100
2015-01-30,38.0,38.0,33.0,33.0,33.0,900
2015-02-02,33.0,33.0,33.0,33.0,33.0,0
2015-02-03,33.0,33.0,33.0,33.0,33.0,0
2015-02-04,37.75,37.75,37.75,37.75,37.75,100
2015-02-05,37.75,37.75,37.75,37.75,37.75,0
2015-02-06,37.75,37.75,37.75,37.75,37.75,0
2015-02-09,37.75,37.75,37.75,37.75,37.75,0
2015-02-10,37.75,37.75,37.75,37.75,37.75,0
2015-02-11,37.75,37.75,37.75,37.75,37.75,0
2015-02-12,38.0,45.0,38.0,45.0,45.0,600
2015-02-13,40.0,40.0,40.0,40.0,40.0,100
2015-02-16,33.25,34.5,31.5,34.5,34.5,600
2015-02-17,34.0,34.0,33.5,33.5,33.5,300
2015-02-18,33.5,33.5,33.5,33.5,33.5,0
2015-02-19,35.0,35.0,35.0,35.0,35.0,100
2015-02-20,35.0,35.0,35.0,35.0,35.0,0
2015-02-23,35.0,35.0,35.0,35.0,35.0,0
2015-02-24,35.0,35.0,35.0,35.0,35.0,0
2015-02-25,35.0,35.0,35.0,35.0,35.0,0
2015-02-26,35.75,35.75,35.5,35.5,35.5,200
2015-02-27,35.5,35.5,35.5,35.5,35.5,0
2015-03-02,35.5,35.5,35.5,35.5,35.5,0
2015-03-03,35.5,35.5,35.5,35.5,35.5,0
2015-03-05,35.5,35.5,35.5,35.5,35.5,0
2015-03-06,35.5,35.5,35.5,35.5,35.5,0
2015-03-09,35.5,35.5,35.5,35.5,35.5,0
2015-03-10,35.5,35.5,35.5,35.5,35.5,0
2015-03-11,35.5,35.5,35.5,35.5,35.5,0
2015-03-12,35.5,35.5,35.5,35.5,35.5,0
2015-03-13,35.5,35.5,35.5,35.5,35.5,0
2015-03-16,35.5,35.5,35.5,35.5,35.5,0
2015-03-17,35.5,35.5,35.5,35.5,35.5,0
2015-03-18,35.5,35.5,35.5,35.5,35.5,0
2015-03-19,35.5,35.5,35.5,35.5,35.5,0
2015-03-20,35.5,35.5,35.5,35.5,35.5,0
2015-03-23,35.5,35.5,35.5,35.5,35.5,0
2015-03-24,35.5,35.5,35.5,35.5,35.5,0
2015-03-25,35.0,35.0,35.0,35.0,35.0,300
2015-03-26,35.0,35.0,35.0,35.0,35.0,0
2015-03-27,35.0,35.0,35.0,35.0,35.0,0
2015-03-30,35.0,35.0,35.0,35.0,35.0,200
2015-03-31,35.0,35.0,35.0,35.0,35.0,0
2015-04-01,35.0,35.0,35.0,35.0,35.0,0
2015-04-02,35.0,35.0,35.0,35.0,35.0,0
2015-04-03,35.0,35.0,35.0,35.0,35.0,0
2015-04-07,35.0,35.0,35.0,35.0,35.0,0
2015-04-08,35.0,35.0,35.0,35.0,35.0,0
2015-04-09,35.0,35.0,35.0,35.0,35.0,100
2015-04-10,35.0,35.0,35.0,35.0,35.0,0
2015-04-16,35.0,35.0,35.0,35.0,35.0,0
2015-04-17,35.0,35.0,35.0,35.0,35.0,0
2015-04-20,35.0,35.0,35.0,35.0,35.0,200
2015-04-21,35.0,35.0,35.0,35.0,35.0,0
2015-04-22,35.0,35.0,35.0,35.0,35.0,0
2015-04-23,36.0,36.0,36.0,36.0,36.0,100
2015-04-24,36.0,36.0,36.0,36.0,36.0,0
2015-04-27,36.0,36.0,36.0,36.0,36.0,0
2015-04-28,36.0,36.0,36.0,36.0,36.0,0
2015-04-29,36.0,36.0,36.0,36.0,36.0,0
2015-04-30,36.0,36.0,36.0,36.0,36.0,100
2015-05-04,36.0,36.0,36.0,36.0,36.0,0
2015-05-06,36.0,36.0,36.0,36.0,36.0,0
2015-05-07,36.0,36.0,36.0,36.0,36.0,0
2015-05-08,36.0,36.0,36.0,36.0,36.0,0
2015-05-11,36.0,36.0,36.0,36.0,36.0,0
2015-05-12,36.0,36.0,36.0,36.0,36.0,0
2015-05-13,29.5,35.0,29.5,32.25,32.25,300
2015-05-14,32.25,32.25,32.25,32.25,32.25,0
2015-05-15,30.5,30.5,30.5,30.5,30.5,100
2015-05-18,29.5,29.5,29.5,29.5,29.5,100
2015-05-19,29.5,29.5,29.5,29.5,29.5,0
2015-05-20,30.5,30.5,30.5,30.5,30.5,100
2015-05-21,30.5,30.5,30.5,30.5,30.5,0
2015-05-22,30.5,30.5,30.5,30.5,30.5,0
2015-05-25,30.5,30.5,30.5,30.5,30.5,0
2015-05-26,38.0,38.0,36.0,37.0,37.0,300
2015-05-27,32.5,33.75,32.5,33.75,33.75,200
2015-05-28,33.75,33.75,33.75,33.75,33.75,0
2015-05-29,33.75,33.75,33.75,33.75,33.75,0
2015-06-02,33.75,33.75,28.0,28.0,28.0,100
2015-06-03,28.0,28.0,28.0,28.0,28.0,0
2015-06-04,27.0,27.0,27.0,27.0,27.0,200
2015-06-05,27.0,27.0,27.0,27.0,27.0,0
2015-06-08,27.0,27.0,27.0,27.0,27.0,0
2015-06-09,27.0,27.0,27.0,27.0,27.0,0
2015-06-10,27.0,27.0,27.0,27.0,27.0,0
2015-06-11,27.0,27.0,27.0,27.0,27.0,0
2015-06-12,27.0,27.0,27.0,27.0,27.0,0
2015-06-15,27.0,27.0,27.0,27.0,27.0,0
2015-06-16,27.0,27.0,27.0,27.0,27.0,0
2015-06-17,27.0,27.0,27.0,27.0,27.0,0
2015-06-18,29.75,29.75,29.75,29.75,29.75,100
2015-06-19,29.75,29.75,29.75,29.75,29.75,100
2015-06-22,29.75,29.75,29.75,29.75,29.75,0
2015-06-23,29.75,29.75,29.75,29.75,29.75,0
2015-06-24,29.75,29.75,29.75,29.75,29.75,0
2015-06-25,32.0,38.5,32.0,38.5,38.5,600
2015-06-26,39.0,39.0,39.0,39.0,39.0,100
2015-06-29,39.0,39.0,39.0,39.0,39.0,0
2015-06-30,44.0,44.0,44.0,44.0,44.0,500
2015-07-02,44.0,44.0,44.0,44.0,44.0,0
2015-07-03,44.0,44.0,44.0,44.0,44.0,0
2015-07-06,44.0,44.0,44.0,44.0,44.0,0
2015-07-07,44.0,44.0,44.0,44.0,44.0,0
2015-07-08,40.25,40.25,40.25,40.25,40.25,100
2015-07-09,40.25,40.25,40.25,40.25,40.25,0
2015-07-10,40.25,40.25,40.25,40.25,40.25,0
2015-07-13,40.25,40.25,40.25,40.25,40.25,0
2015-07-14,40.25,40.25,40.25,40.25,40.25,0
2015-07-15,40.25,40.25,40.25,40.25,40.25,0
2015-07-16,40.25,40.25,40.25,40.25,40.25,0
2015-07-17,40.25,40.25,40.25,40.25,40.25,0
2015-07-20,40.25,40.25,40.25,40.25,40.25,0
2015-07-21,40.25,40.25,40.25,40.25,40.25,0
2015-07-22,40.25,40.25,40.25,40.25,40.25,0
2015-07-23,40.25,40.25,40.25,40.25,40.25,0
2015-07-24,40.25,40.25,40.25,40.25,40.25,0
2015-07-27,40.25,40.25,40.25,40.25,40.25,0
2015-07-28,40.25,40.25,40.25,40.25,40.25,500
2015-07-29,40.25,40.25,40.25,40.25,40.25,0
2015-07-31,40.25,40.25,40.25,40.25,40.25,0
2015-08-03,40.25,40.25,40.25,40.25,40.25,0
2015-08-04,40.25,40.25,40.25,40.25,40.25,0
2015-08-05,33.0,52.0,33.0,51.0,51.0,1100
2015-08-06,51.0,51.0,51.0,51.0,51.0,0
2015-08-07,51.0,51.0,51.0,51.0,51.0,0
2015-08-10,51.0,51.0,51.0,51.0,51.0,0
2015-08-11,51.0,51.0,51.0,51.0,51.0,0
2015-08-13,51.0,51.0,51.0,51.0,51.0,0
2015-08-14,51.0,51.0,51.0,51.0,51.0,0
2015-08-17,51.0,51.0,51.0,51.0,51.0,0
2015-08-18,51.0,51.0,51.0,51.0,51.0,0
2015-08-19,51.0,51.0,51.0,51.0,51.0,800
2015-08-20,51.0,51.0,51.0,51.0,51.0,0
2015-08-21,51.0,51.0,51.0,51.0,51.0,0
2015-08-24,51.0,51.0,51.0,51.0,51.0,0
2015-08-25,51.0,51.0,51.0,51.0,51.0,0
2015-08-26,51.0,51.0,51.0,51.0,51.0,0
2015-08-27,48.0,48.0,48.0,48.0,48.0,500
2015-08-28,48.0,48.0,48.0,48.0,48.0,0
2015-08-31,48.0,48.0,48.0,48.0,48.0,0
2015-09-01,48.0,48.0,48.0,48.0,48.0,0
2015-09-02,48.0,48.0,48.0,48.0,48.0,0
2015-09-03,48.0,48.0,48.0,48.0,48.0,0
2015-09-04,48.0,48.0,48.0,48.0,48.0,0
2015-09-07,48.0,48.0,48.0,48.0,48.0,0
