Date,Open,High,Low,Close,Adj Close,Volume
2000-01-04,48.5,49.75,48.5,49.5,14.612557,3800
2000-01-05,46.5,49.0,46.5,49.0,14.464957,1100
2000-01-06,47.0,48.75,46.5,46.75,13.800751000000002,3100
2000-01-07,48.0,48.0,47.0,47.25,13.948348999999999,7500
2000-01-10,47.5,47.5,47.0,47.0,13.874552,12000
2000-01-11,47.25,47.5,46.5,47.0,13.874552,13000
2000-01-12,47.0,47.75,47.0,47.5,14.022151000000001,8400
2000-01-13,47.75,48.0,47.5,47.5,14.022151000000001,13300
2000-01-14,48.25,48.25,48.0,48.25,14.243556,2900
2000-01-17,48.5,48.5,48.25,48.5,14.317356,3100
2000-01-18,49.0,49.25,49.0,49.25,14.538754999999998,3600
2000-01-19,49.0,49.25,49.0,49.25,14.538754999999998,1300
2000-01-20,49.75,50.0,49.75,50.0,14.76016,900
2000-01-21,50.0,51.0,49.5,49.5,14.612557,11400
2000-01-24,51.0,51.0,50.0,50.0,14.76016,3600
2000-01-25,50.5,50.5,50.5,50.5,14.907760000000001,5300
2000-01-26,51.5,51.5,51.0,51.0,15.055363,4200
2000-01-27,50.5,51.0,50.5,51.0,15.055363,7300
2000-01-28,51.0,51.5,50.0,50.0,14.76016,13900
2000-01-31,50.0,51.0,50.0,51.0,15.055363,9600
2000-02-01,51.5,51.5,50.5,51.0,15.055363,7800
2000-02-02,50.5,50.5,50.0,50.0,14.76016,6600
2000-02-03,50.0,51.0,49.5,51.0,15.055363,20700
2000-02-04,50.5,53.0,50.5,50.5,14.907760000000001,51500
2000-02-07,45.0,47.0,45.0,45.5,14.355622,2700
2000-02-08,46.5,46.5,46.5,46.5,14.671128,4900
2000-02-09,47.25,55.5,47.25,50.0,15.775407999999999,150700
2000-02-10,52.0,55.5,50.0,54.0,17.037445,143700
2000-02-11,54.0,58.0,52.5,52.5,16.564178,67500
2000-02-14,50.0,50.0,48.5,49.0,15.459901,7300
2000-02-15,50.0,52.0,46.0,48.75,15.381026,9300
2000-02-16,48.25,48.75,48.0,48.0,15.144394,7800
2000-02-17,46.25,46.5,45.5,45.5,14.355622,20400
2000-02-18,46.75,46.75,46.75,46.75,14.750005999999999,3500
2000-02-21,46.75,46.75,46.75,46.75,14.750005999999999,0
2000-02-22,46.25,46.25,44.0,44.75,14.118991000000001,13100
2000-02-23,44.5,46.75,44.5,46.75,14.750005999999999,15800
2000-02-24,47.25,49.25,47.25,49.0,15.459901,24800
2000-02-25,49.0,51.0,49.0,49.75,15.696532999999999,44200
2000-02-28,48.0,48.5,47.0,47.0,14.828885000000001,12600
2000-02-29,47.25,47.25,45.75,46.0,14.513376999999998,33100
2000-03-01,45.25,47.0,45.25,45.25,14.276748000000001,3000
