Date,Open,High,Low,Close,Adj Close,Volume
2000-01-04,1.1,1.15,1.08,1.1,-0.13934000000000002,3558000
2000-01-05,1.06,1.06,0.98,0.98,-0.12413900000000001,2819000
2000-01-07,0.98,0.98,0.94,0.96,-0.12160599999999999,1509000
2000-01-10,0.98,0.98,0.87,0.87,-0.110205,1566000
2000-01-11,0.87,0.87,0.82,0.82,-0.103871,726000
2000-01-12,0.82,0.85,0.82,0.85,-0.107672,456000
2000-01-13,0.9,0.92,0.85,0.85,-0.107672,1728000
2000-01-14,0.85,0.87,0.85,0.87,-0.110205,790000
2000-01-17,0.9,0.92,0.87,0.87,-0.110205,1549000
2000-01-18,0.9,0.92,0.87,0.87,-0.110205,345000
2000-01-19,0.92,0.92,0.87,0.87,-0.110205,500000
2000-01-20,0.92,0.98,0.9,0.98,-0.12413900000000001,4334000
2000-01-21,0.98,1.1,0.98,1.0,-0.126672,24091000
2000-01-24,1.04,1.04,0.98,0.98,-0.12413900000000001,2575000
2000-01-25,0.98,1.04,0.98,0.98,-0.12413900000000001,2424000
2000-01-26,1.0,1.0,0.94,0.94,-0.119072,1073000
2000-01-27,0.94,0.98,0.94,0.98,-0.12413900000000001,754000
2000-01-28,0.98,0.98,0.96,0.96,-0.12160599999999999,916000
2000-01-31,0.94,1.0,0.94,0.94,-0.119072,911000
2000-02-01,0.96,0.96,0.94,0.94,-0.119072,755000
2000-02-02,0.96,0.96,0.9,0.92,-0.116539,885000
2000-02-03,0.92,0.92,0.87,0.92,-0.116539,716000
2000-02-04,0.92,0.92,0.9,0.9,-0.114005,460000
2000-02-07,0.92,0.92,0.9,0.9,-0.114005,100000
2000-02-08,0.92,0.94,0.9,0.9,-0.114005,1995000
2000-02-09,0.92,0.92,0.82,0.82,-0.103871,2679000
2000-02-10,0.82,0.83,0.82,0.82,-0.103871,585000
2000-02-11,0.83,0.85,0.82,0.82,-0.103871,937000
2000-02-14,0.83,0.83,0.82,0.82,-0.103871,370000
2000-02-15,0.82,0.82,0.77,0.77,-0.097538,276000
2000-02-16,0.77,0.78,0.77,0.77,-0.097538,260000
2000-02-17,0.77,0.77,0.75,0.77,-0.097538,536000
2000-02-18,0.77,0.77,0.75,0.76,-0.09627100000000001,584000
2000-02-22,0.75,0.75,0.67,0.67,-0.084871,445000
2000-02-23,0.67,0.72,0.67,0.71,-0.089937,612000
2000-02-24,0.71,0.71,0.67,0.67,-0.084871,413000
2000-02-25,0.72,0.73,0.68,0.69,-0.087404,3180000
2000-02-28,0.67,0.67,0.58,0.58,-0.07347000000000001,725000
2000-02-29,0.58,0.6,0.52,0.52,-0.06587,3764000
2000-03-01,0.52,0.52,0.41,0.41,-0.051936,5578000
2000-03-02,0.42,0.48,0.42,0.47,-0.059536,14482000
2000-03-03,0.48,0.56,0.48,0.48,-0.060802999999999996,13388000
2000-03-06,0.47,0.49,0.44,0.44,-0.055736,1894000
2000-03-07,0.46,0.48,0.46,0.46,-0.05826900000000001,723000
2000-03-08,0.44,0.47,0.42,0.47,-0.059536,1000000
2000-03-09,0.47,0.48,0.47,0.47,-0.059536,1103000
2000-03-10,0.48,0.51,0.47,0.49,-0.06207000000000001,6957000
2000-03-13,0.48,0.48,0.47,0.47,-0.059536,1240000
2000-03-14,0.47,0.49,0.47,0.47,-0.059536,572000
2000-03-15,0.48,0.48,0.47,0.47,-0.059536,730000
2000-03-17,0.48,0.5,0.48,0.48,-0.060802999999999996,1604000
2000-03-20,0.49,0.5,0.48,0.48,-0.060802999999999996,910000
2000-03-21,0.5,0.5,0.46,0.46,-0.05826900000000001,1872000
2000-03-22,0.47,0.47,0.46,0.47,-0.059536,605000
2000-03-23,0.47,0.48,0.46,0.47,-0.059536,758000
2000-03-24,0.47,0.5,0.47,0.48,-0.060802999999999996,5353000
2000-03-27,0.5,0.52,0.5,0.51,-0.064603,2455000
2000-03-28,0.52,0.53,0.52,0.52,-0.06587,2280000
2000-03-29,0.53,0.55,0.52,0.55,-0.06967000000000001,4324000
2000-03-30,0.55,0.55,0.5,0.51,-0.064603,2437000
2000-03-31,0.5,0.52,0.5,0.51,-0.064603,925000
2000-04-03,0.51,0.51,0.5,0.5,-0.063336,660000
