Date,Open,High,Low,Close,Adj Close,Volume
2014-03-14,9.0,9.1,8.65,8.75,7.275666,219725800
2014-03-17,8.8,8.9,8.55,8.65,7.192514999999999,38316000
2014-03-18,8.7,8.7,8.6,8.65,7.192514999999999,11745500
2014-03-19,8.65,8.7,8.5,8.5,7.067789,10455500
2014-03-20,8.4,8.5,8.35,8.5,7.067789,5178600
2014-03-21,8.5,8.6,8.4,8.4,6.984639,4189700
2014-03-24,8.15,8.2,8.05,8.05,6.815314999999999,2595700
2014-03-25,8.1,8.45,8.05,8.45,7.153963,7481000
2014-03-26,8.35,8.4,8.3,8.35,7.069302,1345500
2014-03-27,8.4,8.4,8.25,8.25,6.984639,1403300
2014-03-28,8.25,8.35,8.2,8.35,7.069302,651300
2014-03-31,8.3,8.3,8.2,8.2,6.942308000000001,781900
2014-04-01,8.2,8.3,8.2,8.2,6.942308000000001,1383200
2014-04-02,8.25,8.45,8.2,8.45,7.153963,4368800
2014-04-03,8.45,8.45,8.2,8.25,6.984639,3067200
2014-04-04,8.25,8.35,8.15,8.2,6.942308000000001,2899200
2014-04-08,8.2,8.7,8.2,8.35,7.069302,15241900
2014-04-09,8.35,8.4,8.25,8.25,6.984639,1395300
2014-04-10,8.3,8.35,8.25,8.25,6.984639,1927700
2014-04-11,8.25,8.5,8.25,8.5,7.196295,6958400
2014-04-16,8.5,8.7,8.4,8.6,7.280958,12334000
2014-04-17,8.65,9.25,8.6,9.05,7.661936999999999,59214600
2014-04-18,9.15,9.2,8.95,9.1,7.704269999999999,12618000
2014-04-21,9.1,9.45,9.0,9.45,8.000587,48462700
2014-04-22,9.45,9.5,9.3,9.4,7.9582559999999996,15766600
2014-04-23,9.4,9.95,9.4,9.8,8.296905,43956900
2014-04-24,9.8,10.4,9.7,10.4,8.804879,40324700
2014-04-25,10.3,10.3,9.4,9.65,8.169911,49191400
2014-04-28,9.5,9.8,9.3,9.65,8.169911,1084100
2014-04-29,9.65,10.1,9.55,10.1,8.550891,23164300
2014-04-30,10.1,10.2,9.75,9.85,8.339236999999999,9775500
2014-05-02,9.85,10.2,9.75,10.0,8.466228,21348300
2014-05-06,10.0,10.1,9.8,10.0,8.466228,11932000
2014-05-07,9.9,9.95,9.8,9.85,8.339236999999999,3878000
2014-05-08,9.85,9.85,9.3,9.55,8.08525,16169700
2014-05-09,9.5,9.5,9.05,9.3,7.873594000000001,13939100
2014-05-12,9.2,9.3,8.75,9.1,7.704269999999999,16583600
2014-05-14,9.1,9.7,9.1,9.5,8.042917999999998,19505000
2014-05-15,9.5,9.6,9.3,9.3,7.873594000000001,4859900
2014-05-16,9.3,9.65,9.3,9.45,8.000587,5363700
2014-05-19,9.4,9.45,9.35,9.35,7.915925,1060400
2014-05-20,9.2,9.55,9.15,9.35,7.915925,3730500
2014-05-21,9.45,9.7,9.45,9.7,8.212242,15610300
2014-05-22,9.85,9.9,9.5,9.6,8.127581,7024700
2014-05-23,9.4,9.7,9.3,9.6,8.127581,5518100
2014-05-26,9.6,9.6,9.35,9.45,8.000587,3117600
2014-05-27,9.5,9.65,9.45,9.55,8.08525,5114600
2014-05-28,9.6,9.7,9.4,9.45,8.000587,2747700
2014-05-29,9.5,9.6,9.45,9.5,8.042917999999998,1433100
2014-05-30,9.45,10.1,9.35,10.0,8.466228,20043800
2014-06-02,9.95,10.1,9.85,10.0,8.466228,4908200
2014-06-03,10.0,10.5,10.0,10.2,8.635553,29929700
2014-06-04,10.3,10.6,10.2,10.3,8.720218,33889200
2014-06-05,10.4,10.6,10.3,10.4,8.804879,14005400
2014-06-06,10.4,10.8,10.4,10.7,9.058864999999999,18986800
2014-06-09,10.7,10.8,10.3,10.5,8.889541,5525600
2014-06-10,10.4,10.5,10.3,10.5,8.889541,3555400
2014-06-11,10.6,10.9,10.5,10.7,9.058864999999999,7077500
2014-06-12,10.7,10.7,10.5,10.5,8.889541,1683100
2014-06-13,10.5,10.9,10.5,10.6,8.974203,11658400
2014-06-16,10.6,10.7,10.2,10.7,9.058864999999999,13457500
2014-06-17,10.7,10.7,10.4,10.4,8.804879,3737300
2014-06-18,10.4,10.5,10.3,10.3,8.720218,2996300
2014-06-19,10.3,10.4,10.2,10.2,8.635553,2338500
2014-06-20,10.2,10.4,10.1,10.3,8.720218,2606100
2014-06-23,10.2,10.4,10.1,10.2,8.635553,3303900
2014-06-24,10.3,10.3,10.0,10.2,8.635553,6693200
2014-06-25,10.2,10.2,10.0,10.2,8.635553,2023000
2014-06-26,10.2,10.3,10.1,10.1,8.550891,4515600
2014-06-27,10.2,10.5,10.2,10.5,8.889541,9477900
2014-06-30,10.5,10.5,10.2,10.4,8.804879,7344100
2014-07-02,10.4,10.4,9.95,10.3,8.720218,9679000
2014-07-03,10.3,10.3,10.0,10.2,8.635553,4805400
2014-07-04,10.2,10.5,10.2,10.4,8.804879,4888600
2014-07-07,10.3,10.4,10.2,10.4,8.804879,921300
2014-07-08,10.3,10.5,10.2,10.4,8.804879,3929000
2014-07-09,10.3,10.5,10.3,10.5,8.889541,3084300
2014-07-10,10.6,10.8,10.5,10.8,9.143529,9376700
2014-07-14,10.8,11.2,10.7,10.7,9.058864999999999,13016200
