Date,Open,High,Low,Close,Adj Close,Volume
2015-03-24,7.3,7.5,6.3,6.45,5.883076,795570200
2015-03-25,6.6,6.7,6.1,6.1,5.563839,160419100
2015-03-26,6.1,6.35,5.85,5.9,5.381419,121938100
2015-03-27,5.95,6.15,5.8,5.85,5.335813,103385900
2015-03-30,5.95,6.1,5.6,5.75,5.244603,121941000
2015-03-31,5.85,5.85,5.65,5.75,5.244603,45219700
2015-04-01,5.75,6.05,5.75,5.95,5.427023999999999,48362800
2015-04-02,5.9,5.95,5.85,5.85,5.391998,19281800
2015-04-03,5.85,6.1,5.85,6.1,5.622426,54120800
2015-04-07,6.1,6.2,6.05,6.05,5.576341,23556700
2015-04-08,6.05,6.45,6.0,6.4,5.898939,108349100
2015-04-09,6.35,6.4,6.25,6.35,5.852854,25533000
2015-04-10,6.4,6.4,6.15,6.15,5.668511,35656700
2015-04-16,6.15,6.35,6.15,6.2,5.714597,44524100
2015-04-17,6.2,6.2,6.05,6.05,5.576341,13728400
2015-04-21,6.0,6.05,5.95,5.95,5.4841690000000005,4752300
2015-04-22,6.0,6.05,5.8,5.85,5.391998,13547300
2015-04-23,5.9,5.9,5.8,5.8,5.3459129999999995,7406600
2015-04-24,5.85,5.85,5.65,5.7,5.253742,12471900
2015-04-27,5.75,5.75,5.4,5.4,4.9772300000000005,34814900
2015-04-28,5.4,5.45,5.2,5.25,4.838973999999999,13286100
2015-04-29,5.2,5.5,5.2,5.4,4.9772300000000005,7565500
2015-04-30,5.4,5.45,5.3,5.4,4.9772300000000005,5416300
2015-05-04,5.4,5.4,5.4,5.4,4.9772300000000005,0
2015-05-07,5.3,5.35,5.1,5.1,4.700717,13256700
2015-05-08,5.2,5.35,5.1,5.3,4.885059,8995500
2015-05-12,5.35,5.4,5.15,5.15,4.746802,7835000
2015-05-14,5.35,5.55,5.3,5.5,5.0694,16845000
2015-05-15,5.5,5.6,5.45,5.6,5.161571,11633500
2015-05-18,5.6,5.65,5.5,5.55,5.115486,6669500
2015-05-20,5.6,5.65,5.5,5.5,5.0694,3877900
2015-05-21,5.5,5.55,5.4,5.45,5.023315,4158200
2015-05-22,5.45,5.55,5.35,5.35,4.931144000000001,4239200
2015-05-25,5.4,5.45,5.3,5.3,4.885059,4644100
2015-05-29,5.25,5.25,5.2,5.2,4.792888,2786600
2015-06-02,5.25,5.25,5.15,5.15,4.746802,5041700
2015-06-03,5.2,5.2,5.1,5.1,4.700717,5405400
2015-06-09,5.5,5.8,5.45,5.75,5.299828,31605600
2015-06-16,6.0,6.2,5.85,5.95,5.4841690000000005,17714700
2015-06-17,5.95,6.05,5.8,5.9,5.438084,9123500
2015-06-18,5.95,6.0,5.85,5.95,5.4841690000000005,4934700
2015-06-19,5.9,5.95,5.6,5.65,5.207657,11490800
2015-07-08,5.3,5.3,5.2,5.25,4.838973999999999,2435300
2015-07-20,5.4,5.45,5.25,5.25,4.838973999999999,1907200
2015-07-27,5.3,5.35,5.15,5.2,4.792888,5036300
2015-08-13,5.15,5.15,5.05,5.1,4.700717,3762600
2015-08-14,5.1,5.35,5.1,5.3,4.885059,6826600
2015-08-17,5.35,5.6,5.3,5.6,5.161571,9594200
2015-08-18,5.25,5.4,5.2,5.25,4.838973999999999,8744800
2015-08-19,5.25,5.4,5.25,5.3,4.885059,2254400
2015-08-20,5.25,5.35,5.2,5.3,4.885059,5804700
2015-08-21,5.25,5.3,5.15,5.2,4.792888,2551600
2015-08-24,5.1,5.15,4.9,4.9,4.516375,7373000
2015-08-25,4.94,5.2,4.78,5.2,4.792888,12260700
2015-08-26,5.1,5.2,5.0,5.0,4.608546,1894700
2015-08-27,5.15,5.15,5.1,5.1,4.700717,2187000
2015-08-28,5.2,5.2,5.05,5.1,4.700717,3165000
2015-08-31,5.1,5.15,5.1,5.15,4.746802,532100
2015-09-01,5.15,5.15,5.05,5.05,4.654632,1325800
2015-09-02,5.05,5.2,5.05,5.15,4.746802,1841000
2015-09-03,5.15,5.35,5.15,5.25,4.838973999999999,7048600
2015-09-04,5.25,5.3,5.2,5.2,4.792888,2957200
2015-09-07,5.2,5.2,5.15,5.15,4.746802,1061700
2015-09-08,5.15,5.2,5.15,5.2,4.792888,1857700
2015-09-09,5.25,5.3,5.2,5.3,4.885059,2943000
2015-09-10,5.25,5.35,5.25,5.3,4.885059,2111500
2015-09-11,5.25,5.5,5.25,5.3,4.885059,5374700
2015-09-14,5.25,5.25,5.2,5.2,4.792888,554000
2015-09-15,5.25,5.25,5.2,5.25,4.838973999999999,752200
2015-09-16,5.2,5.25,5.2,5.2,4.792888,1165100
2015-09-17,5.2,5.3,5.2,5.3,4.885059,755800
2015-09-18,5.3,5.4,5.2,5.4,4.9772300000000005,1582800
2015-09-21,5.4,5.4,5.3,5.3,4.885059,1566600
2015-09-22,5.35,5.4,5.35,5.35,4.931144000000001,2315800
2015-09-23,5.3,5.4,5.25,5.25,4.838973999999999,1189200
2015-09-24,5.25,5.35,5.25,5.3,4.885059,1464100
2015-09-25,5.3,5.35,5.25,5.25,4.838973999999999,580500
2015-09-28,5.25,5.3,5.2,5.2,4.792888,1460700
2015-09-29,5.2,5.2,5.1,5.15,4.746802,1582900
2015-09-30,5.15,5.25,5.15,5.25,4.838973999999999,1535000
2015-10-01,5.25,5.25,5.15,5.15,4.746802,1670200
2015-10-02,5.15,5.2,5.15,5.15,4.746802,269500
2015-10-05,5.15,5.25,5.15,5.2,4.792888,1779300
2015-10-06,5.3,5.35,5.25,5.25,4.838973999999999,2536300
2015-10-07,5.3,5.35,5.25,5.35,4.931144000000001,3547900
2015-10-08,5.35,5.35,5.25,5.25,4.838973999999999,2131000
2015-10-09,5.3,5.35,5.25,5.3,4.885059,1363100
2015-10-12,5.3,5.35,5.25,5.25,4.838973999999999,1934500
2015-10-13,5.3,5.3,5.25,5.3,4.885059,692800
2015-10-14,5.25,5.3,5.2,5.25,4.838973999999999,2469000
2015-10-15,5.25,5.3,5.25,5.25,4.838973999999999,2405000
2015-10-16,5.3,5.3,5.2,5.25,4.838973999999999,1937400
2015-10-19,5.3,5.3,5.25,5.3,4.885059,738300
2015-10-20,5.3,5.3,5.25,5.3,4.885059,806800
2015-10-21,5.3,5.35,5.25,5.25,4.838973999999999,2859800
2015-10-22,5.25,5.25,5.2,5.25,4.838973999999999,589000
2015-10-26,5.25,5.3,5.2,5.25,4.838973999999999,1304200
2015-10-27,5.2,5.25,5.2,5.25,4.838973999999999,1337100
2015-10-28,5.25,5.25,5.15,5.15,4.746802,2399500
2015-10-29,5.15,5.15,5.05,5.1,4.700717,3649400
2015-10-30,5.15,5.15,5.05,5.1,4.700717,259200
2015-11-02,5.15,5.15,5.1,5.15,4.746802,417300
2015-11-03,5.15,5.15,5.15,5.15,4.746802,400800
2015-11-04,5.15,5.3,5.1,5.15,4.746802,2201800
2015-11-05,5.2,5.3,5.15,5.15,4.746802,2370900
2015-11-06,5.15,5.2,5.15,5.2,4.792888,442500
2015-11-09,5.15,5.2,5.1,5.1,4.700717,404900
2015-11-10,5.15,5.15,5.1,5.1,4.700717,537100
2015-11-11,5.15,5.2,5.15,5.15,4.746802,1459000
2015-11-12,5.2,5.2,5.1,5.1,4.700717,1083500
2015-11-13,5.1,5.35,5.1,5.25,4.838973999999999,9169600
2015-11-16,5.25,5.5,5.2,5.5,5.0694,26265200
2015-11-17,5.5,5.55,5.4,5.45,5.023315,9285400
2015-11-18,5.45,5.6,5.4,5.45,5.023315,11417800
2015-11-19,5.55,5.85,5.5,5.6,5.161571,33762000
2015-11-20,5.6,5.65,5.5,5.5,5.0694,16159300
2015-11-23,5.55,5.7,5.5,5.55,5.115486,17589700
2015-11-24,5.55,5.75,5.35,5.35,4.931144000000001,17492300
2015-11-25,5.4,5.5,5.35,5.5,5.0694,6245400
2015-11-26,5.5,5.55,5.3,5.4,4.9772300000000005,4785800
2015-11-27,5.3,5.45,5.3,5.4,4.9772300000000005,2794200
2015-11-30,5.45,5.5,5.3,5.3,4.885059,8131100
2015-12-01,5.35,5.4,5.2,5.2,4.792888,5210200
2015-12-02,5.3,5.3,5.05,5.1,4.700717,5566900
2015-12-03,5.1,5.2,5.05,5.15,4.746802,3345800
2015-12-04,5.15,5.2,5.1,5.1,4.700717,716800
2015-12-08,5.1,5.2,5.05,5.05,4.654632,2311600
2015-12-09,5.1,5.15,5.0,5.05,4.654632,2545900
2015-12-11,5.05,5.05,4.96,4.96,4.5716779999999995,2301400
2015-12-14,4.9,5.05,4.88,4.96,4.5716779999999995,2660700
2015-12-15,5.0,5.25,5.0,5.25,4.838973999999999,4424200
2015-12-16,5.2,5.2,5.05,5.15,4.746802,1430100
2015-12-17,5.1,5.15,5.05,5.15,4.746802,1624200
2015-12-18,5.1,5.15,5.0,5.1,4.700717,1567000
2015-12-21,5.05,5.1,5.0,5.0,4.608546,1398600
2015-12-22,5.0,5.0,4.94,4.94,4.553244,2036700
2015-12-23,4.98,5.05,4.94,4.96,4.5716779999999995,1195300
2015-12-24,5.0,5.05,4.94,4.96,4.5716779999999995,2061400
2015-12-25,4.96,4.98,4.94,4.94,4.553244,326200
2015-12-28,4.98,5.0,4.96,5.0,4.608546,901900
2015-12-29,5.0,5.0,4.96,4.96,4.5716779999999995,1621500
2015-12-30,4.98,5.05,4.96,5.0,4.608546,1181700
2016-01-04,5.0,5.0,4.92,4.96,4.5716779999999995,736900
2016-01-05,4.94,4.96,4.9,4.94,4.553244,4835500
2016-01-06,4.94,4.96,4.92,4.96,4.5716779999999995,691400
2016-01-07,4.9,4.96,4.9,4.9,4.516375,1392200
2016-01-08,4.9,4.92,4.88,4.92,4.53481,887200
2016-01-11,4.92,4.94,4.86,4.92,4.53481,803600
2016-01-12,4.92,4.92,4.88,4.9,4.516375,475200
2016-01-13,4.92,5.1,4.9,5.0,4.608546,2149600
2016-01-15,4.96,5.05,4.92,4.92,4.53481,1942100
2016-01-18,4.92,4.92,4.88,4.9,4.516375,1092700
2016-01-19,4.9,5.0,4.9,4.94,4.553244,1941600
2016-01-20,4.94,5.05,4.94,4.96,4.5716779999999995,2290600
2016-01-21,4.96,4.98,4.92,4.96,4.5716779999999995,1020200
2016-01-22,5.0,5.2,4.98,5.2,4.792888,5417900
2016-01-25,5.2,5.2,5.05,5.05,4.654632,2527700
2016-01-27,5.05,5.1,5.0,5.0,4.608546,532000
2016-01-28,5.05,5.05,5.0,5.0,4.608546,890400
2016-02-01,5.0,5.1,5.0,5.0,4.608546,1148800
2016-02-02,5.0,5.15,5.0,5.05,4.654632,2362200
2016-02-03,5.0,5.05,5.0,5.05,4.654632,964300
2016-02-04,5.1,5.1,5.0,5.0,4.608546,919900
2016-02-05,5.0,5.05,5.0,5.0,4.608546,1284600
2016-02-10,5.05,5.05,5.0,5.0,4.608546,479700
2016-02-11,5.05,5.1,4.96,4.96,4.5716779999999995,3022900
2016-02-12,4.96,4.98,4.94,4.94,4.553244,1564100
2016-02-15,4.94,4.98,4.94,4.96,4.5716779999999995,650300
2016-02-17,5.0,5.05,4.98,5.0,4.608546,2533400
2016-02-18,5.05,5.1,5.0,5.0,4.608546,1098400
2016-02-19,5.0,5.05,5.0,5.05,4.654632,875700
2016-02-23,5.05,5.25,5.05,5.25,4.838973999999999,6847000
2016-02-25,5.45,5.5,5.35,5.5,5.0694,6633800
2016-02-26,5.45,5.5,5.35,5.35,4.931144000000001,2778900
2016-02-29,5.35,5.4,5.25,5.25,4.838973999999999,1735600
2016-03-01,5.25,5.3,5.2,5.25,4.838973999999999,1253800
2016-03-02,5.25,5.35,5.25,5.3,4.885059,2798900
2016-03-08,5.6,5.6,5.4,5.4,4.9772300000000005,2388000
2016-03-10,5.55,5.55,5.4,5.45,5.023315,1421600
2016-03-11,5.45,5.5,5.45,5.5,5.0694,1290200
2016-03-15,5.5,5.5,5.4,5.45,5.023315,680200
2016-03-16,5.45,5.5,5.3,5.35,4.931144000000001,1780500
2016-03-17,5.35,5.45,5.35,5.45,5.023315,684900
2016-03-18,5.45,5.45,5.3,5.4,4.9772300000000005,1332600
