Date,Open,High,Low,Close,Adj Close,Volume
2005-12-23,1.08,1.088,0.928,0.928,0.49366000000000004,59715500
2005-12-26,0.928,0.928,0.864,0.864,0.45961499999999994,7208250
2005-12-27,0.864,0.88,0.8,0.816,0.43408,9128500
2005-12-28,0.824,0.856,0.816,0.856,0.455359,7016750
2005-12-29,0.856,0.872,0.848,0.848,0.451103,4012000
2005-12-30,0.856,0.856,0.832,0.832,0.442592,2099000
2006-01-04,0.816,0.84,0.816,0.816,0.43408,4209750
2006-01-05,0.824,0.856,0.816,0.816,0.43408,7987250
2006-01-06,0.824,0.848,0.816,0.832,0.442592,5263500
2006-01-09,0.84,0.856,0.84,0.848,0.451103,3572000
2006-01-11,0.872,0.904,0.864,0.88,0.46812600000000004,8300750
2006-01-13,0.88,0.928,0.88,0.92,0.489404,9355750
2006-01-16,0.912,0.92,0.896,0.904,0.480893,3562750
2006-01-18,0.88,0.88,0.848,0.864,0.45961499999999994,2037500
2006-01-19,0.88,0.88,0.856,0.88,0.46812600000000004,581250
2006-01-20,0.872,0.888,0.856,0.88,0.46812600000000004,2245000
2006-01-23,0.88,0.88,0.864,0.872,0.46387,967500
2006-01-24,0.88,0.88,0.856,0.864,0.45961499999999994,1707500
2006-01-27,0.928,0.944,0.92,0.92,0.489404,2247250
2006-01-30,0.928,0.928,0.896,0.912,0.485149,882500
2006-01-31,0.912,0.912,0.896,0.896,0.476637,891500
2006-02-01,0.896,0.912,0.88,0.88,0.46812600000000004,417000
2006-02-02,0.88,0.88,0.848,0.856,0.455359,1355000
2006-02-03,0.8533299999999999,0.8733299999999999,0.8533299999999999,0.8733299999999999,0.464578,1355
2006-02-07,0.856,0.864,0.856,0.864,0.45961499999999994,1166750
2006-02-08,0.856,0.856,0.848,0.856,0.455359,1084500
2006-02-09,0.856,0.864,0.848,0.856,0.455359,982500
2006-02-14,0.84,0.856,0.832,0.84,0.44684700000000005,750750
2006-02-15,0.848,0.872,0.848,0.856,0.455359,721000
2006-02-16,0.864,0.864,0.84,0.848,0.451103,476250
2006-02-17,0.848,0.848,0.848,0.848,0.451103,179250
2006-02-20,0.848,0.856,0.848,0.856,0.455359,142500
2006-02-22,0.84,0.856,0.832,0.856,0.455359,578000
2006-02-23,0.84,0.856,0.84,0.84,0.44684700000000005,250000
2006-02-27,0.84,0.848,0.816,0.824,0.43833599999999995,1333750
2006-02-28,0.816,0.84,0.816,0.832,0.442592,209500
2006-03-01,0.824,0.824,0.808,0.824,0.43833599999999995,1325750
2006-03-02,0.824,0.824,0.816,0.816,0.43408,65000
2006-03-07,0.8,0.8,0.788,0.8,0.425569,992000
2006-03-09,0.808,0.84,0.808,0.816,0.43408,609250
2006-03-10,0.816,0.832,0.816,0.824,0.43833599999999995,313000
2006-03-14,0.824,0.824,0.816,0.824,0.43833599999999995,125000
2006-03-15,0.824,0.872,0.824,0.832,0.442592,6131000
2006-03-20,0.816,0.824,0.808,0.824,0.43833599999999995,226250
2006-03-21,0.824,0.824,0.816,0.816,0.43408,742750
2006-03-22,0.824,0.824,0.808,0.808,0.429825,888250
2006-03-24,0.824,0.824,0.824,0.824,0.43833599999999995,50000
2006-03-27,0.824,0.824,0.816,0.816,0.43408,698750
2006-03-28,0.824,0.824,0.816,0.816,0.43408,383000
2006-03-29,0.808,0.808,0.8,0.808,0.451981,850250
2006-03-30,0.808,0.808,0.8,0.8,0.447506,130000
2006-03-31,0.8,0.808,0.8,0.808,0.451981,250250
2006-04-07,0.84,0.848,0.832,0.848,0.47435600000000006,789500
2006-04-10,0.848,0.848,0.824,0.84,0.46988100000000005,368000
2006-04-11,0.832,0.888,0.824,0.856,0.47883100000000006,6769250
2006-04-17,0.92,0.928,0.904,0.912,0.510156,3123750
2006-04-18,0.92,0.936,0.888,0.912,0.510156,4686750
2006-04-25,0.872,0.888,0.872,0.88,0.492256,263750
2006-04-28,0.896,0.896,0.872,0.888,0.49673100000000003,117750
2006-05-02,0.88,0.88,0.872,0.88,0.492256,339500
2006-05-03,0.88,0.88,0.872,0.88,0.492256,235000
2006-05-04,0.88,0.88,0.872,0.88,0.492256,964750
2006-05-08,0.88,0.904,0.88,0.904,0.505681,608500
2006-05-09,0.904,0.92,0.896,0.912,0.510156,858250
2006-05-11,0.896,0.896,0.88,0.896,0.501206,178000
2006-05-15,0.864,0.888,0.864,0.888,0.49673100000000003,255000
2006-05-16,0.864,0.872,0.856,0.856,0.47883100000000006,969750
2006-05-17,0.856,0.872,0.848,0.872,0.487781,368750
2006-05-18,0.856,0.856,0.848,0.856,0.47883100000000006,517500
2006-05-19,0.872,0.872,0.864,0.872,0.487781,483250
2006-05-22,0.856,0.864,0.84,0.864,0.483306,1402750
2006-05-23,0.856,0.864,0.84,0.864,0.483306,463750
2006-05-24,0.8533299999999999,0.86666,0.8533299999999999,0.86666,0.48479399999999995,92
2006-05-26,0.856,0.856,0.84,0.848,0.47435600000000006,792500
2006-05-30,0.84,0.848,0.84,0.84,0.46988100000000005,92500
2006-05-31,0.832,0.856,0.832,0.856,0.47883100000000006,52500
2006-06-01,0.848,0.848,0.832,0.832,0.46540600000000004,15250
2006-06-02,0.832,0.832,0.832,0.832,0.46540600000000004,175000
2006-06-05,0.856,0.856,0.832,0.832,0.46540600000000004,0
2006-06-06,0.832,0.864,0.808,0.864,0.483306,419500
2006-06-07,0.832,0.848,0.824,0.84,0.46988100000000005,82750
2006-06-08,0.816,0.84,0.792,0.84,0.46988100000000005,165000
2006-06-14,0.832,0.832,0.8,0.824,0.46093100000000004,513750
2006-06-16,0.824,0.824,0.8,0.8,0.447506,106500
2006-06-19,0.8,0.808,0.8,0.808,0.451981,145000
2006-06-20,0.8,0.808,0.8,0.808,0.451981,165000
2006-06-22,0.8,0.8,0.8,0.8,0.447506,5000
2006-06-23,0.8,0.808,0.8,0.808,0.451981,7750
2006-06-26,0.8,0.8,0.8,0.8,0.447506,25750
2006-06-27,0.8,0.8,0.8,0.8,0.447506,79000
2006-06-29,0.808,0.808,0.796,0.8,0.447506,30000
2006-06-30,0.808,0.808,0.8,0.8,0.447506,110000
2006-07-03,0.8,0.8,0.8,0.8,0.447506,40000
2006-07-04,0.796,0.808,0.796,0.808,0.451981,17750
2006-07-05,0.8,0.8,0.8,0.8,0.447506,20000
2006-07-06,0.796,0.808,0.792,0.808,0.451981,35250
