Date,Open,High,Low,Close,Adj Close,Volume
2015-01-05,8.6,8.85,8.6,8.85,8.487516000000001,8000
2015-01-06,8.85,8.85,8.5,8.8,8.439564,5700
2015-01-07,8.7,8.7,8.7,8.7,8.34366,1000
2015-01-08,8.8,8.8,8.6,8.8,8.439564,1400
2015-01-09,8.9,8.9,8.9,8.9,8.535467,1100
2015-01-12,8.85,8.85,8.85,8.85,8.487516000000001,4200
2015-01-13,8.9,8.9,8.9,8.9,8.535467,3100
2015-01-14,8.9,8.9,8.9,8.9,8.535467,1000
2015-01-15,8.9,8.9,8.9,8.9,8.535467,100
2015-01-16,8.9,8.9,8.9,8.9,8.535467,0
2015-01-19,8.9,8.9,8.9,8.9,8.535467,0
2015-01-20,8.95,8.95,8.8,8.8,8.439564,4400
2015-01-21,8.8,8.8,8.8,8.8,8.439564,1500
2015-01-22,8.8,8.8,8.8,8.8,8.439564,0
2015-01-23,8.9,8.95,8.85,8.95,8.58342,1100
2015-01-26,9.0,9.0,8.9,8.95,8.58342,8100
2015-01-27,8.95,9.0,8.95,9.0,8.631372,16500
2015-01-28,9.0,9.0,8.9,8.95,8.58342,800
2015-01-29,9.0,9.0,8.95,8.95,8.58342,4700
2015-01-30,8.95,8.95,8.95,8.95,8.58342,0
2015-02-02,8.95,8.95,8.95,8.95,8.58342,0
2015-02-03,9.0,9.0,8.8,8.8,8.439564,4000
2015-02-04,8.8,9.05,8.8,8.95,8.58342,23400
2015-02-05,9.0,9.0,8.95,9.0,8.631372,400
2015-02-06,8.95,9.1,8.6,9.1,8.727277,28100
2015-02-09,9.1,9.1,9.0,9.0,8.631372,6900
2015-02-10,9.0,9.0,8.9,8.9,8.535467,26700
2015-02-11,9.1,9.25,8.95,9.2,8.82318,105600
2015-02-12,9.25,9.35,9.1,9.1,8.727277,21900
2015-02-13,9.3,9.4,9.25,9.3,8.919086,129200
2015-02-16,9.45,9.45,9.3,9.4,9.014988,20200
2015-02-17,9.4,9.4,9.35,9.35,8.967036,20900
2015-02-18,9.2,9.4,9.15,9.15,8.775229,14100
2015-02-19,9.2,9.3,9.2,9.3,8.919086,4800
2015-02-20,9.3,9.4,9.2,9.3,8.919086,10600
2015-02-23,9.3,9.4,9.25,9.4,9.014988,15900
2015-02-24,9.4,9.5,9.35,9.35,8.967036,25600
2015-02-25,9.4,9.4,9.2,9.3,8.919086,19800
2015-02-26,9.15,9.35,9.1,9.35,8.967036,21400
2015-02-27,9.2,9.35,9.1,9.25,8.871133,47500
2015-03-02,9.2,9.35,9.1,9.25,8.871133,70800
2015-03-03,9.3,9.3,9.0,9.0,8.631372,78100
2015-03-05,9.0,9.35,8.3,9.0,8.631372,146000
2015-03-06,9.25,9.3,9.1,9.1,8.727277,28200
2015-03-09,9.4,9.4,9.1,9.35,8.967036,84900
2015-03-10,9.2,9.35,9.1,9.25,8.871133,59300
2015-03-11,9.05,9.15,9.05,9.15,8.775229,22800
2015-03-12,9.3,9.3,9.05,9.2,8.82318,41100
2015-03-13,9.25,9.3,9.15,9.25,8.871133,29300
2015-03-16,9.2,9.2,9.05,9.1,8.727277,36700
2015-03-17,9.05,9.3,9.05,9.25,8.871133,94500
2015-03-18,9.3,9.3,9.05,9.25,8.871133,33400
2015-03-19,9.3,9.3,9.05,9.3,8.919086,31900
2015-03-20,9.05,9.2,9.05,9.2,8.82318,5200
2015-03-23,9.05,9.05,9.0,9.0,8.631372,50200
2015-03-24,8.85,9.1,8.85,8.85,8.487516000000001,22200
2015-03-25,9.1,9.1,8.9,8.95,8.58342,8500
2015-03-26,8.8,8.85,8.8,8.8,8.439564,91600
2015-03-27,8.4,8.45,8.35,8.4,8.186182,149100
2015-03-30,8.2,8.35,8.2,8.3,8.088728,49900
2015-03-31,8.2,8.5,8.2,8.3,8.088728,57900
2015-04-01,8.25,9.0,8.25,8.4,8.186182,14600
2015-04-02,8.75,8.75,8.3,8.45,8.234909,24100
2015-04-03,8.25,8.35,8.25,8.35,8.137455000000001,26900
2015-04-07,8.35,8.55,8.25,8.45,8.234909,11000
2015-04-08,8.3,8.4,8.3,8.35,8.137455000000001,400
2015-04-09,8.3,8.35,8.3,8.35,8.137455000000001,12400
2015-04-10,8.25,8.45,8.25,8.45,8.234909,39600
2015-04-16,8.45,8.45,8.25,8.35,8.137455000000001,14800
2015-04-17,8.25,8.4,8.25,8.25,8.04,54100
2015-04-20,8.25,8.3,8.1,8.15,7.942545,79900
2015-04-21,8.1,8.25,8.1,8.2,7.991273,33200
2015-04-22,8.3,8.3,8.2,8.2,7.991273,25800
2015-04-23,8.1,8.3,8.05,8.15,7.942545,55200
2015-04-24,8.1,8.25,8.1,8.25,8.04,1200
2015-04-27,8.15,8.25,8.1,8.25,8.04,59400
2015-04-28,8.1,8.2,8.05,8.05,7.845091,18200
2015-04-29,8.1,8.2,8.1,8.2,7.991273,1300
2015-04-30,8.2,8.2,8.1,8.1,7.893819000000001,14600
