Date,Open,High,Low,Close,Adj Close,Volume
2008-05-29,9.6,9.65,9.45,9.55,7.974659,4271500
2008-06-03,10.0,10.0,9.95,10.0,8.350427999999999,3265500
2008-06-04,10.0,10.0,9.9,9.95,8.308677000000001,4578000
2008-06-05,10.0,10.0,9.75,9.75,8.141668,6973500
2008-06-13,10.9,11.9,10.7,11.8,9.853505,3638000
2008-06-18,11.7,12.0,11.5,12.0,10.020514,11108000
2008-06-20,11.7,12.0,11.4,11.8,9.853505,10671500
2008-06-24,11.6,11.9,11.5,11.8,9.853505,2746500
2008-06-26,11.7,12.1,11.6,12.1,10.104019000000001,8545500
2008-07-02,12.5,12.7,12.3,12.4,10.354531,5522000
2008-07-03,12.4,12.4,12.0,12.1,10.104019000000001,4389500
2008-07-04,12.1,12.4,12.0,12.4,10.354531,6037500
2008-07-07,12.4,12.6,12.3,12.6,10.521541000000001,4091500
2008-07-08,12.5,12.8,12.5,12.7,10.605044,4201000
2008-07-10,12.6,12.6,12.4,12.5,10.438036,2505000
2008-07-15,12.7,12.8,12.5,12.6,10.521541000000001,3233500
2008-07-25,12.4,12.4,12.3,12.3,10.271028,798000
2008-07-29,12.4,12.4,12.3,12.3,10.271028,339500
2008-08-06,12.2,12.2,12.1,12.1,10.104019000000001,213000
2008-08-08,12.2,12.2,12.0,12.1,10.104019000000001,260000
2008-08-14,12.2,12.4,12.2,12.4,10.354531,180000
2008-08-15,12.3,12.4,12.3,12.4,10.354531,71000
2008-08-18,12.4,12.5,12.3,12.5,10.438036,152500
2008-08-20,12.4,12.4,12.3,12.3,10.271028,56500
2008-08-22,12.4,12.6,12.4,12.6,10.521541000000001,223500
2008-08-29,12.7,12.9,12.6,12.8,11.365039999999999,568500
2008-09-01,12.8,12.9,12.7,12.9,11.453828,99000
2008-09-02,12.8,12.8,12.6,12.7,11.276249,179500
2008-09-03,12.7,12.8,12.7,12.8,11.365039999999999,106500
2008-09-04,12.7,12.8,12.7,12.8,11.365039999999999,87000
2008-09-05,12.8,12.9,12.7,12.9,11.453828,142000
2008-09-08,12.9,12.9,12.8,12.9,11.453828,119000
2008-09-10,12.9,12.9,12.7,12.7,11.276249,192500
2008-09-16,12.8,12.8,12.5,12.5,11.098672,253500
2008-09-17,12.5,12.6,12.5,12.5,11.098672,162500
2008-09-22,12.5,12.5,12.4,12.4,11.00988,127500
2008-09-24,12.6,12.7,12.5,12.7,11.276249,175500
2008-09-26,12.6,12.6,12.4,12.4,11.00988,245000
2008-10-02,12.4,12.4,12.2,12.2,10.832303,107000
2008-10-03,12.3,12.3,12.0,12.1,10.743513,144500
2008-10-06,12.1,12.1,12.0,12.1,10.743513,123000
2008-10-15,12.7,12.8,12.6,12.7,11.276249,126000
2008-10-16,12.7,12.8,12.6,12.8,11.365039999999999,156000
2008-10-17,12.8,12.9,12.8,12.8,11.365039999999999,129500
2008-10-27,12.6,12.6,12.3,12.3,10.921092999999999,100000
2008-10-31,12.6,12.7,12.4,12.4,11.00988,124000
2008-11-05,12.6,12.7,12.5,12.6,11.187461,125500
2008-11-10,12.5,12.6,12.5,12.6,11.187461,87500
2008-11-13,12.6,12.6,12.5,12.5,11.098672,94000
2008-11-20,12.2,12.3,12.0,12.3,10.921092999999999,91000
2008-11-21,12.3,12.3,12.1,12.1,10.743513,114500
2008-11-24,12.1,12.2,12.1,12.2,10.832303,96500
2008-11-26,12.1,12.2,12.0,12.2,10.832303,266500
2008-12-02,12.1,12.2,12.0,12.2,10.832303,453500
