Date,Open,High,Low,Close,Adj Close,Volume
2000-01-04,3.075,3.825,3.075,3.825,1.553112,519750000
2000-01-05,3.425,4.2,3.425,4.0,1.624169,625330000
2000-01-06,4.2,4.375,3.675,3.725,1.512507,537390000
2000-01-07,3.825,3.9,3.175,3.6,1.461752,491460000
2000-01-10,3.9,4.025,3.675,3.75,1.522658,348750000
2000-01-11,3.9,3.95,3.6,3.625,1.471903,201960000
2000-01-12,3.5,3.8,3.45,3.8,1.54296,204050000
2000-01-13,3.8,3.8,3.625,3.725,1.512507,122360000
2000-01-14,3.85,4.025,3.775,3.925,1.593716,313890000
2000-01-17,4.05,4.075,3.775,3.825,1.553112,275790000
2000-01-18,3.875,3.925,3.775,3.8,1.54296,87940000
2000-01-19,3.85,3.925,3.775,3.8,1.54296,94860000
2000-01-20,3.85,3.9,3.675,3.725,1.512507,163120000
2000-01-21,3.75,3.775,3.525,3.55,1.44145,92120000
2000-01-24,3.65,3.7,3.55,3.6,1.461752,37340000
2000-01-25,3.525,3.625,3.525,3.575,1.451601,24070000
2000-01-26,3.7,3.725,3.55,3.55,1.44145,64210000
2000-01-27,3.575,3.6,3.525,3.6,1.461752,11880000
2000-01-28,3.625,3.825,3.575,3.775,1.532809,158660000
2000-01-31,3.725,3.875,3.725,3.775,1.532809,90420000
2000-02-01,3.85,3.875,3.7,3.7,1.502357,56510000
2000-02-02,3.775,3.775,3.575,3.625,1.471903,63440000
2000-02-03,3.625,3.65,3.5,3.525,1.4312989999999999,32820000
2000-02-04,3.5,3.55,3.475,3.525,1.4312989999999999,30010000
2000-02-07,3.575,3.65,3.55,3.575,1.451601,25600000
2000-02-08,3.6,3.675,3.575,3.575,1.451601,54640000
2000-02-09,3.675,3.75,3.525,3.575,1.451601,108310000
2000-02-10,3.5,3.7,3.5,3.7,1.502357,60560000
2000-02-11,3.775,3.825,3.7,3.725,1.512507,139010000
2000-02-14,3.725,3.725,3.425,3.425,1.390695,40530000
2000-02-15,3.425,3.475,3.2,3.25,1.3196370000000002,40220000
2000-02-16,3.25,3.25,2.925,2.925,1.187674,60150000
2000-02-17,2.6,2.6,2.6,2.6,1.05571,40070000
2000-02-18,2.85,2.85,2.85,2.85,1.1572200000000001,49410000
2000-02-21,2.85,2.85,2.85,2.85,1.1572200000000001,0
2000-02-22,2.45,2.45,2.45,2.45,0.9948030000000001,40170000
2000-02-23,2.425,2.425,2.425,2.425,0.9846520000000001,28370000
2000-02-24,2.425,2.425,2.425,2.425,0.9846520000000001,24950000
2000-02-25,2.675,2.675,2.675,2.675,1.086163,88790000
2000-02-28,2.425,2.425,2.425,2.425,0.9846520000000001,96210000
2000-02-29,2.3,2.3,2.3,2.3,0.933897,26310000
2000-03-01,2.325,2.325,2.325,2.325,0.944048,5290000
2000-03-02,2.5,2.5,2.5,2.5,1.0151059999999998,34120000
2000-03-03,2.3,2.3,2.3,2.3,0.933897,30550000
2000-03-06,2.35,2.35,2.35,2.35,0.954199,17590000
2000-03-07,2.325,2.325,2.325,2.325,0.944048,7530000
2000-03-08,2.35,2.35,2.35,2.35,0.954199,24510000
2000-03-09,2.525,2.525,2.525,2.525,1.0252569999999999,104560000
2000-03-10,3.125,3.125,3.125,3.125,1.268882,499970000
2000-03-13,2.775,2.775,2.775,2.775,1.126767,145410000
2000-03-14,2.85,2.85,2.85,2.85,1.1572200000000001,136860000
2000-03-15,2.775,2.775,2.775,2.775,1.126767,74050000
2000-03-16,3.15,3.15,3.15,3.15,1.279033,181990000
2000-03-17,2.975,2.975,2.975,2.975,1.207976,319360000
2000-03-20,3.0,3.0,3.0,3.0,1.218127,81860000
2000-03-21,3.2,3.2,3.2,3.2,1.2993350000000001,125470000
2000-03-22,3.1,3.1,3.1,3.1,1.258731,106170000
2000-03-23,3.125,3.125,3.125,3.125,1.268882,39070000
2000-03-24,3.175,3.175,3.175,3.175,1.289184,94670000
2000-03-27,3.25,3.25,3.25,3.25,1.3196370000000002,124940000
2000-03-28,3.2,3.2,3.2,3.2,1.2993350000000001,29820000
2000-03-29,3.1,3.1,3.1,3.1,1.258731,33520000
2000-03-30,2.85,2.85,2.85,2.85,1.1572200000000001,39050000
2000-03-31,2.775,2.775,2.775,2.775,1.126767,39780000
2000-04-03,2.8,2.8,2.8,2.8,1.136918,31030000
2000-04-04,2.75,2.75,2.75,2.75,1.116616,18610000
2000-04-05,2.625,2.625,2.625,2.625,1.065861,18720000
2000-04-06,2.625,2.625,2.625,2.625,1.065861,0
2000-04-07,2.8,2.8,2.8,2.8,1.136918,23470000
2000-04-10,2.975,2.975,2.975,2.975,1.207976,33310000
2000-04-11,2.875,2.875,2.875,2.875,1.167371,13070000
2000-04-12,2.875,2.875,2.875,2.875,1.167371,32790000
2000-04-13,2.875,2.875,2.875,2.875,1.167371,0
2000-04-14,2.875,2.875,2.875,2.875,1.167371,0
2000-04-17,2.6,2.6,2.6,2.6,1.05571,23520000
2000-04-18,2.6,2.6,2.6,2.6,1.05571,21710000
2000-04-19,2.6,2.6,2.6,2.6,1.05571,7220000
2000-04-20,2.9,2.9,2.9,2.9,1.177522,31110000
2000-04-21,2.9,2.9,2.9,2.9,1.177522,196220000
2000-04-24,2.95,2.95,2.95,2.95,1.197824,38070000
2000-04-25,2.95,2.95,2.95,2.95,1.197824,31190000
2000-04-26,2.95,2.95,2.95,2.95,1.197824,13980000
2000-04-27,2.975,2.975,2.975,2.975,1.207976,11110000
2000-04-28,2.875,2.875,2.875,2.875,1.167371,14850000
2000-05-01,2.875,2.875,2.875,2.875,1.167371,0
2000-05-02,2.8,2.8,2.8,2.8,1.136918,5790000
2000-05-03,2.8,2.8,2.8,2.8,1.136918,18440000
2000-05-04,2.825,2.825,2.825,2.825,1.1470690000000001,7380000
2000-05-05,2.625,2.625,2.625,2.625,1.065861,0
2000-05-08,2.625,2.625,2.625,2.625,1.065861,4700000
2000-05-09,2.825,2.825,2.825,2.825,1.1470690000000001,0
2000-05-10,2.075,2.075,2.075,2.075,0.8425379999999999,87260000
2000-05-11,2.175,2.175,2.175,2.175,0.883142,42250000
2000-05-12,2.275,2.275,2.275,2.275,0.923746,96770000
2000-05-15,2.175,2.175,2.175,2.175,0.883142,41100000
2000-05-16,2.45,2.45,2.45,2.45,0.9948030000000001,121670000
2000-05-17,2.45,2.45,2.45,2.45,0.9948030000000001,0
2000-05-18,2.275,2.275,2.275,2.275,0.923746,146830000
2000-05-19,2.25,2.25,2.25,2.25,0.913595,70240000
2000-05-22,2.125,2.125,2.125,2.125,0.8628399999999999,27330000
2000-05-23,2.125,2.125,2.125,2.125,0.8628399999999999,38080000
2000-05-24,2.075,2.075,2.075,2.075,0.8425379999999999,47950000
2000-05-25,2.075,2.075,2.075,2.075,0.8425379999999999,83180000
2000-05-26,2.075,2.075,2.075,2.075,0.8425379999999999,69570000
2000-05-29,2.075,2.075,2.075,2.075,0.8425379999999999,27330000
2000-05-30,2.075,2.075,2.075,2.075,0.8425379999999999,0
2000-05-31,2.15,2.15,2.15,2.15,0.872991,233140000
2000-06-01,2.225,2.225,2.225,2.225,0.903444,123640000
2000-06-02,2.3,2.3,2.3,2.3,0.933897,154220000
2000-06-05,2.4,2.4,2.4,2.4,0.9745010000000001,135660000
2000-06-06,2.375,2.375,2.375,2.375,0.96435,54060000
2000-06-07,2.4,2.4,2.4,2.4,0.9745010000000001,182860000
2000-06-08,2.45,2.45,2.45,2.45,0.9948030000000001,95780000
2000-06-09,2.4,2.4,2.4,2.4,0.9745010000000001,81030000
2000-06-12,2.35,2.35,2.35,2.35,0.954199,38780000
2000-06-13,2.275,2.275,2.275,2.275,0.923746,45170000
2000-06-14,2.475,2.475,2.475,2.475,1.0049549999999998,78100000
2000-06-15,2.4,2.4,2.4,2.4,0.9745010000000001,142720000
2000-06-16,2.4,2.4,2.4,2.4,0.9745010000000001,26850000
2000-06-19,2.35,2.35,2.35,2.35,0.954199,33300000
2000-06-20,2.35,2.35,2.35,2.35,0.954199,32220000
2000-06-21,2.4,2.4,2.4,2.4,0.9745010000000001,20100000
2000-06-22,2.275,2.275,2.275,2.275,0.923746,54660000
2000-06-23,2.275,2.275,2.275,2.275,0.923746,40080000
2000-06-26,2.25,2.25,2.25,2.25,0.913595,7910000
2000-06-27,2.275,2.275,2.275,2.275,0.923746,29440000
2000-06-28,2.275,2.275,2.275,2.275,0.923746,10580000
2000-06-29,2.1,2.1,2.1,2.1,0.8526889999999999,34890000
2000-06-30,2.1,2.1,2.1,2.1,0.8526889999999999,24410000
2000-07-03,2.1,2.1,2.1,2.1,0.8526889999999999,13700000
2000-07-04,2.025,2.025,2.025,2.025,0.8222360000000001,21000000
2000-07-05,2.175,2.175,2.175,2.175,0.883142,43620000
