Date,Open,High,Low,Close,Adj Close,Volume
2015-01-05,5.0,5.05,5.0,5.0,4.712992,111300
2015-01-06,5.0,5.05,5.0,5.0,4.712992,224500
2015-01-07,5.0,5.1,5.0,5.1,4.807252,132400
2015-01-08,5.05,5.35,5.05,5.25,4.9486419999999995,1478200
2015-01-09,5.4,5.4,5.25,5.35,5.0429010000000005,156200
2015-01-12,5.35,5.4,5.3,5.3,4.9957709999999995,457100
2015-01-13,5.3,5.45,5.3,5.4,5.090032,691200
2015-01-14,5.65,5.65,5.35,5.4,5.090032,495300
2015-01-15,5.45,5.55,5.35,5.5,5.184291,1190600
2015-01-16,5.5,5.55,5.45,5.5,5.184291,1043900
2015-01-19,5.55,5.55,5.45,5.45,5.137161,992500
2015-01-20,5.45,5.6,5.45,5.55,5.231421,531400
2015-01-21,5.65,5.65,5.5,5.55,5.231421,357500
2015-01-22,5.5,5.7,5.5,5.6,5.278551,296500
2015-01-23,5.7,5.7,5.5,5.55,5.231421,383100
2015-01-26,5.55,5.6,5.5,5.55,5.231421,121000
2015-01-27,5.5,5.55,5.5,5.5,5.184291,66500
2015-01-28,5.5,5.75,5.45,5.75,5.419941000000001,343100
2015-01-29,5.75,6.45,5.75,6.45,6.07976,1315600
2015-01-30,7.1,7.4,6.45,6.55,6.174019,2182900
2015-02-02,6.6,6.6,6.15,6.2,5.84411,400100
2015-02-03,6.2,6.5,6.05,6.35,5.9855,205000
2015-02-04,6.5,6.6,6.05,6.4,6.03263,436000
2015-02-05,6.1,6.4,6.1,6.2,5.84411,144400
2015-02-06,6.1,6.35,6.1,6.3,5.93837,281900
2015-02-09,6.35,6.35,6.1,6.1,5.74985,112900
2015-02-10,6.05,6.1,5.9,6.0,5.65559,244700
2015-02-11,6.05,6.6,6.0,6.35,5.9855,847200
2015-02-12,6.6,6.6,6.3,6.3,5.93837,271700
2015-02-13,6.45,6.45,6.25,6.25,5.89124,66900
2015-02-16,6.25,6.3,6.0,6.05,5.702719999999999,497600
2015-02-17,6.05,6.15,6.0,6.05,5.702719999999999,128100
2015-02-18,6.0,6.2,6.0,6.1,5.74985,87600
2015-02-19,6.1,6.15,6.05,6.05,5.702719999999999,236800
2015-02-20,6.0,6.1,6.0,6.05,5.702719999999999,50700
2015-02-23,6.1,6.5,6.05,6.3,5.93837,266200
2015-02-24,6.4,6.5,6.1,6.15,5.7969800000000005,215100
2015-02-25,6.15,6.2,6.1,6.1,5.74985,50700
2015-02-26,6.1,6.35,6.05,6.1,5.74985,168000
2015-02-27,6.15,6.4,6.15,6.15,5.7969800000000005,93800
2015-03-02,6.1,6.15,6.05,6.05,5.702719999999999,123600
2015-03-03,6.05,6.1,6.05,6.05,5.702719999999999,82400
2015-03-05,6.05,6.15,6.0,6.05,5.702719999999999,170400
2015-03-06,6.0,6.05,6.0,6.05,5.702719999999999,77800
2015-03-09,6.0,6.25,6.0,6.05,5.702719999999999,47800
2015-03-10,6.05,6.05,6.0,6.05,5.702719999999999,482300
2015-03-11,6.0,6.1,6.0,6.05,5.702719999999999,58600
2015-03-12,6.05,6.05,6.0,6.0,5.65559,556000
2015-03-13,6.0,6.05,6.0,6.0,5.65559,124000
2015-03-16,6.0,6.05,5.95,5.95,5.60846,728400
2015-03-17,6.0,6.15,6.0,6.0,5.65559,246000
2015-03-18,6.0,6.05,6.0,6.05,5.702719999999999,29900
2015-03-19,6.05,6.1,6.05,6.1,5.74985,30700
2015-03-20,6.1,6.15,6.1,6.15,5.7969800000000005,80400
2015-03-23,6.15,6.25,6.1,6.1,5.74985,150500
2015-03-24,6.05,6.2,5.9,6.15,5.7969800000000005,690100
