Date,Open,High,Low,Close,Adj Close,Volume
2005-03-22,2.205,2.325,2.025,2.04,1.669945,215751200
2005-03-23,2.055,2.145,1.995,2.01,1.645387,78981733
2005-03-24,2.04,2.055,1.815,1.86,1.522597,19253467
2005-03-25,1.875,1.89,1.77,1.77,1.448923,13055733
2005-03-28,1.7625,2.025,1.74,1.935,1.583992,76892800
2005-03-29,1.935,1.98,1.845,1.845,1.510318,46866933
2005-03-30,1.86,1.905,1.755,1.785,1.4612020000000001,29660267
2005-03-31,1.815,1.86,1.785,1.785,1.4612020000000001,14654267
2005-04-01,1.8,1.86,1.8,1.815,1.48576,14353200
2005-04-04,1.71,1.71,1.62,1.62,1.4456040000000001,4734800
2005-04-05,1.65,1.68,1.575,1.59,1.418834,10020800
2005-04-07,1.62,1.65,1.59,1.62,1.4456040000000001,6384667
2005-04-08,1.635,1.71,1.635,1.65,1.472374,22727600
2005-04-11,1.665,1.68,1.62,1.635,1.4589889999999999,4004533
2005-04-12,1.65,1.71,1.575,1.635,1.4589889999999999,12043867
2005-04-18,1.575,1.605,1.545,1.545,1.378678,4057333
2005-04-19,1.575,1.605,1.545,1.56,1.3920629999999998,4164400
2005-04-20,1.575,1.59,1.515,1.53,1.365293,4097600
2005-04-21,1.53,1.53,1.4925,1.4925,1.3318299999999998,2317600
2005-04-22,1.5,1.545,1.4925,1.4925,1.3318299999999998,4468267
2005-04-25,1.515,1.515,1.395,1.4025,1.2515180000000001,1660933
2005-04-26,1.4025,1.41,1.3425,1.3575,1.211363,1703467
2005-04-27,1.35,1.3725,1.32,1.335,1.191285,1669067
2005-04-28,1.35,1.35,1.23,1.2375,1.1042809999999998,1802667
2005-04-29,1.2375,1.2825,1.23,1.23,1.097588,3767467
2005-05-03,1.26,1.2675,1.245,1.26,1.124359,1030933
2005-05-04,1.2825,1.32,1.275,1.2975,1.157822,5761333
2005-05-06,1.3125,1.335,1.305,1.3275,1.184592,2787200
2005-05-09,1.35,1.35,1.3125,1.32,1.1779,840933
2005-05-10,1.32,1.32,1.29,1.2975,1.157822,1028267
2005-05-11,1.2975,1.305,1.2825,1.29,1.151129,2246800
2005-05-12,1.3275,1.3725,1.305,1.365,1.2180549999999999,11858800
2005-05-13,1.38,1.44,1.38,1.3875,1.238133,11260533
2005-05-16,1.3875,1.3875,1.3125,1.3125,1.1712069999999999,4070800
2005-05-17,1.3275,1.3275,1.2675,1.2825,1.1444370000000001,2196800
2005-05-18,1.29,1.305,1.2825,1.2975,1.157822,836000
2005-05-19,1.32,1.3575,1.32,1.3425,1.197977,2259867
2005-05-20,1.335,1.3575,1.3275,1.3425,1.197977,1352667
2005-05-24,1.35,1.38,1.3425,1.35,1.2046700000000001,1773067
2005-05-25,1.3575,1.38,1.35,1.35,1.2046700000000001,1615467
2005-05-26,1.3575,1.3575,1.35,1.35,1.2046700000000001,1140800
2005-05-27,1.35,1.3575,1.35,1.35,1.2046700000000001,624000
2005-05-30,1.3575,1.365,1.35,1.35,1.2046700000000001,757333
2005-05-31,1.35,1.3575,1.3425,1.3425,1.197977,1029333
2005-06-01,1.35,1.3875,1.335,1.3575,1.211363,4418267
2005-06-02,1.38,1.38,1.365,1.38,1.231441,1561733
2005-06-03,1.38,1.4325,1.3725,1.41,1.258211,3762000
2005-06-06,1.4175,1.455,1.4175,1.425,1.271596,5278933
2005-06-07,1.4475,1.515,1.4475,1.485,1.325137,10783867
2005-06-08,1.53,1.725,1.515,1.665,1.48576,26126400
2005-06-09,1.695,1.74,1.56,1.605,1.4322190000000001,14976400
2005-06-10,1.62,1.8,1.605,1.74,1.552686,34726933
2005-06-13,1.74,1.77,1.695,1.77,1.579456,11648933
2005-06-14,1.7625,1.785,1.695,1.695,1.51253,3758667
2005-06-15,1.71,1.74,1.71,1.71,1.525915,1781200
2005-06-16,1.725,1.755,1.65,1.65,1.472374,2081467
2005-06-17,1.65,1.71,1.65,1.68,1.4991450000000002,1621333
2005-06-20,1.695,1.695,1.575,1.575,1.405448,918800
2005-06-21,1.575,1.635,1.575,1.62,1.4456040000000001,1041200
2005-06-22,1.635,1.665,1.605,1.62,1.4456040000000001,563600
2005-06-23,1.62,1.65,1.59,1.59,1.418834,648667
2005-06-24,1.605,1.605,1.575,1.575,1.405448,446667
2005-06-27,1.575,1.575,1.56,1.56,1.3920629999999998,127600
2005-06-28,1.575,1.635,1.575,1.62,1.4456040000000001,766267
2005-06-29,1.665,1.68,1.635,1.65,1.472374,1697067
2005-06-30,1.65,1.665,1.605,1.605,1.4322190000000001,611333
2005-07-04,1.59,1.59,1.56,1.56,1.3920629999999998,662000
2005-07-05,1.56,1.62,1.56,1.575,1.405448,239867
2005-07-06,1.575,1.605,1.515,1.575,1.405448,420000
2005-07-07,1.56,1.56,1.5,1.5,1.338522,610667
2005-07-08,1.485,1.545,1.485,1.545,1.378678,147333
2005-07-11,1.545,1.545,1.5,1.5,1.338522,34800
2005-07-12,1.5,1.545,1.5,1.515,1.351907,244667
2005-07-13,1.485,1.545,1.485,1.545,1.378678,29600
2005-07-14,1.53,1.605,1.53,1.56,1.3920629999999998,2329067
2005-07-15,1.575,1.59,1.56,1.56,1.3920629999999998,1198667
2005-07-18,1.59,1.605,1.545,1.545,1.378678,173333
2005-07-19,1.575,1.575,1.545,1.56,1.3920629999999998,347200
2005-07-20,1.56,1.575,1.545,1.545,1.378678,253333
2005-07-21,1.56,1.575,1.53,1.56,1.3920629999999998,145067
2005-07-25,1.59,1.605,1.575,1.575,1.405448,104667
2005-07-26,1.575,1.635,1.575,1.62,1.4456040000000001,828533
2005-07-27,1.62,1.665,1.62,1.635,1.4589889999999999,3187467
2005-07-28,1.65,1.68,1.65,1.65,1.472374,2084400
2005-07-29,1.665,1.68,1.635,1.635,1.4589889999999999,714933
2005-08-01,1.635,1.635,1.59,1.605,1.4322190000000001,412267
2005-08-02,1.62,1.65,1.605,1.605,1.4322190000000001,374533
2005-08-03,1.62,1.62,1.605,1.605,1.4322190000000001,312000
2005-08-04,1.62,1.635,1.605,1.62,1.4456040000000001,193333
2005-08-05,1.62,1.62,1.605,1.62,1.4456040000000001,193600
2005-08-08,1.62,1.65,1.62,1.62,1.4456040000000001,112000
2005-08-09,1.62,1.62,1.59,1.59,1.418834,226667
2005-08-10,1.59,1.59,1.545,1.545,1.378678,805867
2005-08-11,1.545,1.62,1.545,1.62,1.4456040000000001,314000
2005-08-15,1.59,1.605,1.56,1.56,1.3920629999999998,545067
2005-08-16,1.56,1.62,1.545,1.56,1.3920629999999998,678000
2005-08-17,1.56,1.56,1.545,1.56,1.3920629999999998,93333
2005-08-18,1.545,1.545,1.515,1.545,1.378678,264000
2005-08-19,1.56,1.575,1.515,1.545,1.378678,767333
2005-08-22,1.545,1.575,1.545,1.575,1.405448,61067
2005-08-23,1.575,1.575,1.53,1.53,1.365293,574933
2005-08-24,1.545,1.545,1.515,1.515,1.351907,1034000
2005-08-25,1.515,1.53,1.5,1.5,1.338522,577600
2005-08-26,1.5,1.515,1.485,1.485,1.325137,1176400
2005-08-29,1.47,1.4775,1.455,1.455,1.298367,228533
2005-08-30,1.44,1.5,1.44,1.4625,1.305059,62267
2005-08-31,1.4925,1.5,1.485,1.5,1.338522,858400
2005-09-01,1.5,1.515,1.4925,1.4925,1.3318299999999998,1393200
2005-09-02,1.4925,1.5,1.4775,1.4775,1.318444,449200
2005-09-05,1.5,1.5,1.4925,1.5,1.338522,450533
2005-09-06,1.5,1.515,1.485,1.485,1.325137,3566267
2005-09-07,1.4925,1.4925,1.4775,1.4775,1.318444,564000
2005-09-08,1.485,1.4925,1.485,1.485,1.325137,724800
2005-09-09,1.5,1.515,1.4775,1.485,1.325137,1864000
2005-09-12,1.485,1.4925,1.4775,1.4925,1.3318299999999998,32533
2005-09-13,1.5,1.5,1.47,1.47,1.311752,1571333
2005-09-14,1.4775,1.56,1.47,1.53,1.365293,3620667
2005-09-15,1.53,1.575,1.5,1.5,1.338522,5581200
2005-09-16,1.515,1.515,1.4925,1.4925,1.3318299999999998,1877467
2005-09-19,1.515,1.515,1.5,1.5,1.338522,650133
2005-09-20,1.5,1.515,1.485,1.485,1.325137,693600
2005-09-21,1.4925,1.515,1.485,1.485,1.325137,420400
2005-09-22,1.5,1.5,1.485,1.485,1.325137,1225733
2005-09-23,1.485,1.485,1.4775,1.485,1.325137,416400
2005-09-26,1.485,1.5,1.4775,1.4775,1.318444,133467
2005-09-27,1.4775,1.515,1.4775,1.485,1.325137,13803733
2005-09-28,1.5,1.545,1.4925,1.5,1.338522,9119467
2005-09-29,1.515,1.53,1.4775,1.485,1.325137,3184533
2005-09-30,1.4925,1.5,1.485,1.485,1.325137,1979200
2005-10-03,1.485,1.4925,1.47,1.485,1.325137,1750933
2005-10-04,1.485,1.5,1.4775,1.4775,1.318444,1086267
2005-10-05,1.485,1.485,1.4775,1.4775,1.318444,239600
2005-10-06,1.4775,1.485,1.47,1.47,1.311752,596533
2005-10-07,1.47,1.4775,1.47,1.47,1.311752,635200
2005-10-10,1.4775,1.4775,1.4325,1.4325,1.278289,1043733
