Date,Open,High,Low,Close,Adj Close,Volume
2015-11-11,5.0,5.05,4.0,4.0,3.735183,439130400
2015-11-12,4.02,4.12,3.8,4.08,3.809886,69133300
2015-11-13,4.04,4.06,3.88,3.9,3.641803,27300800
2015-11-16,3.8,3.86,3.76,3.84,3.585776,12696600
2015-11-17,3.92,4.12,3.86,3.94,3.679155,46998200
2015-11-18,3.94,4.06,3.92,4.0,3.735183,20936400
2015-11-19,4.02,4.08,3.92,3.92,3.660479,13522100
2015-11-20,3.94,3.96,3.82,3.82,3.5671,13187800
2015-11-23,3.7,3.82,3.66,3.82,3.5671,4255200
2015-11-24,3.72,3.82,3.72,3.76,3.511072,1495300
2015-11-25,3.72,3.78,3.7,3.7,3.501608,1435900
2015-11-26,3.7,3.72,3.62,3.64,3.444825,813500
2015-11-27,3.64,3.82,3.62,3.82,3.6151730000000004,3455700
2015-11-30,3.82,3.86,3.78,3.82,3.6151730000000004,855700
2015-12-01,3.8,3.92,3.8,3.92,3.7098120000000003,2624400
2015-12-02,3.92,3.92,3.86,3.92,3.7098120000000003,3640800
2015-12-03,4.0,4.0,3.82,3.88,3.671957,4607000
2015-12-04,3.84,3.92,3.76,3.9,3.6908839999999996,2571900
2015-12-08,3.92,3.92,3.8,3.82,3.6151730000000004,1794400
2015-12-09,3.82,3.88,3.78,3.84,3.6341010000000002,671700
2015-12-11,3.84,3.92,3.8,3.8,3.596246,1059200
2015-12-14,3.78,3.84,3.5,3.84,3.6341010000000002,1240300
2015-12-15,3.84,3.92,3.8,3.92,3.7098120000000003,2564400
2015-12-16,3.94,3.96,3.88,3.96,3.747667,3264500
2015-12-17,3.96,4.02,3.92,4.02,3.80445,7988300
2015-12-18,4.04,4.04,3.94,4.02,3.80445,3247300
2015-12-21,4.02,4.02,3.94,3.96,3.747667,4537300
2015-12-22,4.02,4.1,4.0,4.06,3.842305,6362200
2015-12-23,4.04,4.2,4.04,4.2,3.9747980000000003,12823400
2015-12-24,4.22,4.24,4.18,4.22,3.993726,6809500
2015-12-25,4.22,4.28,4.2,4.28,4.050509,2782500
2015-12-28,4.28,4.38,4.28,4.32,4.088364,6438500
2015-12-29,4.34,4.34,4.26,4.3,4.069437000000001,3851900
2015-12-30,4.3,4.34,4.28,4.3,4.069437000000001,5164700
2016-01-04,4.28,4.28,3.82,3.9,3.6908839999999996,2860300
2016-01-05,3.92,3.96,3.84,3.92,3.7098120000000003,540500
2016-01-06,3.94,3.94,3.88,3.94,3.72874,190300
2016-01-07,3.92,3.92,3.7,3.82,3.6151730000000004,1405100
2016-01-08,3.82,3.9,3.78,3.9,3.6908839999999996,671200
2016-01-11,3.9,3.9,3.8,3.82,3.6151730000000004,503200
2016-01-12,3.9,3.9,3.84,3.88,3.671957,310900
2016-01-13,3.9,3.92,3.86,3.9,3.6908839999999996,333300
2016-01-14,3.9,3.9,3.84,3.84,3.6341010000000002,707500
2016-01-15,3.88,3.9,3.78,3.78,3.577318,783800
2016-01-18,3.76,3.9,3.76,3.84,3.6341010000000002,141500
2016-01-19,3.88,3.98,3.82,3.88,3.671957,639100
2016-01-20,3.88,3.92,3.86,3.88,3.671957,514300
2016-01-21,3.88,3.9,3.84,3.88,3.671957,509400
2016-01-22,3.9,4.0,3.86,3.98,3.7665949999999997,4057600
2016-01-25,4.02,4.16,3.72,3.72,3.520536,37833500
2016-01-26,3.76,3.86,3.74,3.82,3.6151730000000004,2834200
2016-01-27,3.86,3.94,3.66,3.66,3.463753,18017300
2016-01-28,3.7,3.7,3.66,3.66,3.463753,2425900
2016-01-29,3.68,3.76,3.64,3.64,3.444825,4336900
2016-02-01,3.66,3.66,3.58,3.58,3.388042,1008800
2016-02-02,3.6,3.6,3.46,3.46,3.274477,1105800
2016-02-03,3.44,3.44,3.3,3.34,3.160911,1630400
2016-02-04,3.34,3.44,3.34,3.42,3.236621,553700
2016-02-05,3.44,3.56,3.44,3.48,3.293404,2130600
2016-02-08,3.52,3.52,3.42,3.42,3.236621,425900
2016-02-09,3.4,3.56,3.4,3.42,3.236621,873600
2016-02-10,3.42,3.44,3.38,3.4,3.217694,921200
2016-02-11,3.4,3.44,3.34,3.34,3.160911,565500
2016-02-12,3.36,3.38,3.24,3.24,3.066273,760900
2016-02-15,3.26,3.3,3.24,3.24,3.066273,311900
2016-02-16,3.26,3.26,3.18,3.18,3.00949,290000
2016-02-17,3.18,3.18,3.04,3.08,2.914852,562600
2016-02-18,3.1,3.1,2.98,2.98,2.820214,812400
2016-02-19,3.0,3.0,2.96,2.98,2.820214,409500
2016-02-23,2.98,3.1,2.98,3.06,2.895925,511500
2016-02-24,3.04,3.08,3.02,3.04,2.8769970000000002,364600
2016-02-25,3.04,3.14,3.04,3.14,2.971635,760300
2016-02-26,3.22,3.36,3.2,3.32,3.141983,3272900
2016-02-29,3.3,3.36,3.22,3.22,3.047345,432400
2016-03-01,3.2,3.24,3.16,3.16,2.9905630000000003,455400
2016-03-02,3.14,3.22,3.14,3.18,3.00949,212900
2016-03-03,3.18,3.18,3.16,3.18,3.00949,66000
2016-03-04,3.18,3.18,3.12,3.12,2.952707,632200
2016-03-07,3.12,3.24,3.12,3.12,2.952707,44000
2016-03-08,3.14,3.14,3.06,3.06,2.895925,294800
2016-03-09,3.06,3.08,3.04,3.08,2.914852,717600
2016-03-10,3.08,3.14,3.08,3.14,2.971635,75200
2016-03-11,3.16,3.3,3.12,3.26,3.0852009999999996,912500
2016-03-14,3.26,3.26,3.14,3.14,3.00855,284400
2016-03-15,3.12,3.2,3.1,3.18,3.046875,628500
2016-03-16,3.18,3.2,3.14,3.16,3.0277119999999997,105500
2016-03-17,3.18,3.18,3.14,3.14,3.00855,12000
2016-03-18,3.14,3.14,3.1,3.1,2.970224,58700
2016-03-21,3.18,3.18,3.14,3.16,3.0277119999999997,10200
2016-03-22,3.16,3.3,3.14,3.3,3.161851,388500
2016-03-23,3.32,3.64,3.32,3.38,3.2385029999999997,6586100
2016-03-24,3.44,3.44,3.28,3.32,3.181014,984900
2016-03-25,3.32,3.32,3.26,3.28,3.142689,164500
2016-03-28,3.26,3.26,3.04,3.18,3.046875,438400
2016-03-29,3.2,3.22,3.18,3.18,3.046875,83900
2016-03-30,3.2,3.22,3.14,3.14,3.00855,456400
2016-03-31,3.16,3.18,3.14,3.14,3.00855,136500
2016-04-01,3.14,3.4,3.14,3.26,3.123526,1232700
2016-04-04,3.26,3.4,3.26,3.34,3.200177,1366600
2016-04-05,3.34,3.36,3.24,3.24,3.104363,294200
2016-04-07,3.24,3.34,3.2,3.2,3.0660380000000003,67600
2016-04-08,3.18,3.28,3.16,3.28,3.142689,268100
2016-04-11,3.2,3.26,3.18,3.18,3.046875,86400
2016-04-12,3.22,3.24,3.18,3.18,3.046875,393300
2016-04-18,3.18,3.26,3.18,3.26,3.123526,261100
2016-04-19,3.22,3.24,3.2,3.24,3.104363,101300
2016-04-20,3.28,3.28,3.18,3.24,3.104363,170000
2016-04-21,3.22,3.26,3.14,3.16,3.0277119999999997,493600
2016-04-22,3.14,3.24,3.14,3.22,3.0852009999999996,332600
2016-04-25,3.22,3.26,3.18,3.18,3.046875,90300
2016-04-26,3.24,3.3,3.2,3.28,3.142689,718900
2016-04-27,3.3,3.4,3.24,3.3,3.161851,1071900
2016-04-28,3.36,3.36,3.24,3.3,3.161851,213600
2016-04-29,3.32,3.32,3.26,3.26,3.123526,124800
2016-05-03,3.26,3.32,3.26,3.26,3.123526,51300
2016-05-04,3.26,3.32,3.24,3.26,3.123526,65400
2016-05-09,3.26,3.28,3.16,3.28,3.142689,99000
2016-05-10,3.28,3.3,3.24,3.24,3.104363,76400
2016-05-11,3.28,3.3,3.24,3.28,3.142689,118400
2016-05-12,3.38,3.4,3.26,3.3,3.161851,203300
2016-05-13,3.28,3.28,3.2,3.2,3.0660380000000003,109600
2016-05-16,3.16,3.28,3.16,3.2,3.0660380000000003,255600
2016-05-17,3.2,3.22,3.18,3.18,3.046875,46100
2016-05-18,3.18,3.26,3.16,3.2,3.0660380000000003,1217100
2016-05-19,3.2,3.2,3.14,3.14,3.00855,162500
2016-05-23,3.14,3.2,3.12,3.14,3.00855,92800
2016-05-24,3.18,3.18,3.14,3.14,3.00855,78200
2016-05-25,3.2,3.24,3.16,3.2,3.0660380000000003,88100
2016-05-26,3.22,3.22,3.2,3.22,3.0852009999999996,174800
2016-05-27,3.24,3.28,3.18,3.18,3.046875,849900
2016-05-30,3.16,3.22,3.14,3.2,3.0660380000000003,230000
2016-05-31,3.18,3.2,3.18,3.2,3.0660380000000003,49000
2016-06-01,3.2,3.24,3.18,3.2,3.0660380000000003,91200
2016-06-02,3.22,3.22,3.14,3.2,3.0660380000000003,466600
2016-06-03,3.2,3.3,3.14,3.3,3.161851,589200
2016-06-06,3.28,3.28,3.22,3.24,3.104363,271800
2016-06-07,3.26,3.26,3.18,3.2,3.0660380000000003,721100
2016-06-08,3.2,3.22,3.16,3.2,3.0660380000000003,218500
2016-06-09,3.22,3.7,3.16,3.22,3.0852009999999996,13266400
2016-06-10,3.24,3.24,3.16,3.16,3.0277119999999997,2504600
2016-06-13,3.16,3.2,3.16,3.16,3.0277119999999997,784400
2016-06-14,3.16,3.28,3.12,3.2,3.0660380000000003,5208700
2016-06-15,3.2,3.24,3.18,3.2,3.0660380000000003,1113600
2016-06-16,3.18,3.2,3.14,3.14,3.00855,725400
2016-06-17,3.18,3.18,3.14,3.14,3.00855,276500
2016-06-20,3.14,3.18,3.08,3.08,2.951061,1098400
2016-06-21,3.08,3.12,3.04,3.04,2.912736,799700
2016-06-22,3.04,3.14,3.02,3.02,2.893573,2301900
2016-06-23,3.02,3.04,2.9,3.0,2.8744099999999997,1520800
2016-06-24,2.96,3.0,2.9,2.9,2.778597,1405700
2016-06-27,2.9,2.96,2.84,2.88,2.759434,1095900
2016-06-28,2.9,2.98,2.86,2.88,2.759434,1800700
2016-06-29,2.92,2.98,2.86,2.9,2.778597,1135800
2016-06-30,2.9,2.94,2.86,2.86,2.740271,1825000
2016-07-04,2.86,2.9,2.86,2.9,2.778597,453000
2016-07-05,2.92,2.96,2.88,2.88,2.759434,456600
2016-07-06,2.88,3.04,2.88,3.04,2.912736,3848900
2016-07-07,3.1,3.1,3.0,3.04,2.912736,1520600
2016-07-08,3.1,3.1,3.02,3.06,2.931899,317600
2016-07-11,3.08,3.1,3.04,3.06,2.931899,515600
2016-07-12,3.1,3.1,2.98,2.98,2.855248,423600
