Date,Open,High,Low,Close,Adj Close,Volume
2011-04-29,10.0,10.0,10.0,10.0,10.0,0
2011-05-09,10.0,10.0,10.0,10.0,10.0,0
2011-05-25,10.0,10.0,10.0,10.0,10.0,0
2011-05-26,10.0,10.0,10.0,10.0,10.0,0
2011-05-27,10.0,10.0,10.0,10.0,10.0,0
2011-05-30,10.0,10.0,10.0,10.0,10.0,0
2011-05-31,10.0571,10.0571,10.0571,10.0571,10.0571,0
2011-06-01,10.0571,10.0571,10.0571,10.0571,10.0571,0
2011-06-02,10.0571,10.0571,10.0571,10.0571,10.0571,0
2011-06-03,10.0571,10.0571,10.0571,10.0571,10.0571,0
2011-06-06,10.0571,10.0571,10.0571,10.0571,10.0571,0
2011-06-07,10.0,10.0,10.0,10.0,10.0,0
2011-06-08,10.0,10.0,10.0,10.0,10.0,0
2011-06-09,10.0,10.0,10.0,10.0,10.0,0
2011-06-10,10.0,10.0,10.0,10.0,10.0,0
2011-06-13,10.0,10.0,10.0,10.0,10.0,0
2011-06-14,10.0,10.0,10.0,10.0,10.0,0
2011-06-15,10.0,10.0,10.0,10.0,10.0,0
2011-06-16,10.0,10.0,10.0,10.0,10.0,0
2011-06-17,10.0,10.0,10.0,10.0,10.0,0
2011-06-20,10.0,10.0,10.0,10.0,10.0,0
2011-06-21,10.0,10.0,10.0,10.0,10.0,0
2011-06-22,10.0,10.0,10.0,10.0,10.0,0
2011-06-30,10.1159,10.1159,10.1159,10.1159,10.1159,0
2011-07-04,10.0,10.0,10.0,10.0,10.0,0
2011-07-05,10.0,10.0,10.0,10.0,10.0,0
2011-07-06,10.0,10.0,10.0,10.0,10.0,0
2011-07-07,10.0,10.0,10.0,10.0,10.0,0
2011-07-08,10.0,10.0,10.0,10.0,10.0,0
2011-07-11,10.0,10.0,10.0,10.0,10.0,0
2011-07-12,10.0,10.0,10.0,10.0,10.0,0
2011-07-13,10.0,10.0,10.0,10.0,10.0,0
2011-07-14,10.0,10.0,10.0,10.0,10.0,0
2011-07-18,10.0,10.0,10.0,10.0,10.0,0
2011-07-19,10.0,10.0,10.0,10.0,10.0,0
2011-07-20,10.0,10.0,10.0,10.0,10.0,0
2011-07-21,10.0,10.0,10.0,10.0,10.0,0
2011-07-22,10.0,10.0,10.0,10.0,10.0,0
2011-07-25,10.0,10.0,10.0,10.0,10.0,0
2011-07-26,10.0,10.0,10.0,10.0,10.0,0
2011-07-27,10.178,10.178,10.178,10.178,10.178,0
2011-07-28,10.178,10.178,10.178,10.178,10.178,0
2011-07-29,10.178,10.178,10.178,10.178,10.178,0
2011-08-01,10.178,10.178,10.178,10.178,10.178,0
2011-08-02,10.178,10.178,10.178,10.178,10.178,0
2011-08-03,10.178,10.178,10.178,10.178,10.178,0
2011-08-04,10.178,10.178,10.178,10.178,10.178,0
2011-08-05,10.178,10.178,10.178,10.178,10.178,0
2011-08-08,10.178,10.178,10.178,10.178,10.178,0
2011-08-09,10.178,10.178,10.178,10.178,10.178,0
2011-08-17,10.0,10.0,10.0,10.0,10.0,0
2011-08-18,10.0,10.0,10.0,10.0,10.0,0
2011-08-19,10.0,10.0,10.0,10.0,10.0,0
2011-08-22,10.0,10.0,10.0,10.0,10.0,0
2011-08-23,10.0,10.0,10.0,10.0,10.0,0
2011-08-24,10.0,10.0,10.0,10.0,10.0,0
2011-08-25,10.0,10.0,10.0,10.0,10.0,0
2011-08-26,10.0,10.0,10.0,10.0,10.0,0
2011-08-29,10.0,10.0,10.0,10.0,10.0,0
2011-08-30,10.0,10.0,10.0,10.0,10.0,0
2011-08-31,10.2392,10.2392,10.2392,10.2392,10.2392,0
2011-09-01,10.0,10.0,10.0,10.0,10.0,0
2011-09-02,10.0,10.0,10.0,10.0,10.0,0
2011-09-05,10.0,10.0,10.0,10.0,10.0,0
2011-09-06,10.0,10.0,10.0,10.0,10.0,0
2011-09-07,10.0,10.0,10.0,10.0,10.0,0
2011-09-08,10.0,10.0,10.0,10.0,10.0,0
2011-09-09,10.0,10.0,10.0,10.0,10.0,0
2011-09-12,10.0,10.0,10.0,10.0,10.0,0
2011-09-13,10.0,10.0,10.0,10.0,10.0,0
2011-09-14,10.0,10.0,10.0,10.0,10.0,0
2011-09-15,10.0,10.0,10.0,10.0,10.0,0
2011-09-16,10.0,10.0,10.0,10.0,10.0,0
2011-09-19,10.0,10.0,10.0,10.0,10.0,0
2011-09-20,10.0,10.0,10.0,10.0,10.0,0
2011-09-21,10.0,10.0,10.0,10.0,10.0,0
2011-09-22,10.0,10.0,10.0,10.0,10.0,0
2011-09-23,10.0,10.0,10.0,10.0,10.0,0
2011-09-26,10.0,10.0,10.0,10.0,10.0,0
2011-09-27,10.0,10.0,10.0,10.0,10.0,0
2011-09-28,10.0,10.0,10.0,10.0,10.0,0
2011-09-29,10.0,10.0,10.0,10.0,10.0,0
2011-09-30,10.2988,10.2988,10.2988,10.2988,10.2988,0
2011-10-17,10.0,10.0,10.0,10.0,10.0,0
2011-10-18,10.0,10.0,10.0,10.0,10.0,0
2011-10-19,10.0,10.0,10.0,10.0,10.0,0
2011-10-20,10.0,10.0,10.0,10.0,10.0,0
2011-10-21,10.0,10.0,10.0,10.0,10.0,0
2011-10-25,10.0,10.0,10.0,10.0,10.0,0
2011-10-26,10.0,10.0,10.0,10.0,10.0,0
2011-10-27,10.0,10.0,10.0,10.0,10.0,0
2011-10-28,10.0,10.0,10.0,10.0,10.0,0
2011-10-31,10.0,10.3604,10.0,10.3604,10.3604,0
2011-11-01,10.3604,10.3604,10.3604,10.3604,10.3604,0
2011-11-02,10.3604,10.3604,10.3604,10.3604,10.3604,0
2011-11-03,10.3604,10.3604,10.3604,10.3604,10.3604,0
2011-11-04,10.3604,10.3604,10.3604,10.3604,10.3604,0
2011-11-17,10.0,10.0,10.0,10.0,10.0,0
2011-11-18,10.0,10.0,10.0,10.0,10.0,0
2011-11-21,10.0,10.0,10.0,10.0,10.0,0
2011-11-22,10.0,10.0,10.0,10.0,10.0,0
2011-11-23,10.3604,10.3604,10.3604,10.3604,10.3604,0
2011-11-24,10.3604,10.3604,10.3604,10.3604,10.3604,0
2011-11-25,10.3604,10.3604,10.3604,10.3604,10.3604,0
2011-11-28,10.3604,10.3604,10.3604,10.3604,10.3604,0
2011-11-29,10.3604,10.3604,10.3604,10.3604,10.3604,0
2011-11-30,10.42,10.42,10.42,10.42,10.42,0
2011-12-01,10.2,10.2,10.2,10.2,10.2,100
2011-12-02,10.3604,10.3604,10.3604,10.3604,10.3604,0
2011-12-06,10.3604,10.3604,10.3604,10.3604,10.3604,0
2011-12-07,10.3604,10.3604,10.3604,10.3604,10.3604,0
2011-12-08,10.3604,10.3604,10.3604,10.3604,10.3604,0
2011-12-09,10.3604,10.3604,10.3604,10.3604,10.3604,0
2011-12-13,10.3604,10.3604,10.3604,10.3604,10.3604,0
2011-12-14,10.3604,10.3604,10.3604,10.3604,10.3604,0
2011-12-15,10.3604,10.3604,10.3604,10.3604,10.3604,0
2011-12-16,10.3604,10.3604,10.3604,10.3604,10.3604,0
2011-12-19,10.3604,10.3604,10.3604,10.3604,10.3604,0
2011-12-20,10.3604,10.3604,10.3604,10.3604,10.3604,0
2011-12-21,10.3604,10.3604,10.3604,10.3604,10.3604,0
2011-12-22,10.3604,10.3604,10.3604,10.3604,10.3604,0
2011-12-23,10.3604,10.3604,10.3604,10.3604,10.3604,0
2011-12-26,10.3604,10.3604,10.0,10.0,10.0,3300
2011-12-27,10.3604,10.3604,10.3604,10.3604,10.3604,0
2011-12-28,10.3604,10.3604,10.3604,10.3604,10.3604,0
2011-12-29,10.3604,10.3604,10.3604,10.3604,10.3604,0
2011-12-30,10.5893,10.5893,10.5893,10.5893,10.5893,0
2012-01-04,10.5893,10.5893,10.3604,10.3604,10.3604,0
2012-01-05,10.42,10.42,10.42,10.42,10.42,0
2012-01-06,10.42,10.42,10.42,10.42,10.42,0
2012-01-09,10.42,10.42,10.0,10.0,10.0,1000
2012-01-10,10.42,10.42,10.42,10.42,10.42,0
2012-01-11,10.0,10.0,10.0,10.0,10.0,20000
2012-01-12,10.42,10.42,10.42,10.42,10.42,0
2012-01-13,10.0,10.0,10.0,10.0,10.0,3900
2012-01-16,10.42,10.42,10.42,10.42,10.42,0
2012-01-17,10.42,10.42,10.42,10.42,10.42,0
2012-01-18,10.42,10.42,10.42,10.42,10.42,0
2012-01-19,10.42,10.42,10.42,10.42,10.42,0
2012-01-20,10.0,10.0,10.0,10.0,10.0,33100
2012-01-23,10.42,10.42,10.42,10.42,10.42,0
2012-01-24,9.95,10.0,9.95,10.0,10.0,22000
2012-01-25,10.0,10.0,10.0,10.0,10.0,10200
2012-01-26,10.0,10.0,10.0,10.0,10.0,15300
2012-01-27,10.42,10.42,10.42,10.42,10.42,0
2012-01-30,10.42,10.42,10.0,10.0,10.0,3300
2012-01-31,10.0,10.0,10.0,10.0,10.0,30100
2012-02-01,10.42,10.42,10.42,10.42,10.42,0
2012-02-02,10.42,10.42,10.42,10.42,10.42,0
2012-02-03,10.0,10.0,10.0,10.0,10.0,10000
2012-02-06,10.42,10.42,10.42,10.42,10.42,0
2012-02-07,10.42,10.42,10.42,10.42,10.42,0
2012-02-08,10.1,10.1,10.1,10.1,10.1,10000
2012-02-09,10.42,10.42,10.42,10.42,10.42,0
2012-02-10,10.42,10.42,10.42,10.42,10.42,0
2012-02-13,10.42,10.42,10.42,10.42,10.42,0
2012-02-14,10.42,10.42,10.42,10.42,10.42,0
2012-02-15,10.3,10.3,10.3,10.3,10.3,19400
2012-02-16,10.3,10.3,10.2,10.3,10.3,12500
2012-02-17,10.3,10.3,10.3,10.3,10.3,5400
2012-02-20,10.42,10.42,10.2,10.2,10.2,15800
2012-02-21,10.1,10.2,10.1,10.2,10.2,300
2012-02-22,10.1,10.1,10.1,10.1,10.1,4000
2012-02-23,10.2,10.2,10.2,10.2,10.2,1800
2012-02-24,10.2,10.2,10.2,10.2,10.2,27200
2012-02-27,10.42,10.42,9.9,9.9,9.9,12900
2012-02-28,9.9,9.9,9.9,9.9,9.9,117200
2012-02-29,9.9,9.9,9.9,9.9,9.9,21800
2012-03-01,9.9,9.9,9.9,9.9,9.9,16000
2012-03-02,9.9,9.95,9.9,9.9,9.9,24500
2012-03-05,10.6506,10.6506,9.9,9.9,9.9,20000
2012-03-06,9.9,9.9,9.9,9.9,9.9,300
2012-03-08,10.6506,10.6506,9.9,9.9,9.9,10000
