Date,Open,High,Low,Close,Adj Close,Volume
2000-01-04,58.0,58.0,56.5,56.5,40.406653999999996,167900
2000-01-05,55.5,56.0,54.0,54.5,38.976326,187000
2000-01-06,54.5,56.5,51.5,51.5,36.830841,102800
2000-01-07,53.5,54.0,51.5,52.5,37.546001000000004,203200
2000-01-10,53.0,54.5,53.0,54.0,38.618748,294000
2000-01-11,54.5,54.5,50.0,51.5,36.830841,166900
2000-01-12,50.5,51.5,50.0,50.5,36.115673,448800
2000-01-13,51.5,52.0,51.0,52.0,37.188416,42200
2000-01-14,52.5,55.0,52.5,54.5,38.976326,252600
2000-01-17,55.5,56.5,55.0,56.5,40.406653999999996,224400
2000-01-18,56.5,56.5,56.0,56.5,40.406653999999996,110800
2000-01-19,56.5,56.5,53.5,54.0,38.618748,152200
2000-01-20,54.5,55.5,53.5,53.5,38.261169,117800
2000-01-21,55.0,55.0,52.0,52.5,37.546001000000004,180400
2000-01-24,52.5,53.0,52.0,52.5,37.546001000000004,72400
2000-01-25,52.0,53.0,52.0,53.0,37.90358,41100
2000-01-26,52.5,52.5,51.0,51.0,36.473263,796800
2000-01-27,52.5,53.5,51.5,52.5,37.546001000000004,317800
2000-01-28,52.0,53.0,51.5,52.5,37.546001000000004,562600
2000-01-31,52.0,54.5,52.0,54.0,38.618748,325900
2000-02-01,54.0,54.0,51.5,52.5,37.546001000000004,116500
2000-02-02,52.0,52.5,50.5,50.5,36.115673,206300
2000-02-03,50.5,51.5,50.5,51.0,36.473263,349600
2000-02-04,51.5,52.0,50.5,51.5,36.830841,179100
2000-02-07,51.5,52.0,50.5,50.5,36.115673,186700
2000-02-08,50.5,51.0,50.0,50.0,35.758099,165200
2000-02-09,50.0,50.5,48.0,48.0,34.327782,311200
2000-02-10,48.0,48.0,45.25,45.5,32.539867,947500
2000-02-11,45.25,46.75,42.25,42.75,30.573171999999996,599100
2000-02-14,42.75,44.0,42.0,42.75,30.573171999999996,592900
2000-02-15,44.0,44.25,42.25,42.25,30.215590000000002,228200
2000-02-16,43.25,43.75,42.5,43.0,30.751959000000003,254600
2000-02-17,43.25,43.25,42.75,43.0,30.751959000000003,869700
2000-02-18,43.0,43.75,42.75,42.75,30.573171999999996,377600
2000-02-21,42.75,42.75,42.75,42.75,30.573171999999996,0
2000-02-22,42.75,42.75,38.25,38.5,27.533734999999997,839500
2000-02-23,39.5,40.0,38.75,39.5,28.248896000000002,508900
2000-02-24,40.5,41.0,39.25,39.5,28.248896000000002,339700
2000-02-25,40.0,42.0,40.0,42.0,30.036797999999997,151300
2000-02-28,41.5,41.5,38.25,38.25,27.354944,326600
2000-02-29,39.5,39.75,34.75,34.75,24.851879,745400
2000-03-01,35.0,35.75,32.5,32.5,23.242762,965000
