Date,Open,High,Low,Close,Adj Close,Volume
2007-08-09,1.44,1.48,1.288,1.304,1.114462,232875750
2007-08-15,1.24,1.24,1.152,1.152,0.984555,26122500
2007-08-17,1.096,1.168,1.048,1.16,0.9913930000000001,19096250
2007-08-21,1.2,1.224,1.112,1.12,0.9572069999999999,8156250
2007-08-22,1.12,1.224,1.12,1.2,1.025578,19072250
2007-08-24,1.208,1.24,1.192,1.192,1.018741,14636250
2007-08-28,1.192,1.216,1.184,1.192,1.018741,3651250
2007-08-29,1.176,1.2,1.176,1.184,1.0119040000000001,3387500
2007-08-30,1.2,1.264,1.192,1.256,1.073439,52795000
2007-08-31,1.272,1.328,1.248,1.264,1.080276,130578750
2007-09-03,1.256,1.256,1.232,1.248,1.066602,23010750
2007-09-04,1.248,1.288,1.224,1.224,1.04609,27948250
2007-09-06,1.208,1.224,1.2,1.2,1.025578,3212000
2007-09-07,1.208,1.216,1.184,1.184,1.0119040000000001,5112500
2007-09-10,1.168,1.208,1.168,1.184,1.0119040000000001,3175000
2007-09-13,1.176,1.256,1.176,1.256,1.073439,24908500
2007-09-14,1.248,1.264,1.216,1.224,1.04609,18041250
2007-09-17,1.224,1.224,1.184,1.184,1.0119040000000001,5091250
2007-09-19,1.208,1.224,1.192,1.192,1.018741,5765250
2007-09-21,1.192,1.2,1.192,1.192,1.018741,1661750
2007-09-25,1.2,1.216,1.192,1.192,1.018741,4786000
2007-09-26,1.2,1.2,1.184,1.192,1.018741,5114750
2007-09-27,1.192,1.2,1.184,1.184,1.0119040000000001,2132750
2007-09-28,1.192,1.2,1.176,1.176,1.005067,3233500
2007-10-03,1.184,1.184,1.168,1.168,0.99823,3860250
2007-10-04,1.176,1.216,1.176,1.184,1.0119040000000001,9681000
2007-10-05,1.192,1.2,1.184,1.192,1.018741,2901000
2007-10-11,1.192,1.192,1.176,1.176,1.005067,1205000
2007-10-12,1.184,1.184,1.168,1.168,0.99823,1918500
2007-10-15,1.176,1.208,1.176,1.2,1.025578,10933250
2007-10-16,1.208,1.208,1.168,1.168,0.99823,4665500
2007-10-17,1.168,1.184,1.168,1.176,1.005067,2379500
2007-10-18,1.184,1.184,1.176,1.176,1.005067,1026750
2007-10-19,1.184,1.2,1.176,1.184,1.0119040000000001,6564500
2007-10-22,1.176,1.176,1.168,1.168,0.99823,1730750
2007-10-25,1.16,1.168,1.16,1.16,0.9913930000000001,1384750
2007-10-26,1.16,1.168,1.16,1.16,0.9913930000000001,1091500
2007-10-29,1.168,1.168,1.128,1.128,0.964044,1085000
2007-10-30,1.136,1.152,1.104,1.104,0.9435319999999999,1763000
2007-10-31,1.096,1.12,1.096,1.104,0.9435319999999999,1034250
2007-11-02,1.12,1.16,1.12,1.128,0.964044,3205000
2007-11-05,1.144,1.144,1.112,1.112,0.950369,425250
2007-11-08,1.072,1.096,1.056,1.064,0.9093459999999999,2198250
2007-11-09,1.064,1.072,1.056,1.072,0.916183,1133250
2007-11-12,1.072,1.072,1.032,1.064,0.9093459999999999,2922000
2007-11-13,1.072,1.168,1.072,1.16,0.9913930000000001,13868500
2007-11-15,1.184,1.184,1.144,1.152,0.984555,6492000
2007-11-16,1.144,1.2,1.144,1.2,1.025578,6516750
2007-11-20,1.296,1.376,1.28,1.352,1.155485,65675750
2007-11-21,1.384,1.504,1.376,1.504,1.285392,73585750
2007-11-26,1.664,1.76,1.64,1.72,1.4699959999999999,48186000
2007-11-27,1.728,1.792,1.728,1.744,1.490507,52358750
2007-11-28,1.768,1.792,1.68,1.784,1.524693,36461750
2007-11-29,1.816,1.856,1.672,1.672,1.428973,51827500
2007-11-30,1.696,1.696,1.544,1.568,1.3400889999999999,21522000
2007-12-03,1.584,1.656,1.552,1.656,1.415298,27954000
2007-12-06,1.728,1.752,1.688,1.752,1.4973450000000001,23790750
2007-12-07,1.792,1.8,1.752,1.752,1.4973450000000001,25513250
2007-12-11,1.76,1.768,1.744,1.744,1.490507,2208750
2007-12-12,1.744,1.752,1.696,1.704,1.456321,5021250
2007-12-13,1.712,1.712,1.648,1.664,1.422135,3624500
2007-12-14,1.656,1.712,1.656,1.68,1.43581,7848250
2007-12-17,1.688,1.752,1.672,1.744,1.490507,4522
2007-12-18,1.76,1.784,1.744,1.768,1.5110190000000001,9938250
2007-12-19,1.8,1.864,1.792,1.8,1.538368,32096750
2007-12-20,1.816,1.864,1.792,1.808,1.545205,31096000
2007-12-25,1.848,1.912,1.848,1.912,1.634088,16136750
2007-12-26,1.92,1.952,1.768,1.784,1.524693,15779500
2007-12-27,1.784,1.8,1.72,1.752,1.4973450000000001,5512750
2007-12-28,1.744,1.752,1.704,1.728,1.476833,10292250
