Date,Open,High,Low,Close,Adj Close,Volume
2017-11-27,2.2,2.28,2.14,2.2,2.2,23698000
2017-11-28,2.22,2.28,2.16,2.18,2.18,13682500
2017-11-29,2.18,2.2,2.08,2.08,2.08,10033500
2017-11-30,2.08,2.08,1.99,2.0,2.0,9266200
2017-12-01,2.02,2.04,1.95,1.95,1.95,5923700
2017-12-04,1.97,2.08,1.96,2.02,2.02,10852200
2017-12-06,2.02,2.02,1.97,1.97,1.97,4069600
2017-12-07,1.97,2.02,1.93,1.94,1.94,4691900
2017-12-08,1.95,1.96,1.88,1.88,1.88,6338400
2017-12-12,1.88,1.92,1.8,1.81,1.81,8298400
2017-12-13,1.82,1.83,1.77,1.78,1.78,3867900
2017-12-14,1.79,1.82,1.75,1.8,1.8,8992100
2017-12-15,1.81,1.84,1.79,1.84,1.84,5173100
2017-12-18,1.84,1.86,1.82,1.85,1.85,2177200
2017-12-19,1.85,1.96,1.85,1.93,1.93,13477000
2017-12-20,1.93,1.94,1.9,1.94,1.94,4862500
2017-12-21,1.94,1.95,1.92,1.94,1.94,1050600
2017-12-22,1.95,1.97,1.93,1.94,1.94,1914400
2017-12-25,1.94,1.96,1.93,1.96,1.96,1635800
2017-12-26,1.95,2.06,1.95,1.98,1.98,7770900
2017-12-27,1.98,1.99,1.97,1.97,1.97,951000
2017-12-28,1.97,1.97,1.93,1.93,1.93,2024300
2017-12-29,1.93,1.94,1.93,1.93,1.93,1137800
2018-01-03,1.93,1.94,1.89,1.9,1.9,1755500
2018-01-04,1.9,1.9,1.87,1.9,1.9,1825400
2018-01-05,1.9,1.96,1.9,1.93,1.93,1884100
2018-01-08,1.93,1.95,1.9,1.9,1.9,1416500
2018-01-09,1.92,1.92,1.92,1.92,1.92,27500
2018-01-10,1.93,2.14,1.93,2.04,2.04,27783500
2018-01-11,2.02,2.02,1.99,2.0,2.0,5322400
2018-01-12,2.02,2.02,1.95,1.95,1.95,2585800
2018-01-15,1.95,1.97,1.92,1.92,1.92,3768700
2018-01-16,1.93,1.93,1.9,1.9,1.9,2769900
2018-01-17,1.91,1.96,1.9,1.91,1.91,2996500
2018-01-18,1.93,1.93,1.9,1.9,1.9,1287400
2018-01-19,1.92,1.99,1.91,1.99,1.99,4887800
2018-01-22,1.99,2.12,1.98,2.12,2.12,21287100
2018-01-23,2.18,2.22,2.04,2.04,2.04,30660600
2018-01-24,2.04,2.1,1.97,2.0,2.0,9175900
2018-01-25,2.02,2.1,1.95,2.04,2.04,14383800
2018-01-26,2.06,2.08,2.0,2.02,2.02,6245800
2018-01-29,2.08,2.24,2.06,2.22,2.22,34633800
2018-01-30,2.22,2.24,2.16,2.2,2.2,15586700
2018-01-31,2.18,2.3,2.18,2.26,2.26,25943700
2018-02-01,2.26,2.28,2.16,2.16,2.16,8332400
2018-02-02,2.16,2.24,2.12,2.2,2.2,5614800
2018-02-05,2.12,2.18,2.12,2.16,2.16,3044100
2018-02-06,2.06,2.1,2.04,2.06,2.06,4309900
2018-02-07,2.12,2.18,2.08,2.08,2.08,3736600
2018-02-08,2.12,2.14,2.08,2.08,2.08,911500
2018-02-09,2.04,2.1,2.04,2.08,2.08,1631700
2018-02-12,2.08,2.1,2.04,2.08,2.08,1286100
2018-02-13,2.1,2.14,2.08,2.1,2.1,1640400
2018-02-14,2.1,2.18,2.1,2.14,2.14,4383100
2018-02-15,2.18,2.18,2.14,2.14,2.14,1471000
2018-02-16,2.16,2.26,2.14,2.22,2.22,10501100
2018-02-19,2.24,2.24,2.16,2.22,2.22,5263000
2018-02-20,2.24,2.32,2.18,2.28,2.28,11305900
2018-02-21,2.3,2.34,2.2,2.22,2.22,14903900
2018-02-22,2.22,2.22,2.1,2.12,2.12,4043800
2018-02-23,2.1,2.12,2.06,2.12,2.12,3088900
2018-02-26,2.14,2.2,2.14,2.18,2.18,1608400
2018-02-27,2.02,2.02,1.93,2.0,2.0,13216600
2018-02-28,2.0,2.02,1.98,2.0,2.0,1752500
2018-03-02,2.0,2.0,1.95,1.99,1.99,2098800
2018-03-05,1.99,1.99,1.95,1.97,1.97,1030300
2018-03-06,1.97,1.97,1.97,1.97,1.97,500000
2018-03-07,1.96,1.99,1.92,1.99,1.99,879900
2018-03-08,1.99,2.0,1.96,2.0,2.0,517700
2018-03-09,2.0,2.0,1.94,1.98,1.98,678600
