Date,Open,High,Low,Close,Adj Close,Volume
2015-11-18,1.81,1.97,1.78,1.8,1.720798,849630400
2015-11-19,1.83,1.84,1.57,1.58,1.5104790000000001,168797400
2015-11-20,1.6,1.66,1.58,1.62,1.548718,80755100
2015-11-23,1.6,1.63,1.5,1.5,1.433999,24368800
2015-11-24,1.52,1.57,1.48,1.48,1.414879,30699900
2015-11-25,1.52,1.55,1.49,1.55,1.481799,36435500
2015-11-26,1.58,1.6,1.52,1.55,1.481799,28316100
2015-11-27,1.55,1.61,1.55,1.6,1.529598,34802200
2015-11-30,1.59,1.62,1.58,1.6,1.529598,25935300
2015-12-01,1.61,1.63,1.56,1.58,1.5104790000000001,18860000
2015-12-02,1.57,1.58,1.52,1.52,1.453119,12678600
2015-12-03,1.52,1.55,1.44,1.46,1.395759,10692700
2015-12-04,1.44,1.53,1.43,1.5,1.433999,39053300
2015-12-08,1.52,1.52,1.43,1.43,1.3670790000000002,27662700
2015-12-09,1.44,1.45,1.32,1.33,1.271479,11066400
2015-12-11,1.33,1.34,1.24,1.24,1.185439,9188600
2015-12-14,1.21,1.21,1.13,1.14,1.089839,10243500
2015-12-15,1.17,1.23,1.15,1.21,1.156759,10480100
2015-12-16,1.22,1.22,1.17,1.17,1.118519,6156900
2015-12-17,1.19,1.28,1.17,1.23,1.1758790000000001,16631900
2015-12-18,1.22,1.27,1.21,1.24,1.185439,17398400
2015-12-21,1.22,1.23,1.16,1.17,1.118519,3908500
2015-12-22,1.18,1.19,1.13,1.13,1.080279,3743400
2015-12-23,1.15,1.2,1.14,1.18,1.128079,6876900
2015-12-24,1.22,1.51,1.22,1.38,1.319279,213083500
2015-12-25,1.35,1.37,1.3,1.36,1.300159,34284000
2015-12-28,1.42,1.49,1.36,1.38,1.319279,67967900
2015-12-29,1.36,1.42,1.34,1.42,1.3575190000000001,18260400
2015-12-30,1.45,1.45,1.33,1.33,1.271479,17170800
2016-01-04,1.37,1.44,1.33,1.35,1.290599,24728400
2016-01-05,1.36,1.41,1.33,1.33,1.271479,13343400
2016-01-06,1.33,1.34,1.31,1.33,1.271479,5336200
2016-01-07,1.29,1.32,1.26,1.26,1.204559,3162200
2016-01-08,1.27,1.34,1.27,1.31,1.252359,9000300
2016-01-11,1.29,1.33,1.29,1.33,1.271479,2520300
2016-01-12,1.34,1.45,1.34,1.37,1.309719,83639300
2016-01-13,1.38,1.41,1.37,1.39,1.3288389999999999,24334300
2016-01-14,1.38,1.43,1.37,1.38,1.319279,18904200
2016-01-15,1.42,1.46,1.4,1.44,1.376639,39475100
2016-01-18,1.43,1.54,1.43,1.52,1.453119,59678700
2016-01-19,1.58,1.65,1.48,1.49,1.4244379999999999,95701500
2016-01-20,1.48,1.48,1.39,1.4,1.338399,18217700
2016-01-21,1.43,1.46,1.36,1.39,1.3288389999999999,16742800
2016-01-22,1.42,1.43,1.39,1.42,1.3575190000000001,6136900
2016-01-25,1.42,1.51,1.42,1.5,1.433999,23629200
2016-01-26,1.5,1.54,1.46,1.48,1.414879,24057800
2016-01-27,1.49,1.55,1.48,1.51,1.443559,47910300
2016-01-28,1.53,1.57,1.5,1.51,1.443559,38847400
2016-01-29,1.51,1.53,1.47,1.48,1.414879,15582400
2016-02-01,1.5,1.56,1.48,1.53,1.4626780000000001,25763200
2016-02-02,1.54,1.57,1.51,1.53,1.4626780000000001,16454000
2016-02-03,1.52,1.54,1.51,1.53,1.4626780000000001,4406300
2016-02-04,1.54,1.54,1.5,1.5,1.433999,4256200
2016-02-05,1.51,1.54,1.49,1.5,1.433999,5798000
2016-02-08,1.5,1.51,1.45,1.45,1.386199,7727500
2016-02-09,1.42,1.45,1.4,1.4,1.338399,7649800
2016-02-10,1.4,1.47,1.4,1.45,1.386199,11302400
2016-02-11,1.45,1.49,1.39,1.4,1.338399,12345800
2016-02-12,1.42,1.42,1.36,1.36,1.300159,4753900
2016-02-15,1.37,1.41,1.37,1.38,1.319279,1953200
2016-02-16,1.43,1.45,1.41,1.42,1.3575190000000001,6889100
2016-02-17,1.42,1.43,1.39,1.39,1.3288389999999999,3506800
2016-02-18,1.41,1.48,1.4,1.47,1.405319,17389600
2016-02-19,1.47,1.51,1.46,1.47,1.405319,15880700
2016-02-23,1.47,1.5,1.47,1.48,1.414879,4823000
2016-02-24,1.48,1.48,1.45,1.45,1.386199,2471700
2016-02-25,1.46,1.47,1.44,1.44,1.376639,2243600
2016-02-26,1.44,1.46,1.44,1.45,1.386199,2811600
2016-02-29,1.46,1.46,1.43,1.43,1.3670790000000002,1773900
2016-03-01,1.43,1.45,1.43,1.44,1.376639,1010900
2016-03-02,1.45,1.47,1.44,1.46,1.395759,2581700
2016-03-03,1.46,1.46,1.43,1.43,1.395759,1778000
2016-03-04,1.44,1.45,1.42,1.42,1.385998,1379200
2016-03-07,1.42,1.44,1.41,1.42,1.385998,911800
2016-03-08,1.42,1.42,1.35,1.36,1.3274350000000001,3240700
2016-03-09,1.36,1.39,1.35,1.37,1.3371950000000001,1608400
2016-03-10,1.37,1.38,1.36,1.36,1.3274350000000001,1149100
2016-03-11,1.39,1.4,1.37,1.37,1.3371950000000001,570600
2016-03-14,1.37,1.41,1.37,1.39,1.356716,431900
2016-03-15,1.4,1.41,1.4,1.4,1.366477,801100
2016-03-16,1.41,1.44,1.4,1.43,1.395759,1770400
2016-03-17,1.45,1.47,1.43,1.43,1.395759,3428100
2016-03-18,1.45,1.49,1.44,1.49,1.454322,4989000
2016-03-21,1.5,1.58,1.48,1.58,1.542167,26501300
2016-03-22,1.57,1.58,1.51,1.53,1.493364,9676800
2016-03-23,1.54,1.55,1.5,1.5,1.4640819999999999,4552800
2016-03-24,1.51,1.53,1.49,1.49,1.454322,2264500
2016-03-25,1.51,1.52,1.49,1.51,1.473843,1093600
2016-03-28,1.51,1.55,1.5,1.52,1.4836040000000001,6695500
2016-03-29,1.53,1.57,1.53,1.53,1.493364,10960500
2016-03-30,1.54,1.56,1.53,1.53,1.493364,3133200
2016-03-31,1.53,1.55,1.51,1.51,1.473843,1570900
2016-04-01,1.52,1.52,1.5,1.5,1.4640819999999999,2264400
2016-04-04,1.5,1.51,1.45,1.47,1.434801,3319300
2016-04-05,1.46,1.48,1.45,1.45,1.4152799999999999,1378100
2016-04-07,1.45,1.45,1.4,1.4,1.366477,4912600
2016-04-08,1.41,1.45,1.38,1.45,1.4152799999999999,2571500
2016-04-11,1.45,1.45,1.43,1.43,1.395759,709200
2016-04-12,1.42,1.47,1.42,1.46,1.4250399999999999,1283800
2016-04-18,1.46,1.53,1.45,1.53,1.493364,7466400
2016-04-19,1.54,1.55,1.5,1.51,1.473843,4844000
2016-04-20,1.51,1.51,1.49,1.5,1.4640819999999999,2881600
2016-04-21,1.51,1.52,1.49,1.49,1.454322,831100
2016-04-22,1.49,1.51,1.49,1.49,1.454322,1402600
2016-04-25,1.49,1.51,1.48,1.5,1.4640819999999999,1272400
2016-04-26,1.51,1.51,1.48,1.48,1.444561,2408500
2016-04-27,1.49,1.51,1.47,1.47,1.434801,2104600
2016-04-28,1.48,1.49,1.45,1.47,1.434801,2543400
2016-04-29,1.46,1.49,1.46,1.48,1.444561,808600
2016-05-03,1.48,1.49,1.46,1.48,1.444561,2987900
2016-05-04,1.48,1.54,1.48,1.51,1.473843,6777500
2016-05-09,1.51,1.83,1.51,1.81,1.766659,123289200
2016-05-10,1.77,1.82,1.7,1.81,1.766659,53347400
2016-05-11,1.81,1.9,1.69,1.7,1.6592939999999998,79766500
2016-05-12,1.71,1.78,1.65,1.71,1.669054,21813300
2016-05-13,1.73,1.73,1.67,1.68,1.639772,7538100
2016-05-16,1.69,1.79,1.69,1.79,1.747138,11041200
2016-05-17,1.83,1.83,1.73,1.73,1.688575,12964800
2016-05-18,1.74,1.77,1.73,1.74,1.698336,3473300
2016-05-19,1.74,1.82,1.74,1.8,1.7568990000000002,11871600
2016-05-23,1.8,2.12,1.8,2.08,2.030195,133298000
2016-05-24,2.08,2.18,1.99,2.08,2.030195,63831400
2016-05-25,2.08,2.14,2.02,2.1,2.049716,24806600
2016-05-26,2.1,2.1,1.98,2.0,1.9521099999999998,19281200
2016-05-27,2.02,2.08,2.02,2.02,1.9716310000000001,19379900
2016-05-30,2.02,2.04,1.96,1.98,1.932589,8499800
2016-05-31,2.0,2.08,1.98,2.06,2.010673,25678100
2016-06-01,2.06,2.08,1.99,2.0,1.9521099999999998,11949500
2016-06-02,2.0,2.06,2.0,2.02,1.9716310000000001,6968400
2016-06-03,2.06,2.22,2.04,2.2,2.147321,46413000
2016-06-06,2.26,2.28,2.1,2.14,2.0887580000000003,38140100
2016-06-07,2.12,2.24,2.12,2.16,2.108279,23078500
2016-06-08,2.16,2.16,2.1,2.14,2.0887580000000003,4381700
2016-06-09,2.14,2.14,2.06,2.08,2.030195,8049100
2016-06-10,2.08,2.08,1.99,2.0,1.9521099999999998,14222000
2016-06-13,1.96,1.97,1.91,1.94,1.893547,15107000
2016-06-14,1.92,2.06,1.91,2.02,1.9716310000000001,21626100
2016-06-15,2.04,2.04,1.94,1.94,1.893547,11611500
2016-06-16,1.93,1.95,1.85,1.85,1.8057020000000001,13354500
2016-06-17,1.87,1.9,1.78,1.81,1.766659,16404100
2016-06-20,1.79,1.82,1.76,1.76,1.717857,10048100
2016-06-21,1.77,1.89,1.77,1.87,1.825223,31781900
