Date,Open,High,Low,Close,Adj Close,Volume
2000-01-04,2.53,2.57,2.53,2.53,0.36628299999999997,151200
2000-01-05,2.47,2.48,2.37,2.4,0.347462,182880
2000-01-06,2.4,2.4,2.32,2.37,0.343119,290880
2000-01-10,2.3,2.3,2.27,2.27,0.32864099999999996,93600
2000-01-13,2.27,2.27,2.2,2.23,0.32285,36000
2000-01-14,2.27,2.4,2.27,2.4,0.347462,72000
2000-01-17,2.4,2.42,2.27,2.4,0.347462,108000
2000-01-18,2.4,2.43,2.4,2.42,0.35035700000000003,1677601
2000-01-19,2.45,2.47,2.4,2.43,0.35180500000000003,393120
2000-01-20,2.45,2.48,2.45,2.47,0.357596,508320
2000-01-21,2.45,2.57,2.45,2.5,0.361939,1228320
2000-01-24,2.5,2.5,2.43,2.47,0.357596,339840
2000-01-25,2.43,2.45,2.42,2.45,0.35470100000000004,67680
2000-01-26,2.45,2.5,2.45,2.45,0.35470100000000004,1391040
2000-01-27,2.47,2.55,2.47,2.53,0.36628299999999997,1032480
2000-01-28,2.55,2.7,2.55,2.7,0.390895,1355040
2000-01-31,2.63,2.68,2.6,2.67,0.38655100000000003,210240
2000-02-01,2.67,2.73,2.67,2.68,0.387999,1111680
2000-02-02,2.7,2.72,2.63,2.63,0.38076,1738081
2000-02-03,2.6,2.65,2.55,2.58,0.373521,144000
2000-02-04,2.57,2.63,2.57,2.62,0.379312,410400
2000-02-07,2.62,2.67,2.62,2.63,0.38076,230400
2000-02-08,2.63,2.63,2.58,2.6,0.376417,292320
2000-02-09,2.63,2.68,2.58,2.6,0.376417,453600
2000-02-10,2.62,2.65,2.58,2.6,0.376417,921600
2000-02-11,2.6,2.67,2.57,2.6,0.376417,208800
2000-02-14,2.62,2.7,2.58,2.58,0.373521,465120
2000-02-15,2.6,2.6,2.53,2.53,0.36628299999999997,59040
2000-02-16,2.67,2.68,2.47,2.5,0.361939,334080
2000-02-18,2.33,2.4,2.27,2.4,0.347462,57600
2000-02-22,2.6,2.63,2.33,2.42,0.35035700000000003,126720
2000-02-28,2.27,2.32,2.27,2.32,0.33588,21600
2000-03-01,2.53,2.53,2.47,2.47,0.357596,46080
2000-03-09,2.4,2.4,2.33,2.33,0.337327,21600
2000-03-13,2.33,2.43,2.27,2.43,0.35180500000000003,185760
2000-03-14,2.43,2.47,2.43,2.47,0.357596,72000
2000-03-17,2.47,2.47,2.4,2.4,0.347462,43200
2000-03-21,2.4,2.4,2.38,2.38,0.344566,103680
2000-03-23,2.32,2.5,2.32,2.33,0.337327,4140001
2000-03-24,2.42,2.48,2.4,2.4,0.347462,1038240
2000-03-27,2.43,2.5,2.4,2.4,0.347462,688320
2000-03-28,2.4,2.43,2.4,2.42,0.35035700000000003,289440
2000-03-29,2.42,2.47,2.42,2.42,0.35035700000000003,192960
2000-03-30,2.45,2.45,2.42,2.42,0.35035700000000003,249120
2000-03-31,2.42,2.47,2.4,2.47,0.357596,223200
2000-04-05,2.0,2.13,2.0,2.03,-1.36966,57600
2000-04-07,2.13,2.27,2.13,2.27,-1.531591,46080
2000-04-18,2.13,2.13,2.03,2.03,-1.36966,87840
2000-04-25,2.23,2.23,2.2,2.2,-1.484361,23040
2000-04-26,2.1,2.1,2.08,2.1,-1.41689,158400
2000-04-27,2.0,2.05,2.0,2.05,-1.383154,980640
2000-04-28,2.0,2.05,1.93,1.93,-1.302189,1232640
2000-05-02,1.93,1.95,1.9,1.9,-1.2819479999999999,136800
2000-05-03,1.9,1.9,1.8,1.8,-1.214477,249120
2000-05-04,1.8,1.82,1.73,1.73,-1.167248,426240
2000-05-08,1.73,1.75,1.73,1.75,-1.180742,10080
2000-05-10,1.73,1.75,1.73,1.75,-1.180742,33120
2000-05-11,1.72,1.75,1.72,1.73,-1.167248,280800
2000-05-12,1.73,1.88,1.73,1.87,-1.261707,162720
2000-05-15,1.93,1.98,1.87,1.98,-1.335925,180000
2000-05-16,2.0,2.03,1.97,1.97,-1.329178,482400
2000-05-18,2.0,2.05,1.98,2.0,-1.3494190000000001,6253922
2000-05-19,2.0,2.02,1.98,1.98,-1.335925,2460961
2000-05-22,2.0,2.0,1.98,1.98,-1.335925,216000
2000-05-23,2.0,2.0,1.98,2.0,-1.3494190000000001,79200
2000-05-24,2.0,2.0,1.92,1.95,-1.315684,669600
2000-05-25,2.0,2.0,1.92,1.93,-1.302189,720000
2000-05-26,1.93,2.0,1.9,1.98,-1.335925,243360
2000-05-31,1.98,2.05,1.98,2.03,-1.36966,92160
2000-06-05,2.03,2.12,2.03,2.12,-1.430384,342720
2000-06-08,2.03,2.1,2.03,2.08,-1.4033959999999999,253440
2000-06-09,2.07,2.07,2.05,2.07,-1.396649,180000
2000-06-16,2.07,2.08,2.05,2.05,-1.383154,799200
2000-06-19,2.05,2.07,2.05,2.05,-1.383154,432000
2000-06-21,2.07,2.1,2.07,2.1,-1.41689,305280
2000-06-22,2.1,2.18,2.1,2.13,-1.437131,146880
2000-06-26,2.0,2.07,2.0,2.0,-1.3494190000000001,156960
2000-06-28,2.07,2.07,2.0,2.0,-1.3494190000000001,79200
2000-06-29,2.0,2.0,1.93,1.93,-1.302189,162720
2000-06-30,1.95,1.95,1.92,1.92,-1.295442,236160
2000-07-05,1.93,1.93,1.8,1.8,-1.214477,583200
2000-07-06,1.83,1.83,1.82,1.82,-1.2279719999999998,322560
2000-07-11,1.83,1.85,1.83,1.85,-1.248213,187200
2000-07-12,1.85,1.85,1.83,1.83,-1.2347190000000001,192960
2000-07-21,1.87,1.9,1.87,1.88,-1.2684540000000002,105120
2000-08-07,1.95,2.0,1.93,2.0,-1.3494190000000001,28800
2000-08-09,1.97,2.07,1.97,2.0,-1.3494190000000001,115200
2000-08-10,2.07,2.2,2.07,2.18,-1.470867,509760
2000-08-11,2.23,2.25,2.2,2.2,-1.484361,367200
2000-08-15,2.17,2.2,2.13,2.2,-1.484361,410400
2000-08-16,2.17,2.17,2.13,2.13,-1.437131,25920
2000-08-17,2.15,2.15,2.13,2.13,-1.437131,151200
2000-08-18,2.13,2.17,2.13,2.17,-1.46412,164160
2000-08-21,2.2,2.2,2.17,2.17,-1.46412,152640
2000-08-22,2.17,2.22,2.17,2.18,-1.470867,279360
