Date,Open,High,Low,Close,Adj Close,Volume
2014-10-31,7.45,7.6,7.2,7.25,7.0047880000000005,105655600
2014-11-03,7.3,9.4,7.25,9.4,9.082069,599177800
2014-11-07,10.7,10.9,10.3,10.5,10.144864,97845400
2014-11-11,9.9,10.0,9.0,9.25,8.937142999999999,41441400
2014-11-12,9.2,9.9,9.15,9.45,9.130378,36607400
2014-11-13,9.45,9.45,8.95,9.1,8.792216,19212700
2014-11-14,9.1,9.3,8.15,8.3,8.019275,55072200
2014-11-17,8.3,8.35,7.3,7.95,7.681112,73625100
2014-11-18,7.95,8.5,7.55,8.4,8.115891,44636300
2014-11-19,8.35,8.55,8.0,8.55,8.260819,32250500
2014-11-20,8.5,9.7,8.35,9.7,9.371922,70808000
2014-11-25,8.85,9.15,8.3,8.5,8.21251,29009900
2014-11-26,8.5,8.5,8.25,8.25,7.970965,19034500
2014-11-27,8.25,8.9,8.2,8.9,8.598981,19919900
2014-11-28,8.9,9.1,8.55,8.65,8.357436,19869500
2014-12-09,8.9,9.35,8.75,9.35,9.033761,57761200
2014-12-12,8.8,8.85,8.6,8.8,8.502363,11265000
2014-12-15,8.6,8.7,6.2,8.15,7.8743479999999995,35779000
2014-12-16,7.9,8.4,7.65,8.25,7.970965,14693300
2014-12-18,8.55,8.85,8.45,8.85,8.550673,16326600
2014-12-19,8.9,9.0,8.6,9.0,8.695599000000001,17341700
2014-12-22,9.2,9.3,8.8,8.8,8.502363,59594400
2014-12-23,8.85,8.9,8.55,8.55,8.260819,15697200
2014-12-24,8.6,8.75,8.3,8.4,8.115891,19065200
2014-12-26,8.1,8.45,8.0,8.0,7.729421,36131700
2014-12-29,8.05,8.15,7.95,7.95,7.681112,9464100
2014-12-30,7.9,7.95,7.65,7.8,7.536186,13395200
2015-01-05,7.8,8.25,7.8,8.15,7.8743479999999995,11543800
2015-01-06,8.0,8.2,7.95,8.1,7.826039,9033800
2015-01-07,8.2,8.4,8.1,8.2,7.922657000000001,16162200
2015-01-12,8.05,8.3,7.95,8.05,7.77773,20644400
2015-01-13,8.05,8.15,7.95,8.0,7.729421,11950800
2015-01-16,7.8,7.8,7.7,7.7,7.4395679999999995,9948900
2015-01-19,7.75,8.2,7.75,8.1,7.826039,35074200
2015-01-20,8.2,8.25,7.85,7.85,7.584494,18790400
2015-01-21,7.9,7.95,7.8,7.8,7.536186,12716100
2015-01-23,7.9,7.95,7.7,7.7,7.4395679999999995,13807900
2015-01-27,7.55,7.6,7.35,7.35,7.101406,17217500
2015-01-28,7.4,7.65,7.3,7.45,7.198022999999999,22969200
2015-01-29,7.5,7.7,7.4,7.5,7.246332000000001,16999200
2015-01-30,7.6,7.6,7.4,7.4,7.149714,6885600
2015-02-02,7.4,7.5,7.35,7.45,7.198022999999999,5368000
2015-02-03,7.45,7.5,7.35,7.45,7.198022999999999,6061400
2015-02-04,7.5,8.25,7.45,7.75,7.487875999999999,110033000
2015-02-09,8.45,9.0,8.4,8.8,8.502363,129872100
2015-02-10,8.85,8.9,8.25,8.3,8.019275,73073600
2015-02-12,8.75,8.85,8.6,8.65,8.357436,72867700
2015-02-13,8.7,8.8,8.45,8.5,8.21251,30931600
2015-02-16,8.55,8.7,8.35,8.35,8.067584,22697900
2015-02-20,8.3,8.55,8.25,8.25,7.970965,22729300
2015-02-23,8.35,8.4,8.15,8.2,7.922657000000001,9420500
2015-02-24,8.2,8.25,8.1,8.1,7.826039,7388400
2015-02-25,8.15,8.25,7.9,8.0,7.729421,14632000
2015-02-26,8.05,8.1,7.75,7.8,7.536186,13413000
2015-02-27,7.85,8.05,7.8,7.9,7.632803,6076000
2015-03-02,7.95,8.05,7.75,7.75,7.487875999999999,7750600
2015-03-03,7.85,7.85,7.45,7.5,7.246332000000001,14071100
2015-03-05,7.5,7.5,7.35,7.4,7.149714,6117000
2015-03-06,7.5,7.85,7.5,7.8,7.536186,9811700
2015-03-09,7.75,7.85,7.65,7.65,7.391259,5944000
2015-03-10,7.7,7.8,7.5,7.55,7.294641,4691300
2015-03-11,7.5,7.6,7.45,7.5,7.246332000000001,2748000
2015-03-12,7.6,7.6,7.45,7.55,7.294641,2325700
2015-03-13,7.6,7.75,7.5,7.7,7.4395679999999995,6858700
2015-03-16,7.7,7.7,7.35,7.4,7.149714,8992500
2015-03-17,7.4,7.5,7.05,7.05,6.811552000000001,10474500
2015-03-18,7.15,7.25,7.05,7.15,6.90817,3961700
2015-03-19,7.25,7.3,7.05,7.05,6.811552000000001,3902600
2015-03-20,7.05,7.15,6.9,6.95,6.7149339999999995,5975300
2015-03-23,6.9,6.95,6.55,6.55,6.328464,8004400
2015-03-24,6.55,6.6,6.2,6.3,6.086919,6195300
2015-03-25,6.35,6.65,6.3,6.55,6.328464,3340000
