Date,Open,High,Low,Close,Adj Close,Volume
2000-01-04,1.52,1.52,1.45,1.5,0.026141,239578101
2000-01-05,1.4,1.42,1.32,1.32,0.023005,193548000
2000-01-06,1.35,1.37,1.27,1.3,0.022656,99075505
2000-01-07,1.32,1.35,1.3,1.32,0.023005,114948922
2000-01-10,1.37,1.37,1.3,1.3,0.022656,63540789
2000-01-11,1.32,1.5,1.3,1.4,0.024399,589934241
2000-01-12,1.42,1.45,1.37,1.37,0.023875999999999998,127553810
2000-01-13,1.4,1.5,1.4,1.5,0.026141,305270504
2000-01-14,1.57,1.92,1.52,1.8,0.03137,1795848682
2000-01-17,1.87,1.94,1.8,1.82,0.031718,608762367
2000-01-18,1.85,1.9,1.8,1.8,0.03137,274228510
2000-01-19,1.85,2.04,1.85,1.92,0.033461000000000005,680455427
2000-01-20,1.97,1.99,1.85,1.87,0.03259,287840025
2000-01-21,1.87,1.94,1.77,1.87,0.03259,336472917
2000-01-24,1.99,2.07,1.94,1.99,0.034681000000000003,472381526
2000-01-25,1.97,1.99,1.87,1.94,0.03381,109902755
2000-01-26,1.99,1.99,1.9,1.9,0.033113,101076727
2000-01-27,1.92,1.92,1.82,1.85,0.032241000000000006,53820427
2000-01-28,1.87,1.97,1.85,1.92,0.033461000000000005,154605392
2000-01-31,2.04,2.07,1.92,1.92,0.033461000000000005,270056625
2000-02-01,1.97,1.97,1.92,1.92,0.033461000000000005,96281214
2000-02-02,1.92,1.97,1.92,1.92,0.033461000000000005,77041013
2000-02-03,1.92,1.92,1.85,1.9,0.033113,79111415
2000-02-04,1.87,1.9,1.87,1.87,0.03259,6332523
2000-02-07,1.85,1.9,1.85,1.87,0.03259,12464522
2000-02-08,1.9,1.92,1.87,1.9,0.033113,57700551
2000-02-09,1.92,1.92,1.75,1.8,0.03137,53166721
2000-02-10,1.75,1.82,1.7,1.7,0.029626999999999997,43294964
2000-02-11,1.7,1.82,1.7,1.72,0.029976,61037257
2000-02-14,1.75,1.85,1.75,1.77,0.030847000000000003,42601154
2000-02-15,1.8,1.82,1.65,1.65,0.028756,24838809
2000-02-16,1.7,1.7,1.57,1.57,0.027361,19782616
2000-02-17,1.57,1.57,1.37,1.4,0.024399,46451199
2000-02-18,1.4,1.45,1.35,1.42,0.024746999999999998,46059176
2000-02-21,1.4212799999999999,1.4212799999999999,1.4212799999999999,1.4212799999999999,0.02477,0
2000-02-22,1.37,1.37,1.2,1.2,0.020913,37464752
2000-02-23,1.25,1.35,1.22,1.32,0.023005,29874949
2000-02-24,1.32,1.35,1.3,1.32,0.023005,54332764
2000-02-25,1.32,1.62,1.32,1.57,0.027361,255068518
2000-02-28,1.52,1.55,1.35,1.35,0.023527,44320640
2000-02-29,1.42,1.5,1.37,1.37,0.023875999999999998,80046856
2000-03-01,1.4,1.42,1.37,1.4,0.024399,30358210
2000-03-02,1.45,1.57,1.42,1.52,0.026489999999999996,117240902
2000-03-03,1.55,1.57,1.42,1.42,0.024746999999999998,60675312
2000-03-06,1.45,1.47,1.35,1.35,0.023527,19098832
2000-03-07,1.37,1.4,1.35,1.4,0.024399,23732923
2000-03-08,1.32,1.5,1.32,1.42,0.024746999999999998,106243207
2000-03-09,1.47,1.57,1.47,1.5,0.026141,154957311
2000-03-10,1.55,1.6,1.45,1.5,0.026141,68978978
2000-03-13,1.45,1.52,1.45,1.45,0.025269999999999997,20586714
2000-03-14,1.47,1.67,1.47,1.65,0.028756,383256984
2000-03-15,1.62,1.65,1.5,1.5,0.026141,151177448
2000-03-16,1.55,1.62,1.52,1.57,0.027361,184360027
2000-03-17,1.65,1.65,1.55,1.6,0.027884,107509511
2000-03-20,1.6,1.77,1.6,1.72,0.029976,259682557
2000-03-21,1.75,1.75,1.67,1.67,0.029104,45606997
2000-03-22,1.72,1.75,1.67,1.67,0.029104,47999238
2000-03-23,1.7,1.72,1.65,1.67,0.029104,43838382
2000-03-24,1.65,1.82,1.65,1.65,0.028756,164587437
2000-03-27,1.72,1.75,1.67,1.67,0.029104,42591128
2000-03-28,1.7,1.75,1.65,1.67,0.029104,58293097
2000-03-29,1.7,1.7,1.6,1.6,0.027884,35384324
2000-03-30,1.6,1.6,1.42,1.45,0.025269999999999997,73985040
2000-03-31,1.42,1.52,1.42,1.47,0.025619,86781428
2000-04-03,1.47,1.52,1.47,1.5,0.026141,55096757
2000-04-04,1.5,1.5,1.45,1.45,0.025269999999999997,80408801
2000-04-05,1.47,1.47,1.42,1.42,0.024746999999999998,22044518
2000-04-06,1.4212799999999999,1.4212799999999999,1.4212799999999999,1.4212799999999999,0.02477,0
2000-04-07,1.45,1.5,1.45,1.47,0.025619,22004413
2000-04-10,1.5,1.5,1.47,1.47,0.025619,21210341
2000-04-11,1.47,1.47,1.45,1.47,0.025619,18274682
2000-04-12,1.5,1.57,1.5,1.55,0.027013,78820657
2000-04-13,1.54596,1.54596,1.54596,1.54596,0.026942,0
2000-04-14,1.54596,1.54596,1.54596,1.54596,0.026942,0
2000-04-17,1.42,1.45,1.37,1.4,0.024399,67863067
2000-04-18,1.45,1.5,1.42,1.45,0.025269999999999997,72658579
2000-04-19,1.47,1.55,1.47,1.55,0.027013,77101170
2000-04-20,1.55,1.62,1.55,1.57,0.027361,190461948
