Date,Open,High,Low,Close,Adj Close,Volume
2015-11-16,10.1,10.1,10.0,10.0,8.986236,1063500
2015-11-17,10.0,10.1,10.0,10.1,9.076098,109100
2015-11-18,10.0,10.1,10.0,10.0,8.986236,385200
2015-11-19,10.0,10.1,10.0,10.0,8.986236,543700
2015-11-20,10.0,10.0,10.0,10.0,8.986236,338000
2015-11-23,10.0,10.0,10.0,10.0,8.986236,113100
2015-11-24,10.0,10.0,10.0,10.0,8.986236,66600
2015-11-25,10.0,10.1,10.0,10.0,8.986236,98000
2015-11-26,10.1,10.1,10.0,10.0,8.986236,11000
2015-11-27,10.0,10.1,10.0,10.1,9.076098,62000
2015-11-30,10.1,10.1,10.0,10.0,8.986236,28000
2015-12-01,10.0,10.1,10.0,10.1,9.076098,256600
2015-12-02,10.0,10.0,10.0,10.0,8.986236,62400
2015-12-03,10.0,10.0,10.0,10.0,8.986236,146600
2015-12-04,10.0,10.1,10.0,10.0,8.986236,345200
2015-12-08,10.1,10.1,10.0,10.0,8.986236,523000
2015-12-09,10.1,10.1,10.0,10.0,8.986236,333600
2015-12-11,10.0,10.1,10.0,10.0,8.986236,206700
2015-12-14,10.0,10.0,9.95,10.0,8.986236,124000
2015-12-15,10.0,10.0,10.0,10.0,8.986236,427400
2015-12-16,10.1,10.1,10.0,10.1,9.076098,23200
2015-12-17,10.1,10.1,10.0,10.0,8.986236,15000
2015-12-18,10.1,10.1,10.0,10.1,9.076098,22300
2015-12-21,10.0,10.1,10.0,10.0,8.986236,56100
2015-12-22,10.0,10.0,10.0,10.0,8.986236,112900
2015-12-23,10.0,10.0,10.0,10.0,8.986236,9100
2015-12-24,10.0,10.0,10.0,10.0,8.986236,1600
2015-12-25,10.0,10.0,10.0,10.0,8.986236,113900
2015-12-28,10.0,10.0,10.0,10.0,8.986236,700
2015-12-29,9.95,9.95,9.95,9.95,8.941305,900
2015-12-30,10.1,10.1,10.0,10.0,8.986236,181800
2016-01-04,10.0,10.0,10.0,10.0,8.986236,10000
2016-01-05,10.0,10.1,10.0,10.0,8.986236,16700
2016-01-06,10.0,10.0,10.0,10.0,8.986236,30000
2016-01-07,10.0,10.0,10.0,10.0,8.986236,21600
2016-01-08,10.0,10.0,10.0,10.0,8.986236,1000
2016-01-11,9.95,10.0,9.9,10.0,8.986236,52800
2016-01-12,10.0,10.0,10.0,10.0,8.986236,0
2016-01-13,9.95,9.95,9.95,9.95,8.941305,100000
