Date,Open,High,Low,Close,Adj Close,Volume
2017-08-17,7.0,7.1,6.35,6.5,6.304398,166523700
2017-08-18,6.45,6.65,6.35,6.45,6.255903,67295000
2017-08-21,6.5,6.55,6.2,6.2,6.013426,25563500
2017-08-22,6.2,6.35,6.15,6.2,6.013426,23029400
2017-08-23,6.25,6.5,6.25,6.25,6.061921,42130400
2017-08-24,6.3,6.35,6.2,6.2,6.013426,17905500
2017-08-25,6.25,6.3,6.2,6.25,6.061921,10469900
2017-08-28,6.35,6.35,6.35,6.35,6.158912,1267600
2017-08-29,6.35,6.4,6.2,6.25,6.061921,7484900
2017-08-30,6.3,6.35,6.15,6.25,6.061921,14624100
2017-08-31,6.3,6.4,6.25,6.3,6.110417,15033800
2017-09-01,6.35,6.35,6.2,6.25,6.061921,5511200
2017-09-04,6.25,6.45,6.2,6.3,6.110417,14906400
2017-09-05,6.35,6.45,6.25,6.3,6.110417,20871900
2017-09-06,6.3,7.75,6.3,6.8,6.59537,413223900
2017-09-07,6.85,7.1,6.55,6.75,6.546875,83914100
2017-09-08,6.85,7.3,6.8,7.2,6.983333,105058800
2017-09-11,7.35,7.85,7.25,7.25,7.031828999999999,144690500
2017-09-12,7.25,7.4,7.2,7.25,7.031828999999999,32102400
2017-09-13,7.35,7.5,7.15,7.25,7.031828999999999,27381600
2017-09-14,7.3,7.35,7.05,7.15,6.934838,17141000
2017-09-15,7.25,7.8,7.2,7.35,7.128819,108922200
2017-09-18,7.45,7.45,6.9,6.95,6.740856,53617500
2017-09-19,6.95,7.15,6.85,7.05,6.837847,30867000
2017-09-20,7.1,7.2,6.95,7.15,6.934838,21554500
2017-09-21,7.2,7.3,7.05,7.05,6.837847,22259400
2017-09-22,7.1,7.1,6.95,7.05,6.837847,10755400
2017-09-25,7.05,7.2,7.0,7.15,6.934838,22042300
2017-09-26,7.15,7.25,6.95,7.0,6.789352,12608200
2017-09-27,7.05,7.05,6.8,6.8,6.59537,14655800
2017-09-28,6.85,6.95,6.8,6.85,6.643866,6192800
2017-09-29,6.95,7.15,6.95,7.05,6.837847,25395700
2017-10-02,7.1,7.2,7.05,7.05,6.837847,22658100
2017-10-03,7.15,7.25,7.0,7.1,6.886342999999999,31657700
2017-10-04,7.1,7.1,7.0,7.0,6.789352,7037100
2017-10-05,7.05,7.1,7.0,7.05,6.837847,4869500
2017-10-09,6.95,7.0,6.85,6.85,6.643866,7738600
2017-10-10,6.9,6.9,6.8,6.9,6.692361,3873800
2017-10-11,6.95,7.1,6.95,7.0,6.789352,11443300
2017-10-12,7.0,7.1,6.95,6.95,6.740856,6600700
2017-10-16,6.95,6.95,6.95,6.95,6.740856,278200
2017-10-17,7.05,7.5,7.0,7.5,7.274305,77104100
2017-10-18,7.45,7.5,7.2,7.25,7.031828999999999,40368100
2017-10-19,7.3,7.4,7.05,7.05,6.837847,20768600
2017-10-20,7.05,7.25,7.05,7.2,6.983333,11215500
2017-10-24,7.2,7.35,7.2,7.25,7.031828999999999,12546900
2017-10-25,7.3,7.3,7.2,7.3,7.080324000000001,5710700
2017-10-27,7.3,7.5,7.3,7.3,7.080324000000001,16850000
2017-10-30,7.3,7.65,7.2,7.65,7.419792,25023300
2017-10-31,7.7,7.9,7.35,7.4,7.177314999999999,46068400
2017-11-01,7.4,7.4,7.25,7.25,7.031828999999999,9274300
2017-11-02,7.3,7.35,7.2,7.2,6.983333,5774200
2017-11-03,7.25,7.3,7.15,7.2,6.983333,3312300
2017-11-06,7.2,7.35,7.15,7.25,7.031828999999999,4900000
2017-11-07,7.3,7.3,6.9,6.95,6.740856,13926600
2017-11-08,7.0,7.0,6.9,6.95,6.740856,3459600
2017-11-09,6.95,7.0,6.75,6.85,6.643866,7771200
2017-11-10,6.8,6.85,6.6,6.6,6.401389,5707000
2017-11-13,6.65,6.7,6.6,6.65,6.449884,1329700
2017-11-14,6.15,6.3,6.15,6.25,6.061921,9028800
2017-11-15,6.3,6.45,6.3,6.35,6.158912,3209100
2017-11-16,6.4,6.45,6.35,6.35,6.158912,1559300
2017-11-17,6.35,6.65,6.35,6.5,6.304398,6038300
2017-11-20,6.55,6.65,6.35,6.4,6.207407,8904200
2017-11-21,6.4,6.4,6.4,6.4,6.207407,1789500
2017-11-22,6.4,6.45,6.3,6.3,6.110417,2238600
2017-11-23,6.3,6.35,6.1,6.1,5.916435,2390300
2017-11-24,6.15,6.15,5.75,5.8,5.625463,6982200
2017-11-27,5.8,5.85,5.55,5.6,5.431481,2496800
2017-11-28,5.6,5.9,5.6,5.8,5.625463,2819800
2017-11-29,5.9,6.1,5.85,5.85,5.673958,8923400
2017-11-30,5.9,5.95,5.75,5.75,5.576968,2967400
2017-12-01,5.8,5.8,5.7,5.75,5.576968,910900
2017-12-04,5.8,5.85,5.75,5.75,5.576968,870900
2017-12-06,5.75,5.75,5.6,5.6,5.431481,830900
2017-12-07,5.6,5.6,5.45,5.45,5.285995,1462900
2017-12-08,5.45,5.55,5.45,5.5,5.334491000000001,771600
2017-12-12,5.5,5.6,5.3,5.3,5.14051,1532000
2017-12-13,5.3,5.3,5.1,5.2,5.043519,2605900
2017-12-14,5.2,5.2,5.1,5.1,4.946527,735600
2017-12-15,5.15,5.15,4.92,4.92,4.771945,3117100
2017-12-18,4.94,4.94,4.78,4.8,4.655556,3225600
2017-12-19,4.8,5.2,4.78,5.2,5.043519,5872600
2017-12-20,5.2,5.4,5.2,5.2,5.043519,5608700
2017-12-21,5.2,5.3,5.2,5.2,5.043519,1407100
2017-12-22,5.25,5.25,5.1,5.15,4.995023000000001,595900
2017-12-25,5.2,5.25,5.1,5.1,4.946527,282100
2017-12-26,5.1,5.1,4.98,5.05,4.898033,798200
2017-12-27,5.05,5.05,4.98,4.98,4.830139,708900
2017-12-28,5.0,5.05,4.94,4.96,4.810741,1205800
2017-12-29,4.98,4.98,4.96,4.96,4.810741,508800
2018-01-03,4.96,5.05,4.96,5.0,4.849537000000001,834800
2018-01-04,5.0,5.1,4.98,5.05,4.898033,1324200
2018-01-05,5.15,5.45,5.15,5.3,5.14051,12061800
2018-01-08,5.3,5.3,5.05,5.05,4.898033,3065500
2018-01-09,5.0,5.0,5.0,5.0,4.849537000000001,124100
2018-01-10,5.0,5.05,4.98,4.98,4.830139,469200
