,dividend,close_price,dividend_yield
2002-05-22,1,37.8,2.65
2002-10-07,1.5,36,4.17
2003-05-20,1.6,19.9,8.04
2003-10-07,1.8,41.2,4.37
2004-05-19,2.1,26,8.08
2004-10-04,0.46,32,1.44
2005-05-17,0.54,39.5,1.37
2005-10-03,0.65,32.5,2
2006-05-23,0.72,49,1.47
2006-10-03,0.75,44,1.7
2007-05-24,0.78,50,1.56
2007-10-02,1,51,1.96
2008-05-27,1,36.75,2.72
2008-10-08,1.05,29.75,3.53
2009-05-11,1.05,27.5,3.82
2009-10-06,1.05,33.75,3.11
2010-05-11,1.05,30,3.5
2010-10-05,1.05,32,3.28
2011-05-09,1.05,35,3
2011-10-05,1.05,29.5,3.56
2012-05-08,1.05,34.25,3.07
2012-10-05,1.15,60.5,1.9
2013-05-10,1.85,112,1.65
2013-10-08,1.6,95.25,1.68
2014-05-06,1.85,91.75,2.02
2014-10-10,1.6,111,1.44
2015-04-30,1.85,102.5,1.8
2015-10-06,1.6,93.5,1.71
2016-05-03,1.85,95,1.95
2016-10-19,1.6,97.5,1.64
2017-05-11,1.85,105.5,1.75
2017-10-18,1.6,105,1.52
