,dividend,close_price,dividend_yield
2004-08-31,0.3,13.3,2.26
2005-03-31,0.4,17.1,2.34
2005-08-30,0.3,20.9,1.44
2006-03-31,0.45,32,1.41
2006-08-29,0.3,36.25,0.83
2007-03-30,0.45,40.75,1.1
2007-08-17,0.4,39.5,1.01
2008-04-29,0.4,32.5,1.23
2008-08-19,0.4,39.5,1.01
2009-03-12,0.4,19.5,2.05
2009-08-18,0.4,24.5,1.63
2010-03-11,0.45,30.25,1.49
2010-08-26,0.4,31.75,1.26
2011-03-10,0.5,36.25,1.38
2011-08-23,0.45,37.5,1.2
2012-03-12,0.65,52.25,1.24
2012-08-24,0.6,76,0.79
2013-03-05,1.2,87.5,1.37
2013-08-26,0.7,84.25,0.83
2014-03-04,1.2,89.5,1.34
2014-08-26,0.7,135,0.52
2015-03-10,1.25,151,0.83
2015-08-25,0.9,213,0.42
2016-03-10,1.45,209,0.69
2016-08-15,0.95,176,0.54
2017-03-13,1.55,178,0.87
2017-08-22,1,203,0.49
