,dividend,close_price,dividend_yield
2013-08-29,0.117,9.05,1.29
2013-11-26,0.158,9.55,1.65
2014-02-25,0.15,9.25,1.62
2014-06-04,0.154,9.9,1.56
2014-08-26,0.151,10.4,1.45
2014-11-25,0.156,10.2,1.53
2015-02-24,0.161,10.5,1.53
2015-06-03,0.138,10.3,1.34
2015-08-19,0.168,10.6,1.58
2015-11-18,0.179,10.2,1.75
2016-02-19,0.178,10.5,1.7
2016-05-25,0.167,11.9,1.4
2016-08-17,0.189,12.8,1.48
2016-11-16,0.188,12.1,1.55
2017-02-21,0.188,11.5,1.63
2017-06-01,0.207,11.5,1.8
2017-08-28,0.192,11.5,1.67
2017-11-22,0.203,11.9,1.71
