,dividend,close_price,dividend_yield
2002-04-02,0.75,4.525,16.57
2002-05-14,1.15,6.85,16.79
2002-08-13,1.2,8.7,13.79
2002-11-12,0.12,8.95,1.34
2003-04-01,0.12,10.7,1.12
2003-05-12,0.13,11.7,1.11
2003-08-05,0.14,14.5,0.97
2003-11-04,0.19,22.9,0.83
2004-04-05,0.19,21.4,0.89
2004-05-04,0.38,22,1.73
2004-08-10,0.3,18.4,1.63
2004-11-09,0.25,14.5,1.72
2005-04-01,0.25,15.2,1.64
2005-05-09,0.45,16.8,2.68
2005-08-08,0.36,16.7,2.16
2005-11-14,0.28,16.9,1.66
2006-04-03,0.21,18.8,1.12
2006-05-09,0.3,19.6,1.53
2006-08-09,0.23,13.5,1.7
2006-11-10,0.23,15.6,1.47
2007-04-03,0.21,13.8,1.52
2007-05-10,0.28,14.9,1.88
2007-08-07,0.25,16.4,1.52
2007-11-07,0.23,16.1,1.43
2008-04-04,0.24,16.4,1.46
2008-05-13,0.4,18.1,2.21
2008-08-11,0.3,16.9,1.78
2008-11-12,0.27,10.1,2.67
2009-04-07,0.28,13,2.15
2009-05-12,0.55,16.5,3.33
2009-08-10,0.48,19,2.53
2009-11-10,0.5,29,1.72
2010-04-05,0.55,36.5,1.51
2010-05-11,0.8,39,2.05
2010-08-09,0.8,43.5,1.84
2010-11-09,0.7,57.5,1.22
2011-04-04,0.58,54,1.07
2011-05-11,0.89,51.75,1.72
2011-08-09,0.83,50.75,1.64
2011-11-08,0.71,55,1.29
2012-04-02,0.62,65.25,0.95
2012-05-08,0.91,64.25,1.42
2012-08-07,0.79,52.75,1.5
2012-11-13,0.65,41.75,1.56
2013-04-02,0.73,62.25,1.17
2013-05-07,1.01,62,1.63
2013-08-06,0.82,57.75,1.42
2013-11-05,0.72,53.5,1.35
2014-03-11,0.63,51,1.24
2014-05-09,0.87,53.75,1.62
2014-08-05,0.78,61,1.28
2014-11-11,0.67,58.5,1.15
2015-03-02,0.069,5.8,1.19
2015-04-29,0.03408,6.15,0.55
2015-08-10,0.056,3.72,1.51
2015-11-06,0.042,4.04,1.04
2016-03-01,0.053,4.28,1.24
2016-05-04,0.05,4.3,1.16
2016-08-05,0.04125,4.34,0.95
2016-11-11,0.036,4.6,0.78
2017-03-03,0.036,4.46,0.81
2017-05-08,0.04,3.96,1.01
2017-08-22,0.037,3.96,0.93
2017-11-27,0.028,3.78,0.74
