,dividend,close_price,dividend_yield
2003-04-11,0.7,7.25,9.66
2004-04-07,0.33,9.9,3.33
2005-04-07,0.3,6,5
2005-08-18,0.15,4.82,3.11
2006-04-03,0.19,6.1,3.11
2006-08-23,0.12,4.62,2.6
2007-04-30,0.12,4.48,2.68
2007-08-22,0.025,3.9,0.64
2008-05-06,0.035,3.84,0.91
2008-08-22,0.045,1.85,2.43
2009-05-12,0.045,1.7,2.65
2009-08-25,0.04,1.53,2.61
2010-05-11,0.095,2.3,4.13
2010-08-26,0.09,2.78,3.24
2011-05-06,0.095,2.64,3.6
2011-08-26,0.08,2.74,2.92
2012-05-03,0.1,2.76,3.62
2012-08-28,0.06,2.66,2.26
2013-05-07,0.12,4.42,2.71
2013-08-27,0.12,4.78,2.51
2014-03-25,0.125,3.8,3.29
2014-08-26,0.135,4.68,2.88
2015-03-17,0.135,4.18,3.23
2015-08-27,0.09,3.4,2.65
2016-03-15,0.135,3.78,3.57
2016-08-30,0.125,4.14,3.02
2017-03-14,0.0135,4.54,0.3
2017-08-29,0.135,4.56,2.96
