,dividend,close_price,dividend_yield
2006-01-30,0.34,21.7,1.57
2006-03-08,0.27,10.4,2.6
2006-08-31,0.3,10.5,2.86
2007-03-20,0.51,10.2,5
2007-09-18,0.4,11,3.64
2008-03-14,0.5,11.9,4.2
2009-02-19,0.47,11.7,4.02
2009-05-15,0.5,12.3,4.07
2011-01-28,0.47,11.2,4.2
2011-03-30,0.45,12.2,3.69
2011-10-03,0.46,12,3.83
2012-05-22,0.46,12,3.83
2012-09-25,0.45,12.2,3.69
2013-03-01,0.45,22.7,1.98
2013-08-28,0.5,18.8,2.66
2014-03-07,0.46,18.7,2.46
2014-09-08,0.5,18,2.78
2015-02-24,0.55,19,2.89
2015-08-21,0.58,20,2.9
2016-08-22,0.58,20,2.9
2017-04-24,0.58,20.8,2.79
2017-11-16,0.55,21,2.62
