,dividend,close_price,dividend_yield
2005-03-29,1,25.75,3.88
2006-03-29,1.7,33.25,5.11
2007-04-03,0.52,17.2,3.02
2007-11-21,0.7,26.5,2.64
2008-04-08,2,32.75,6.11
2009-04-03,3,37.5,8
2009-08-21,1.14,42,2.71
2010-03-26,2.06,70,2.94
2010-08-20,1.5,72,2.08
2011-04-07,1.7,103,1.65
2011-08-22,1.5,76.5,1.96
2012-03-30,0.7,84,0.83
2012-08-21,1.6,174.5,0.92
2013-04-03,0.6,162.5,0.37
2013-08-23,0.3,92,0.33
2014-04-03,1,85.5,1.17
2014-08-26,0.55,97,0.57
2015-03-10,1.05,76,1.38
2015-08-25,0.55,66,0.83
2016-03-10,1.45,70.5,2.06
2016-08-23,1.1,144.5,0.76
2016-12-01,1.4,133.5,1.05
2017-05-25,1.1,142.5,0.77
2017-11-30,2.3,141.5,1.63
