,dividend,close_price,dividend_yield
2004-04-19,1.4,51.5,2.72
2005-04-12,2,52.5,3.81
2006-04-11,3,68.5,4.38
2007-04-11,2,71.5,2.8
2008-04-09,2,90.5,2.21
2009-04-10,2,57,3.51
2010-04-09,2.5,88.75,2.82
2010-09-02,1,97,1.03
2011-04-18,2,116.5,1.72
2011-09-02,1,118.5,0.84
2012-04-17,2.5,143.5,1.74
2012-09-07,1,153.5,0.65
2013-04-17,3.5,177.5,1.97
2013-09-06,1.5,138,1.09
2014-04-11,3.75,162.5,2.31
2014-09-05,1.5,191.5,0.78
2015-04-10,4.5,182,2.47
2015-09-04,1.5,140.5,1.07
2016-04-18,4,134.5,2.97
2016-09-02,1.5,160.5,0.93
2017-04-24,4,160,2.5
2017-09-04,1.5,151,0.99
