,dividend,close_price,dividend_yield
2004-04-01,0.35,1.45,24.14
2005-03-28,0.55,0.995,55.28
2005-08-19,0.25,1.29,19.38
2006-03-30,0.22,1.39,15.83
2006-08-18,0.3,1.66,18.07
2007-03-30,0.32,1.91,16.75
2007-08-21,0.32,1.84,17.39
2008-04-01,0.3,1.97,15.23
2008-11-07,0.035,1.84,1.9
2009-04-02,0.01,1.68,0.6
2010-04-01,0.02,1.75,1.14
2011-03-23,0.02,1.94,1.03
2012-03-29,0.01,1.94,0.52
2013-03-19,0.025,3.04,0.82
2013-08-26,0.05,3.12,1.6
2014-03-18,0.06,3.36,1.79
2014-08-18,0.06,3.56,1.69
2015-03-17,0.03,2.8,1.07
2015-08-24,0.015,1.72,0.87
