,dividend,close_price,dividend_yield
2005-12-13,0.3,14.9,2.01
2006-01-18,0.7,2.36,29.66
2006-06-27,0.05,1.63,3.07
2007-01-31,0.07,1.63,4.29
2007-08-17,0.03,1.46,2.05
2008-02-04,0.03,1.3,2.31
2008-09-01,0.03,1.28,2.34
2009-02-04,0.12,1.38,8.7
2009-07-24,0.03,1.25,2.4
2010-02-04,0.14,2.16,6.48
2010-08-05,0.05,2.84,1.76
2011-01-21,0.18,3.58,5.03
2011-07-19,0.07,3.22,2.17
2012-02-01,0.18,3.2,5.63
2012-07-12,0.09,3.3,2.73
2013-01-31,0.18,4.22,4.27
2013-08-16,0.0111111,2.64,0.42
2014-03-10,0.1,2.58,3.88
2014-09-05,0.04,2.74,1.46
2015-02-05,0.08,3.24,2.47
2015-07-22,0.04,4.92,0.81
2016-01-22,0.06,21,0.29
2017-03-03,0.0412,44,0.09
