,dividend,close_price,dividend_yield
2001-04-04,6,5.8,103.45
2002-04-05,6.5,8.8,73.86
2003-04-03,7.5,11.7,64.1
2004-04-05,0.9,18.5,4.86
2005-03-31,0.95,18.5,5.14
2006-04-03,1.2,15.7,7.64
2007-04-02,1.2,16.7,7.19
2007-09-07,0.5,18.2,2.75
2008-04-03,0.75,17.9,4.19
2008-09-04,0.5,16.7,2.99
2009-04-02,0.6,13.1,4.58
2009-09-03,0.4,14.5,2.76
2010-03-10,0.8,14.6,5.48
2010-09-06,0.75,20.4,3.68
2011-03-16,1,24.4,4.1
2011-09-13,0.75,27.5,2.73
2012-03-14,0.25,21.2,1.18
2013-03-13,0.5,30,1.67
2014-03-12,1.5,37.5,4
2014-09-09,0.5,43,1.16
2015-03-11,1.75,39.25,4.46
2015-09-14,0.5,38.5,1.3
2016-03-09,2,39,5.13
2016-09-13,0.75,37.75,1.99
2017-03-09,2,47.75,4.19
2017-09-12,0.75,45.25,1.66
