,dividend,close_price,dividend_yield
2005-04-01,1.8,63,2.86
2006-03-27,3.5,66,5.3
2006-09-18,1.5,60.5,2.48
2007-03-16,2,59,3.39
2007-09-25,1.75,87,2.01
2008-03-11,2.75,75.5,3.64
2008-09-03,1.75,48.75,3.59
2009-02-26,1,25.75,3.88
2009-09-01,1.05,40.5,2.59
2010-03-04,1.5,44.25,3.39
2010-09-23,0.6,50.5,1.19
2011-03-03,1.4,74.75,1.87
2011-09-14,1.3,65,2
2012-02-23,2,76,2.63
2012-09-05,0.5,66.5,0.75
2013-02-27,2.2,72.75,3.02
2013-09-12,0.8,61.5,1.3
2014-02-26,1.5,53.5,2.8
2014-09-11,0.56,52.75,1.06
2015-02-24,0.6,51.5,1.17
2015-09-10,0.9,51.25,1.76
2016-02-24,1.8,64,2.81
2016-09-08,1.5,69,2.17
2017-02-27,3,77.75,3.86
2017-09-07,1.5,91,1.65
