,dividend,close_price,dividend_yield
2005-12-13,0.55,83.25,0.66
2006-03-15,0.65,23.1,2.81
2006-08-23,0.6,24,2.5
2007-03-13,0.55,23.1,2.38
2007-08-24,0.55,20.9,2.63
2008-03-11,0.7,17.4,4.02
2008-08-22,0.33,9.9,3.33
2009-03-10,0.24,4.64,5.17
2009-08-24,0.11,5.05,2.18
2010-03-11,0.18,7,2.57
2010-08-23,0.32,11.5,2.78
2011-03-10,0.25,13.9,1.8
2011-09-28,0.6,13.7,4.38
2012-03-26,0.4,20.4,1.96
2012-08-27,0.8,31.5,2.54
2013-03-18,0.6,53,1.13
2015-03-12,0.0444444,64,0.07
2015-09-02,0.19,39.75,0.48
2016-03-08,0.15,36,0.42
2017-03-07,0.27,57.25,0.47
2017-08-23,0.488,68,0.72
