,dividend,close_price,dividend_yield
2001-08-30,1,1.9842,50.4
2002-04-03,2,2.0605,97.06
2003-04-01,3,3.7776,79.42
2004-04-01,4,7.25,55.17
2005-03-16,0.5,16.9,2.96
2006-03-10,0.5,24.7,2.02
2007-03-13,0.5,35.75,1.4
2008-03-06,0.5,33,1.52
2009-03-11,0.6,17.1,3.51
2010-03-10,0.7,25,2.8
2010-12-24,0.8,46.5,1.72
2012-03-26,1.1,91.75,1.2
2013-03-22,1.8,162.5,1.11
2014-03-25,2,135,1.48
2015-03-24,0.23,20.3,1.13
2016-03-29,0.26,22.8,1.14
2016-09-13,0.1,21.8,0.46
2017-03-13,0.19,20.4,0.93
2017-09-12,0.13,20.7,0.63
