,dividend,close_price,dividend_yield
2001-09-04,0.4,2.675,14.95
2002-03-18,0.6,4.025,14.91
2002-09-13,0.7,4.5,15.56
2003-04-03,1.5,4,37.5
2003-08-22,1.2,6.5,18.46
2004-03-08,2.6,7.65,33.99
2004-08-19,1.5,7.1,21.13
2005-03-10,2.5,6.1,40.98
2005-08-19,1.5,4.9,30.61
2006-03-10,2,5,40
2006-08-22,1.5,4.5,33.33
2007-04-02,1.5,4.35,34.48
2007-08-20,1.5,5.2,28.85
2008-05-02,0.21,6.75,3.11
2008-08-26,0.15,5.4,2.78
2009-05-04,0.15,4.46,3.36
2009-08-25,0.12,4.6,2.61
2010-05-12,0.21,6.35,3.31
2010-08-24,0.25,18.1,1.38
2011-05-10,0.35,19.3,1.81
2011-08-25,0.28,24.5,1.14
2012-05-08,0.45,42.75,1.05
2012-08-22,0.32,42.25,0.76
2013-05-07,0.52,72.25,0.72
2013-08-27,0.44,40,1.1
2014-05-06,0.4,47.5,0.84
2014-08-29,0.35,48,0.73
2015-04-23,0.25,36.25,0.69
2015-08-27,0.35,29.75,1.18
2016-05-03,0.49,37.5,1.31
2016-08-26,0.12,46.25,0.26
2017-05-08,0.38,44,0.86
2017-08-28,0.15,45.25,0.33
