,dividend,close_price,dividend_yield
2006-02-23,0.2908,10.9,2.67
2006-05-29,0.1886,10.7,1.76
2006-08-30,0.2058,10.4,1.98
2006-11-15,0.1988,10.6,1.88
2007-03-12,0.188,10,1.88
2007-06-05,0.2044,10.2,2
2007-09-05,0.2103,10.3,2.04
2007-11-29,0.2019,9.45,2.14
2008-03-13,0.2064,10.2,2.02
2008-05-30,0.2164,10.4,2.08
2008-08-26,0.2155,9.45,2.28
2008-11-26,0.2238,7,3.2
2009-03-09,0.2159,7.9,2.73
2009-05-26,0.2294,8.25,2.78
2009-08-24,0.2239,9.25,2.42
2009-10-28,0.3046,9.3,3.28
2010-03-02,0.1622,9.85,1.65
2010-05-17,0.245,10.5,2.33
2010-08-26,0.2435,10.8,2.25
2010-11-25,0.2478,11.8,2.1
2011-03-03,0.2547,12.4,2.05
2011-05-26,0.2517,12.9,1.95
2011-08-26,0.2569,13.6,1.89
2011-11-25,0.2644,12.9,2.05
2012-02-21,0.25,13.3,1.88
2012-05-17,0.2723,14.5,1.88
2012-08-10,0.2823,15.9,1.78
2012-11-02,0.2863,17.1,1.67
2013-01-29,0.288,19.9,1.45
2013-05-03,0.2949,19.5,1.51
2013-07-26,0.3167,18.2,1.74
2013-10-29,0.3167,16.6,1.91
2013-11-22,0.3,16.2,1.85
2014-04-11,0.41,15.5,2.65
2014-08-06,0.273,17.4,1.57
2014-11-07,0.323,16.6,1.95
2015-01-30,0.32,16.6,1.93
2015-05-08,0.3031,16.4,1.85
2015-08-04,0.25,16.7,1.5
2015-11-05,0.2245,17.6,1.28
2016-02-05,0.2305,18.4,1.25
2016-05-03,0.2788,20.6,1.35
2016-08-04,0.271,20.2,1.34
2016-11-10,0.31,20.5,1.51
2017-02-02,0.293,19.7,1.49
2017-05-12,0.293,18.1,1.62
2017-08-10,0.2683,18.7,1.43
2017-11-09,0.2879,21.9,1.31
