,dividend,close_price,dividend_yield
2004-08-20,0.15,7.8,1.92
2005-03-07,0.25,7.4,3.38
2005-08-18,0.12,3.24,3.7
2006-03-29,0.33,3.74,8.82
2006-08-21,0.6,4.44,13.51
2007-03-28,0.14,3.68,3.8
2007-08-21,0.2,4.32,4.63
2008-04-11,0.2,4.24,4.72
2008-06-23,0.23,4.14,5.56
2008-12-19,0.27,2.52,10.71
2009-04-16,0.22,2.7,8.15
2009-08-21,0.14,3.44,4.07
2010-04-12,0.27,3.36,8.04
2010-08-20,0.25,5.2,4.81
2011-04-04,0.25,5.35,4.67
2011-08-22,0.27,6.5,4.15
2012-04-03,0.27,6.45,4.19
2012-08-22,0.3,8,3.75
2013-04-02,0.3,12.9,2.33
2013-08-20,0.35,12.4,2.82
2014-04-01,0.35,10.6,3.3
2014-08-19,0.41,10.6,3.87
2015-03-30,0.16,6.95,2.3
2015-08-19,0.24,6.75,3.56
2016-03-31,0.2,6,3.33
2016-08-18,0.22,6.3,3.49
2017-04-03,0.22,6.25,3.52
2017-08-15,0.22,6.2,3.55
