,dividend,close_price,dividend_yield
2001-04-03,3,1.8999,157.9
2001-09-13,5,2.5832,193.56
2001-11-26,8,3.1999,250.01
2002-03-12,5,7.733,64.66
2002-05-30,3,11.9,25.21
2002-08-27,3,10,30
2002-12-27,1.5,11,13.64
2003-03-10,1.5,9.7,15.46
2003-05-29,0.17,9.3,1.83
2003-09-02,0.09,9.55,0.94
2003-12-02,0.11,9.3,1.18
2004-03-09,0.14,7.25,1.93
2004-07-15,0.09,5.85,1.54
2004-08-30,0.15,5.75,2.61
2004-11-25,0.2,6.3,3.17
2005-03-08,0.16,6.25,2.56
2005-05-31,0.05,5.4,0.93
2005-08-29,0.05,4.9,1.02
2005-12-08,0.05,4.5,1.11
2006-03-09,0.22,4.28,5.14
2009-03-30,0.08,1.21,6.61
2009-09-11,0.08,2.18,3.67
2010-03-30,0.08,2.6,3.08
2010-09-16,0.15,3.3,4.55
2011-03-31,0.08,2.08,3.85
2014-04-01,0.1,1.92,5.21
2015-03-31,0.05,3.42,1.46
