,dividend,close_price,dividend_yield
2009-10-14,0.176,10.2,1.73
2010-02-17,0.22,10,2.2
2010-04-28,0.21,10,2.1
2010-09-01,0.212,11,1.93
2010-10-15,0.215,10.6,2.03
2011-02-23,0.213,11,1.94
2011-04-12,0.213,10.4,2.05
2011-08-17,0.213,10.9,1.95
2011-11-16,0.213,10.5,2.03
2012-03-15,0.213,10.7,1.99
2012-04-20,0.213,11,1.94
2012-10-11,0.213,11.4,1.87
2012-10-26,0.213,13.5,1.58
2013-02-26,0.213,12.3,1.73
2013-05-07,0.213,12.8,1.66
2013-08-30,0.213,12.7,1.68
2013-10-17,0.213,12.1,1.76
2014-02-24,0.213,11.8,1.81
2014-04-30,0.213,11.7,1.82
2014-08-26,0.213,11.2,1.9
2014-10-20,0.177,10.9,1.62
2015-02-24,0.184,10.8,1.7
2015-04-29,0.177,10.9,1.62
2015-08-26,0.177,10.7,1.65
2015-10-29,0.19,10.9,1.74
2016-02-26,0.18,10.4,1.73
2016-05-11,0.185,10,1.85
2016-08-23,0.17,10.6,1.6
2016-11-02,0.175,10.4,1.68
2017-02-27,0.19,10.5,1.81
2017-05-16,0.175,10.3,1.7
2017-08-22,0.175,10.2,1.72
2017-11-17,0.175,10.3,1.7
