,dividend,close_price,dividend_yield
2001-05-02,0.8,0.9495,84.25
2002-04-30,1,1.5643,63.93
2003-05-07,0.7,1.7361,40.32
2004-05-07,0.49,2.7488,17.83
2005-05-03,0.12,3.5987,3.33
2006-04-20,0.125,8.7273,1.43
2007-04-17,0.15,9.9091,1.51
2008-05-07,0.15,15,1
2009-01-26,0.23,7.35,3.13
2009-06-23,0.08,8.25,0.97
2010-04-30,0.15,9.7,1.55
2011-04-07,0.15,11.9,1.26
2012-04-05,0.15,14.4,1.04
2013-04-11,0.3,22.8,1.32
2014-04-16,0.35,25.25,1.39
2015-04-17,0.25,35.75,0.7
2016-04-08,0.35,36.75,0.95
2017-04-10,0.35,37.5,0.93
