,dividend,close_price,dividend_yield
2001-03-29,3,11.625,25.81
2002-03-15,1.8,24.5,7.35
2003-04-02,1.9,25,7.6
2004-03-23,1.9,27.75,6.85
2004-08-23,0.5,25.75,1.94
2005-03-24,1.5,25,6
2005-08-22,0.5,22.9,2.18
2006-03-27,1.6,23.9,6.69
2006-08-28,0.45,24,1.88
2007-03-26,1.55,33.25,4.66
2007-08-27,0.25,30.25,0.83
2008-04-04,1.25,33,3.79
2008-08-26,0.5,28.25,1.77
2009-03-09,1.65,27,6.11
2009-08-26,0.5,29,1.72
2010-03-09,2,37.5,5.33
2010-08-26,1.25,46.5,2.69
2011-03-09,2,70,2.86
2011-08-25,1.25,83,1.51
2012-03-13,2.75,86.25,3.19
2012-08-27,1.5,166,0.9
2013-03-14,4.5,200,2.25
2013-08-27,1.25,145,0.86
2014-03-17,4.25,142,2.99
2014-08-26,0.1,27.25,0.37
2015-03-18,0.7,27.25,2.57
2015-08-26,0.2,27,0.74
2016-03-17,0.9,29.5,3.05
2016-08-23,0.1,26.75,0.37
2017-03-16,0.7,26.25,2.67
2017-08-29,0.07,22,0.32
