,dividend,close_price,dividend_yield
2004-05-06,1,3.2,31.25
2004-08-23,0.5,2.96,16.89
2005-03-09,0.55,3.04,18.09
2005-08-26,0.1,2.28,4.39
2006-04-11,0.15,2.88,5.21
2006-08-28,0.12,2.46,4.88
2007-04-19,0.18,2.84,6.34
2007-08-27,0.14,3.3,4.24
2008-04-04,0.18,3.2,5.63
2008-08-26,0.16,2.96,5.41
2009-03-18,0.2,2.44,8.2
2009-08-26,0.2,2.98,6.71
2010-03-05,0.2,3.38,5.92
2010-09-01,0.62,5.2,11.92
2011-04-05,0.13,4.06,3.2
2011-08-26,0.15,3.78,3.97
2012-03-08,0.085,3.48,2.44
2012-08-27,0.17,4,4.25
2013-08-26,0.024,2.56,0.94
2014-03-13,0.003,2.24,0.13
2015-03-10,0.014,2.64,0.53
2015-08-26,0.016,2.28,0.7
2016-03-10,0.012,2.1,0.57
2017-03-23,0.019,2.42,0.79
