,dividend,close_price,dividend_yield
2004-04-16,0.5,5.4,9.26
2005-04-26,0.2,2.68,7.46
2006-04-10,0.25,3.44,7.27
2006-09-22,0.15,3.3,4.55
2007-04-09,0.12,3.6,3.33
2007-09-21,0.12,3.7,3.24
2008-04-08,0.13,3.96,3.28
2008-08-14,0.15,3.1,4.84
2009-04-23,0.15,2.22,6.76
2009-08-21,0.25,4.88,5.12
2010-04-30,0.35,7.8,4.49
2010-08-23,0.3,12.5,2.4
2011-05-04,0.3,11.6,2.59
2011-08-19,0.35,14.5,2.41
2012-05-08,0.3,16.8,1.79
2012-08-24,0.3,19.3,1.55
2013-03-11,0.35,21.8,1.61
2013-08-23,0.3,14.4,2.08
2014-03-07,0.4,18.2,2.2
2014-08-25,0.35,26.25,1.33
2015-03-09,0.65,23.3,2.79
2015-08-21,0.5,16.9,2.96
2016-03-07,0.5,18.1,2.76
2016-08-19,0.5,24.3,2.06
2017-03-03,0.55,25.25,2.18
