,dividend,close_price,dividend_yield
2005-12-14,0.245,8.45,2.9
2006-03-07,0.21,10.3,2.04
2006-05-26,0.2,10.1,1.98
2006-08-28,0.21,9.85,2.13
2006-11-30,0.22,10,2.2
2007-02-23,0.22,9.95,2.21
2007-05-25,0.35,10.4,3.37
2007-11-27,0.267,10.2,2.62
2008-02-26,0.195,10,1.95
2008-05-27,0.19,10,1.9
2008-08-26,0.175,9.7,1.8
2008-12-11,0.16,8.3,1.93
2009-02-24,0.16,7.4,2.16
2009-05-26,0.15,7.5,2
2009-08-26,0.14,6.9,2.03
2009-11-27,0.135,7.3,1.85
2010-02-23,0.135,7.5,1.8
2010-05-31,0.15,8.4,1.79
2010-08-26,0.15,8.1,1.85
2010-11-25,0.166,8.15,2.04
2011-05-26,0.15,8.3,1.81
2011-08-26,0.2,8.3,2.41
2011-11-25,0.16,7.9,2.03
2012-06-27,0.135,7.8,1.73
2012-08-31,0.11,7.6,1.45
2012-11-27,0.11,7.75,1.42
2013-02-22,0.11,7.6,1.45
2013-05-29,0.11,7.3,1.51
2013-08-27,0.11,6.85,1.61
2013-11-26,0.1607,7,2.3
2014-02-25,0.1665,6.9,2.41
2014-05-27,0.1441,7.15,2.02
2014-08-26,0.135,7.65,1.76
2014-11-25,0.11,7.05,1.56
2015-02-17,0.1233,7.2,1.71
2015-05-18,0.1665,7.45,2.23
2015-08-20,0.12,7.5,1.6
2015-11-25,0.128,7.5,1.71
2016-02-15,0.135,7.3,1.85
2016-05-19,0.1544,7.75,1.99
2016-08-17,0.145,8.05,1.8
2016-11-18,0.145,8,1.81
2017-02-17,0.15,8.2,1.83
2017-05-18,0.2,8.65,2.31
2017-08-21,0.134,8.5,1.58
2017-11-21,0.134,8.5,1.58
