,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,expense,operating_profit,cash,account_receivable,inventory,current_asset,property_plant_equipment,total_asset,account_payable,current_portion_long_term_debt,current_liability,non_current_liability,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,ROCE%,NPM%,NPMA%,TIE,CurrentRatio,QuickRatio,month,year,dividend,number_of_shares,return_old
2011-12-31,,,,,,,,,,,694.43,97.84,26.13,1451.05,154.5,2223.52,54.03,250.29,2162.23,53.64,2215.87,410.0,7.65,,,,,,0.0,289.66,0.25,0.0,0.0,,,,,,12.48,12.03,62.81,0.67,0.66,12,2011,,4056.48,1014.12
2012-06-30,12511.650000000001,14118.859999999999,3.3307603789868216,0.0,-627.0500000000001,14061.18,14050.630000000001,3.4,-1549.5299999999997,-518.75,2814.14,537.03,50.07,6101.7,372.83,29399.13,445.03,4.16,4096.96,108.4,4205.36,485.0,17760.28,521.25,-1088.72,2249.18,-10.55,0.2545589905983911,0.09,0.24,3.57,0.0,0.0,192.08317838257895,0.0,317.9989825136886,0.0,223.69274746943427,249.93,72.27,4754.62,1.49,1.48,6,2012,0.0,4238.929971988796,15132.98
2012-09-30,4550.189999999999,107.69000000000051,0.024236250768503075,0.0,433.49,258.39999999999964,278.2399999999998,4.28,4291.78,134.66000000000003,1433.21,544.71,55.74,6192.6,1656.48,30814.75,497.15,68.41,4292.54,1109.26,5401.8,485.0,17889.89,187.0,-1555.2900000000002,-22.38000000000011,19.84,44.22610618441803,0.12,0.3,3.43,0.0,0.0,1.3979299860176817,0.0,2.407797321246387,0.0,1.6438254748643015,145.41,59.79,4618.45,1.44,1.43,9,2012,0.0,4443.344023323615,15240.67
2012-12-31,5757.060000000001,407.89999999999964,0.08966800161292685,0.0,1096.9899999999998,967.9200000000001,1017.2299999999996,4.84,4789.15,832.46,3852.84,589.55,58.35,7127.79,2923.55,33024.03,498.71,137.14,4962.45,1894.96,6857.41,485.0,18310.5,1672.3200000000002,789.8900000000003,-57.289999999999964,49.31,13.523218742338818,0.13,0.37,3.44,0.0,0.0,4.941123949344888,9.69874129073774,8.910496997489219,17.81369543670762,6.091168202589752,97.18,50.08,941.08,1.44,1.42,12,2012,0.0,4549.002906976744,15648.57
2013-03-31,6124.81,397.28,0.07999999999999999,0.0,1288.17,948.07,1018.16,7.2,5176.74,852.22,3332.64,749.48,75.41,8435.38,4318.48,37131.64,461.2,199.4,5763.55,5902.47,11666.01,485.0,18678.16,1326.95,-1752.27,-78.08,70.09,22.5,0.19,0.62,0.08,0.0,0.0,4.28,0.0,8.52,0.0,12.08,6.59,6.49,37.95,1.46,1.45,3,2013,0.0,4966.0,397.28
2013-06-30,5634.4800000000005,264.63,0.05597165777824781,0.0,727.48,673.0600000000001,766.12,5.4,4961.42,398.3699999999999,2643.34,818.74,79.29,8810.63,5506.98,38738.15,334.0,277.05,5908.97,6862.48,12771.45,485.0,18958.03,492.45000000000005,-1245.85,-97.02,93.06,24.118456618675133,0.14,0.67,0.14,0.0,0.0,2.7346152800229637,7.6121454578417005,5.581173875602424,5.773076702270701,7.899999697844119,5.81,5.63,26.09,1.49,1.48,6,2013,0.0,4727.928571428571,661.91
2013-09-30,5777.02,158.35000000000002,0.03281825274912833,0.0,680.52,439.75999999999976,542.97,5.4,5337.26,257.7900000000002,2618.91,1026.68,81.09,9618.97,6792.87,40843.12,523.96,339.15,6790.8,7795.79,14586.59,485.0,19116.38,989.8199999999997,-791.6800000000003,-125.4,103.21000000000001,41.12955099463214,0.14,0.76,0.17,0.0,0.0,1.5521103064881867,4.44011654841148,3.31271304220613,3.4208202277326705,4.671774803111209,4.83,4.68,18.37,1.42,1.4,9,2013,0.0,4825.058823529412,820.26
2013-12-31,6877.529999999999,222.5,0.04694272891173424,0.0,860.52,668.9300000000003,808.8899999999999,3.66,6208.6,292.6399999999999,1958.64,810.75,90.21,7816.85,10956.02,44935.28,659.78,615.07,7271.57,10988.43,18260.0,485.0,19345.89,883.2200000000003,-1447.9499999999998,-135.72000000000003,139.95999999999998,19.496097078651683,0.09,0.94,0.22,0.0,0.0,1.9801296559131536,5.974529134220722,4.6003874333499555,4.728413057654686,6.187905174728606,4.44,4.27,16.37,1.07,1.06,12,2013,0.0,4739.818181818182,1042.76
2014-03-31,6616.93,138.97,0.030000000000000002,0.0,594.21,363.32,537.31,3.96,6253.6,206.26,1654.91,1180.99,92.11,7345.99,12209.83,45680.13,692.55,672.44,6888.37,11869.54,18757.91,485.0,19484.86,-506.02,401.61,-194.72,173.99,33.0,0.1,0.96,0.03,0.0,0.0,1.2,3.52,2.84,2.9200000000000004,3.76,2.15,2.1,6.09,1.07,1.05,3,2014,0.0,4632.333333333333,138.97
2014-06-30,5710.889999999999,-176.32999999999998,-0.0471975374732334,0.0,-122.61000000000001,-357.51,-173.59999999999997,4.12,6068.41,-607.46,2198.15,1115.12,92.33,6726.53,12027.45,44703.6,612.96,695.33,6490.23,11612.52,18102.75,485.0,19308.53,-395.11,1174.13,-227.10999999999999,183.90999999999997,-21.823172460727047,0.1,0.94,-0.01,0.0,0.0,-1.5103211991434689,0.1887901498929336,-3.5870128479657386,-3.7758029978586722,0.3775802997858672,-0.31,-0.3,0.05,1.04,1.02,6,2014,0.0,3736.0,-37.36
