,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,expense,operating_profit,cash,account_receivable,inventory,current_asset,property_plant_equipment,total_asset,short_term_loan,account_payable,current_portion_long_term_debt,current_liability,non_current_liability,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,ROCE%,NPM%,NPMA%,CurrentRatio,QuickRatio,month,year,dividend,number_of_shares,return_old
2015-03-31,520.92,29.52,0.07,0.0,107.53,48.14,58.88,,472.78,55.54,43.92,458.36,499.45,1230.03,549.48,1928.48,575.06,456.12,60.33,1215.6,168.14,1383.74,400.0,541.17,-154.64,-45.84,190.58,10.74,0.0,0.0,2.56,0.07,0.0,0.0,6.12,0.0,21.8,0.0,27.0,5.74,5.67,1.01,0.6,3,2015,0.0,421.71428571428567,29.52
2015-06-30,603.57,41.84,0.10553811659192826,0.0,130.37,66.35,78.02000000000001,,537.23,73.56,33.67,539.05,545.15,1390.41,550.42,2103.21,820.95,462.59,60.29,1363.45,150.02,1513.47,400.0,583.01,-109.85000000000002,-22.67,122.28,11.67,0.0,0.0,2.6,0.18,0.0,0.0,7.95053811659193,0.0,28.706367713004486,0.0,36.30511210762332,6.39,6.35,1.02,0.62,6,2015,0.0,396.44444444444446,71.36
2015-09-30,772.6199999999999,69.44000000000001,0.16275000000000003,0.0,155.72,84.7,95.84,4.64,687.9200000000001,60.349999999999994,69.62,567.37,524.06,1451.16,562.87,2164.76,237.88,523.23,86.76,859.41,114.21,973.62,550.0,1189.15,111.05000000000001,-13.549999999999997,-61.55000000000001,11.139999999999997,7.127188940092165,2.15,0.82,0.33,0.0,0.0,12.822727272727272,0.0,23.35709090909091,0.0,30.103818181818184,7.46,7.42,1.69,1.08,9,2015,0.0,426.6666666666667,140.8
2015-12-31,666.0600000000002,65.94999999999999,0.14354292623941955,0.0,176.17999999999995,81.00999999999999,91.95999999999998,5.6,585.0399999999997,77.18,53.34,566.13,642.96,1501.36,604.04,2257.77,251.42,587.72,32.43,895.12,106.56,1001.68,550.0,1256.52,90.15,-58.31999999999999,-48.120000000000005,10.950000000000003,9.749696739954512,2.45,0.8,0.45,0.0,0.0,11.687584038694073,0.0,20.98916565900846,0.0,26.233267230955253,8.11,8.07,1.68,0.96,12,2015,0.0,459.44444444444446,206.75
2016-03-31,627.97,63.42,0.12000000000000001,0.0,159.04,79.97,90.82,5.85,548.0,74.82,141.74,507.24,623.52,1497.41,629.24,2289.14,130.04,672.54,5.53,872.24,102.75,974.99,550.0,1316.86,251.45,-32.78,-130.27,10.85,12.1875,2.44,0.74,0.12,0.0,0.0,11.08,15.16,19.28,27.32,22.56,10.18,10.1,1.72,1.0,3,2016,0.0,528.5,63.42
2016-06-30,693.76,61.480000000000004,0.11321377101681344,0.2,170.79999999999998,76.6,87.37,5.45,617.1500000000001,74.33000000000001,75.93,581.92,535.09,1392.91,651.27,2206.8,269.17,523.17,5.6,853.13,89.3,942.43,550.0,1268.34,-57.629999999999995,-23.33,15.150000000000006,10.770000000000001,12.036963240078073,2.36,0.74,0.23,0.2,0.87,11.14417293835068,14.314158526821457,19.394011208967175,26.560935148118496,22.780579663730986,9.5,9.45,1.63,1.01,6,2016,108.60869565217394,543.0434782608696,124.9
2016-09-30,710.79,75.88,0.13983265265464687,-0.00014551943074187233,174.63000000000005,94.97,106.12,7.15,615.8299999999999,91.16999999999999,144.13,554.34,520.45,1403.68,651.24,2201.92,143.02,593.75,31.5,783.38,82.46,865.84,550.0,1344.21,202.20999999999998,-0.1600000000000037,-133.85,11.150000000000002,12.780276752767529,2.93,0.64,0.37,0.2,0.54,13.78674369957167,17.41483414682737,22.584863034166748,23.960513995417866,26.8025181791015,9.93,9.88,1.79,1.13,9,2016,-0.07896592244419764,542.6486486486486,200.78
2016-12-31,781.69,87.45000000000002,0.15776983658883534,0.00419991166964071,199.23000000000002,105.66,117.75,7.6,676.0300000000002,102.30000000000001,77.8,639.63,598.16,1455.47,668.02,2253.48,189.82,501.83,30.74,756.66,76.01,832.67,550.0,1431.67,-89.69,-16.729999999999997,40.09,12.089999999999996,12.046662664379642,2.92,0.58,0.52,0.2,0.38,15.522124692086182,19.22364778128578,24.430052388717346,26.019886895881765,28.956833084689315,10.3,10.24,1.92,1.13,12,2016,2.3279625779625803,554.2884615384615,288.23
2017-03-31,628.03,55.45,0.1,0.0,147.01,70.82,83.61,8.15,557.21,67.58,76.13,584.59,586.86,1331.62,690.62,2120.33,94.2,435.2,28.64,600.7,43.16,643.85,550.0,1485.67,137.04,-5.48,-133.23,12.79,20.375,3.02,0.43,0.1,0.0,0.0,10.48,12.84,14.92,15.84,18.64,8.87,8.83,2.22,1.24,3,2017,0.0,554.5,55.45
2017-06-30,714.28,68.58,0.12717407078932516,0.32,165.72000000000003,85.32,98.3,7.3,628.96,83.39,42.66,757.27,601.31,1461.4,681.6,2250.25,319.32,497.0,12.2,850.66,30.88,881.55,550.0,1378.25,-52.3,-3.5599999999999987,22.389999999999986,12.98,14.35080271216098,2.91,0.64,0.23,0.32,1.39,12.186593566072723,15.504178021446423,19.9055067322422,20.723844231234377,24.682828347980326,9.28,9.24,1.72,1.01,6,2017,172.56347826086957,539.2608695652174,124.03
2017-09-30,749.96,68.28999999999999,0.12427984608985024,0.005954568472835105,176.16999999999996,86.10000000000002,97.46000000000001,6.95,663.8599999999999,84.97,99.43,694.35,611.97,1466.01,672.05,2240.53,34.98,714.23,11.52,773.58,29.8,803.37,550.0,1446.55,347.18,-2.5600000000000005,-287.84000000000003,11.360000000000003,13.98255674330063,2.64,0.56,0.35,0.32,0.91,12.186526622296173,15.495921381031614,18.89053660565724,19.572300332778703,23.449831530782028,9.22,9.19,1.9,1.1,9,2017,3.271950310558992,549.4857142857143,192.32
