,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,allowance_doubtful_accounts,expense,operating_profit,cash,account_receivable,inventory,current_asset,property_plant_equipment,total_asset,short_term_loan,account_payable,current_portion_long_term_debt,current_liability,non_current_liability,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,ROCE%,NPM%,NPMA%,TIE,CurrentRatio,QuickRatio,month,year,dividend,number_of_shares,return_old
2000-03-31,57.11,-56.48,-3.3200000000000003,0.0,-32.27,-47.45,-38.63,0.64,0.0,104.56,-51.49,85.6,59.77,39.79,447.42,351.42,806.48,386.63,15.7,25.67,453.76,76.93,530.68,170.0,275.79,4.85,-7.01,-78.96,8.82,-0.0475,0.4,1.92,-3.32,0.0,0.0,-28.0,0.0,-81.92,0.0,-53.8,-109.27,-98.9,0.0,0.99,0.9,3,2000,0.0,17.012048192771083,-56.48
2000-06-30,59.870000000000005,-37.440000000000005,-2.2004770017035775,0.0,-11.199999999999996,-29.230000000000004,-20.549999999999997,0.56,0.0,89.1,-28.589999999999996,29.83,55.29,25.69,416.08,343.67,767.38,399.62,10.33,80.54,517.06,12.54,529.6,170.0,237.78,-22.71,-25.840000000000003,-7.220000000000013,8.68,-0.06271367521367521,0.4,2.23,-5.52,0.0,0.0,-19.51727427597956,0.0,-62.98466780238502,0.0,-48.841022146507676,-83.71,-80.29,0.0,0.8,0.76,6,2000,0.0,17.01449275362319,-93.92
2000-09-30,54.730000000000004,-26.789999999999992,-1.5757518018391181,0.0,-7.600000000000001,-18.439999999999998,-10.589999999999996,0.5,0.0,73.16999999999999,-23.510000000000005,33.95,75.26,21.41,411.16,337.92,756.57,413.31,12.57,29.88,482.58,62.34,544.92,170.0,211.65,-30.53,25.11,9.530000000000001,7.850000000000001,-0.07885125046659204,0.4,2.57,-7.1,0.0,0.0,-14.159572529202215,0.0,-50.62823958247037,0.0,-30.822592991467147,-74.58,-70.3,0.0,0.85,0.81,9,2000,0.0,17.001408450704226,-120.71
2000-12-31,56.25999999999999,-53.15000000000002,-3.1273697227654447,0.0,-14.309999999999995,-45.31,-37.040000000000006,0.4,0.0,101.57,-48.329999999999984,34.06,317.88,24.21,411.17,331.04,747.11,429.67,30.93,0.0,509.98,65.89,575.87,170.0,171.24,-5.409999999999997,8.47,-2.9399999999999977,8.269999999999996,-0.032711194731890866,0.4,3.36,-10.23,0.0,0.0,-28.45509030254228,0.0,-124.15321523064537,0.0,-72.41557575060395,-80.83,-76.26,0.0,0.81,0.76,12,2000,0.0,16.995112414467254,-173.86
2001-03-31,56.45,-1.21,-0.07,0.0,19.83,5.68,13.38,0.41,0.0,50.77,4.76,20.23,321.9,31.98,400.34,323.71,729.25,425.67,18.25,5.49,499.08,60.4,559.47,170.0,169.77,-20.27,10.31,-3.88,7.7,-1.4825,0.42,3.3,-0.07,0.0,0.0,-0.68,2.9599999999999995,-2.8399999999999994,-2.16,9.88,-2.23,-2.14,0.0,0.8,0.74,3,2001,0.0,17.285714285714285,-1.21
2001-06-30,39.599999999999994,-11.059999999999999,-0.6489975550122248,0.0,7.600000000000001,-5.34,1.6899999999999995,0.62,0.0,44.93999999999999,-5.89,26.66,290.85,31.07,378.73,317.24,701.2,419.24,11.1,10.98,487.44,54.91,542.35,170.0,158.85,13.32,-0.3100000000000005,-6.569999999999999,7.03,-0.235748191681736,0.66,3.41,-0.72,0.0,0.0,-6.309698451507742,0.18027709861450694,-27.834784026079866,-22.318304808475958,0.5768867155664221,-13.16,-12.77,0.0,0.78,0.71,6,2001,0.0,17.041666666666668,-12.27
2001-09-30,128.94,0.7999999999999989,0.046730601569311185,0.0,10.75,7.390000000000001,14.39,0.54,0.0,121.54,-76.61,14.92,177.02,33.81,305.73,313.64,625.26,357.49,9.44,16.9,414.78,50.76,465.53,170.0,159.73,116.88000000000001,-46.79,-61.83,7.0,2.9033437500000043,0.58,2.91,-0.67,0.0,0.0,0.510549258936355,-0.31246730601569267,2.0031386224934584,1.7241499564080185,-1.0238884045335643,-8.3,-5.1,0.0,0.74,0.66,9,2001,0.0,17.119402985074625,-11.47
2001-12-31,63.06999999999999,-3.5599999999999987,-0.20843646041250827,0.0,19.509999999999998,0.9000000000000004,8.11,0.6,0.0,62.18000000000001,-1.3000000000000114,33.83,57.71,32.58,194.93,315.31,516.27,285.46,7.67,22.39,328.78,23.26,352.05,170.0,164.22,127.62,-34.9,-93.82,7.210000000000001,-0.7177247191011238,0.62,2.14,-0.88,0.0,0.0,-2.757045908183632,1.297990685296074,-8.669061876247504,-8.48904856952761,4.358216899534263,-7.55,-5.22,0.0,0.59,0.49,12,2001,0.0,17.079545454545453,-15.03
2002-03-31,67.19,7.07,0.42,0.0,24.51,10.36,16.42,0.72,0.0,56.84,11.24,19.53,52.09,34.8,191.38,309.69,508.16,275.09,8.54,22.4,318.52,17.66,336.18,170.0,171.99,21.03,-19.46,-15.88,6.06,0.425,0.71,1.95,0.42,0.0,0.0,5.56,6.68,16.44,16.56,21.84,10.64,10.52,0.0,0.6,0.49,3,2002,0.0,16.833333333333336,7.07
2002-06-30,45.11,-4.57,-0.2742,0.0,9.260000000000002,-1.5399999999999991,4.52,0.83,0.0,46.64,-4.220000000000001,18.52,38.4,33.91,172.19,304.59,484.17,259.86,7.3,5.58,282.02,34.38,316.4,170.0,167.77,11.310000000000002,3.0700000000000003,-15.37,6.06,-0.7562910284463895,0.84,1.89,0.15,0.0,0.0,-3.8022400000000007,-10.89488,-10.89488,-11.18736,-31.880320000000005,2.31,2.23,0.0,0.61,0.49,6,2002,0.0,16.666666666666668,2.5
2002-09-30,66.11999999999999,8.3,0.06916666666666667,0.0,21.869999999999997,11.32,17.419999999999998,1.14,0.0,54.8,9.2,18.46,44.16,33.44,160.25,299.65,467.74,226.87,12.27,8.16,260.57,31.69,292.26,119.0,175.48,6.789999999999999,26.34,-33.209999999999994,6.1,4.121566265060241,0.77,1.67,0.09,0.0,0.0,7.101111111111111,11.343333333333332,18.905555555555555,19.79703703703704,29.880000000000003,6.26,6.05,0.0,0.61,0.49,9,2002,0.0,120.00000000000001,10.8
2002-12-31,152.04,63.370000000000005,0.5297209114197114,0.0,18.769999999999996,66.94,72.79,1.48,0.0,85.1,-5.1899999999999995,19.92,82.6,33.4,193.59,222.96,433.33,188.97,25.69,0.46,243.19,0.76,243.96,119.0,189.38,-16.87,95.81,-76.47000000000001,5.850000000000001,0.6993305191731103,0.93,1.29,0.62,0.0,0.0,58.50852905487394,62.67794526088716,133.83142510448968,143.3664015100445,156.52398543885667,29.38,22.44,0.0,0.8,0.66,12,2002,0.0,119.62903225806453,74.17
2003-03-31,109.3,1.26,0.0,,17.2,3.82,9.22,2.1,0.0,105.48,3.92,22.58,63.84,35.34,235.53,221.62,475.05,2.33,84.91,1.17,100.58,184.29,284.87,119.0,190.18,49.72,-42.43,-4.63,5.4,0.0,1.31,1.5,0.0,0.0,0.0,1.08,3.12,2.64,2.7999999999999994,4.08,1.17,1.15,0.0,2.34,1.99,3,2003,,inf,1.26
2003-06-30,115.05,14.799999999999999,0.11058530510585306,,20.94,17.16,22.29,1.86,0.0,97.89,7.42,13.67,141.68,53.12,272.14,218.24,563.81,6.96,129.47,15.61,177.66,181.49,359.14,157.0,204.67,-18.02,54.629999999999995,-45.529999999999994,5.129999999999999,4.204898648648649,1.43,1.75,0.12,0.26,2.13,10.50560398505604,14.744707347447074,28.936488169364882,31.774844333748444,20.0159402241594,7.53,7.16,0.0,1.53,1.23,6,2003,,133.83333333333331,16.06
2003-09-30,113.14000000000001,-3.0799999999999983,-0.021355932203389816,0.01872881355932208,9.25,-0.5,4.550000000000001,3.26,0.0,113.63999999999999,-4.31,28.88,130.75,62.05,252.0,219.56,527.03,10.01,34.88,18.5,128.31,183.99,312.3,170.23,214.73,-80.49,-32.58,128.28,5.050000000000001,-38.160357142857166,2.58,1.45,0.09,0.26,2.83,-2.334915254237287,-3.9105084745762686,-5.7328813559322,-6.311864406779657,-4.878644067796607,4.02,3.85,0.0,1.96,1.48,9,2003,2.7011111111111177,144.22222222222223,12.98
