,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,expense,operating_profit,cash,account_receivable,current_asset,property_plant_equipment,total_asset,account_payable,current_portion_long_term_debt,current_liability,non_current_liability,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,ROCE%,NPM%,NPMA%,CurrentRatio,QuickRatio,month,year,dividend,number_of_shares,return_old
2013-03-31,99.04,8.41,0.02,0.0,40.4,12.03,15.06,,87.01,11.08,149.91,143.23,319.31,60.85,426.15,249.33,1.95,271.34,24.5,295.84,110.0,130.31,54.88,7.18,-4.16,3.03,0.0,0.0,2.27,0.02,0.0,0.0,7.88,0.0,25.8,0.0,31.08,8.57,8.49,1.18,1.18,3,2013,0.0,420.5,8.41
2013-06-30,99.36999999999999,8.84,0.02049855072463768,0.0,37.12,11.200000000000001,14.479999999999999,,88.17,9.69,150.94,123.02,300.37,82.34,428.47,256.97,1.84,265.76,23.56,289.31,110.0,139.15,38.60999999999999,-25.0,-12.579999999999998,3.28,0.0,0.0,2.08,0.04,0.0,0.0,8.260915942028987,0.0,25.418202898550724,0.0,29.271930434782607,8.8,8.69,1.13,1.13,6,2013,0.0,431.25,17.25
2013-09-30,126.23999999999998,17.57,0.04036760482481332,0.03,47.78,23.110000000000003,26.259999999999998,2.22,103.13,20.98,385.85,113.85,526.84,119.99,691.56,291.1,1.88,315.9,23.93,339.83,137.5,351.73,64.79,-40.93,211.06,3.1500000000000012,13.74864826408651,0.87,0.97,0.08,0.03,0.38,10.152452613440552,0.0,19.981964388282595,0.0,24.906812176909824,10.88,10.73,1.67,1.67,9,2013,13.0575,435.25,34.82
2013-12-31,150.12,34.74999999999999,0.07492453643811987,0.001846701164294952,63.33999999999999,41.72,45.480000000000004,2.36,108.39999999999998,38.8,399.01,91.54,515.6,133.29,695.2,270.84,1.91,286.75,19.53,306.27,137.5,388.92,53.46000000000001,-23.17,-17.139999999999986,3.76,7.872921582733815,0.83,0.79,0.15,0.03,0.2,19.99985625988213,0.0,35.74399885007905,0.0,43.07661348282305,14.89,14.65,1.8,1.8,12,2013,0.8564999999999987,463.79999999999995,69.57
2014-03-31,165.56,46.45,0.08,0.0,81.72,58.08,62.93,3.18,107.48,54.82,462.19,114.43,629.63,137.99,817.61,328.87,1.96,357.09,25.15,382.24,137.5,435.38,106.4,-42.75,-0.47,4.85,9.9375,1.0,0.88,0.08,0.0,0.0,22.72,37.36,42.68,65.68,50.440000000000005,28.62,28.06,1.76,1.76,3,2014,0.0,580.625,46.45
2014-06-30,165.06,42.44,0.07639104511193609,0.09,78.19999999999999,54.870000000000005,59.88999999999999,6.5,110.18999999999998,50.77,326.47,125.14,598.47,146.5,797.77,313.17,2.0,342.01,27.45,369.46,137.5,428.31,18.709999999999994,-104.44999999999999,-49.97,5.02,21.274744934024508,2.09,0.86,0.16,0.09,0.56,21.274906063674205,35.178076274046575,39.627854651816854,59.833286083923944,47.32425244684441,27.5,26.89,1.75,1.75,6,2014,50.000625,555.5625,88.89
2014-09-30,191.17999999999995,54.11999999999999,0.09839311936228236,0.14909612964128377,97.30000000000004,67.8,73.4,17.8,123.38000000000002,66.22999999999999,350.02,120.86,548.07,157.98,765.37,309.0,2.04,336.2,29.24,365.43,137.5,399.93,53.67,52.849999999999994,-82.97999999999999,5.600000000000001,45.225723392461205,6.12,0.91,0.26,0.24,0.92,28.29180616740088,37.55589679043423,54.1313530522341,57.5978183343822,63.75874134675895,27.88,27.41,1.63,1.63,9,2014,82.00860576923073,550.0384615384614,143.01
2014-12-31,199.68000000000006,59.43000000000001,0.10862033195020748,-0.001273539738269979,104.26999999999998,73.50999999999999,79.88000000000002,13.0,126.17000000000002,70.82,386.19,58.11,480.84,166.35,712.93,192.36,2.08,222.99,30.59,253.57,137.5,459.36,24.77000000000001,11.899999999999991,-0.5,6.369999999999999,29.924876325088338,3.89,0.55,0.37,0.24,0.65,33.349377593361,42.40302904564316,51.75024896265561,56.048091286307056,60.9448132780083,28.52,28.06,2.16,2.16,12,2014,-0.6967983367983095,547.1351351351351,202.44
2015-03-31,197.82,61.35,0.11,0.19,105.27,76.13,82.6,17.2,121.69,73.9,490.89,140.73,667.81,186.75,924.72,434.63,0.0,478.26,30.25,508.51,137.5,416.21,144.46,-34.96,-4.8,6.47,39.09,5.68,1.22,0.11,0.19,1.73,26.52,34.96,58.96,57.64,68.2,31.37,31.01,1.4,1.4,3,2015,105.96818181818182,557.7272727272727,61.35
2015-06-30,162.04000000000002,34.74,0.06146113019044646,0.002523770328952988,73.99,45.64,52.59,16.8,116.4,42.22999999999999,388.0,119.67,523.94,208.75,809.62,298.29,0.0,325.5,33.17,358.67,137.5,450.95,13.519999999999982,-11.909999999999997,-104.5,6.95,68.33343264248704,5.12,0.8,0.17,0.19,1.12,17.16573212613175,21.909085232594443,30.817333749609737,31.612713081486106,36.37052763034655,27.13,26.7,1.61,1.61,6,2015,1.426524064171133,565.2352941176471,96.09
