,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,expense,operating_profit,cash,account_receivable,inventory,current_asset,property_plant_equipment,total_asset,short_term_loan,account_payable,current_portion_long_term_debt,current_liability,non_current_liability,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,ROCE%,NPM%,NPMA%,TIE,CurrentRatio,QuickRatio,month,year,dividend,number_of_shares,return_old
2004-09-30,,,,,,,,,,,202.24,393.6,811.17,1539.94,87.52,1685.07,1156.96,30.93,2.77,1251.08,15.57,1266.65,150.0,418.42,,,,,,0.0,3.03,0.78,0.0,0.0,,,,,,1.35,1.33,0.0,1.23,0.58,9,2004,,119.07692307692307,92.88
2004-12-31,2183.6000000000004,36.890000000000015,0.27574400863065435,0.25,255.56000000000006,57.82000000000002,65.45999999999998,1.5,2125.7699999999995,122.28,171.6,441.21,855.06,1568.21,90.91,1716.94,761.7,0.71,2.77,840.52,14.99,855.51,230.0,861.43,-36.56,-11.55,17.460000000000008,7.640000000000001,1.3543358633776088,4.0,0.99,0.97,0.25,0.26,8.59639053710411,0.0,17.124555752485172,0.0,28.77971488017262,1.42,1.42,0.0,1.87,0.85,12,2004,33.4458762886598,133.7835051546392,129.77
2005-03-31,2022.91,48.35,0.21,0.0,162.25,70.77,78.74,1.98,1952.14,43.11,171.65,446.54,1051.53,1792.03,93.56,1943.41,926.38,27.21,9.9,1033.63,0.0,1033.63,230.0,909.78,-136.71,-10.1,146.86,7.97,2.36,5.01,1.14,0.21,0.0,0.0,9.96,0.0,21.24,0.0,31.12,2.42,2.39,0.0,1.73,0.72,3,2005,0.0,230.23809523809524,48.35
2005-06-30,2309.2,34.77,0.15059191530317612,0.15,139.94,55.46000000000001,63.94000000000001,3.57,2253.74,10.399999999999999,271.09,394.38,684.66,1500.74,96.74,1656.22,597.0,89.97,0.0,746.16,0.0,746.16,230.0,910.05,478.65999999999997,-10.700000000000001,-368.52,8.48,5.916652286453839,9.01,0.82,0.36,0.15,0.42,8.399682386910492,0.0,15.276713185755536,0.0,23.20788739172281,1.95,1.92,0.0,2.01,1.09,6,2005,34.63333333333333,230.8888888888889,83.12
2005-09-30,2655.13,18.47999999999999,0.08003149606299208,0.15001312335958003,100.64999999999998,33.82000000000001,42.94999999999999,2.01,2621.3099999999995,-18.04,32.09,361.91,912.3,1617.54,104.68,1781.14,714.05,119.37,0.0,887.1,0.0,887.1,230.0,894.03,-309.24,-14.819999999999997,85.06,9.129999999999999,6.28127705627706,5.17,0.99,0.44,0.3,0.68,4.147086614173227,6.715370078740155,8.265070866141727,11.262614173228341,13.023307086614166,1.48,1.45,0.0,1.82,0.79,9,2005,34.63939393939393,230.9090909090909,101.6
2005-12-31,2913.2700000000004,13.180000000000007,0.05741418365568917,-0.0017630565983937588,77.92000000000002,26.669999999999987,36.06999999999999,2.8,2886.6000000000013,-15.279999999999998,71.2,468.0,1281.73,1973.33,93.91,2135.87,1110.14,67.6,0.0,1228.66,0.0,1228.66,230.0,907.21,-316.53,-9.82,365.47,9.399999999999999,12.170337632776928,7.09,1.35,0.5,0.3,0.6,2.4665133298484068,4.450747516989025,5.810315385955744,5.961888830806764,9.452671197072664,1.18,1.16,0.0,1.61,0.56,12,2005,-0.40472727272727127,229.56,114.78
2006-03-31,2720.2,0.63,0.0,,119.81,29.36,38.66,2.24,2690.84,6.84,421.4,486.57,1475.1,2681.33,92.23,2849.15,1863.37,17.22,0.0,1941.32,0.0,1941.32,230.0,907.84,-374.35,-14.28,742.94,9.3,0.0,5.67,2.14,0.0,0.0,0.0,0.08,4.92,0.28,0.28,12.919999999999998,0.02,0.02,0.0,1.38,0.62,3,2006,,inf,0.63
2006-06-30,1769.2799999999997,-293.11,-1.2727355716630198,,-125.01,-279.88,-270.37,1.41,2049.17,-293.69,20.36,423.71,576.76,1363.68,80.71,1514.3,876.66,42.77,0.0,955.22,0.0,955.22,230.0,557.23,670.05,4.01,-1079.2,9.509999999999998,-0.2769035515676709,5.82,1.71,-1.27,0.25,-0.2,-77.40637445295404,-63.33613238512035,-210.4122524617068,-159.82351887308533,-179.6260817833698,-6.57,-6.51,0.0,1.43,0.82,6,2006,,230.2992125984252,-292.48
2006-09-30,1265.2300000000005,-88.04999999999995,-0.38178987202060266,0.00035233701192967566,17.62,-77.67999999999998,-68.72,1.07,1342.8999999999996,-83.40999999999997,24.42,373.32,635.52,1151.72,73.46,1293.79,627.88,172.33,0.0,823.1,0.0,823.1,230.0,469.18,263.75000000000006,0.4900000000000002,-260.19000000000005,8.96,-0.7022842135150485,5.23,1.75,-1.65,0.25,-0.15,-27.220460936062846,-19.760518224581496,-75.07145822931172,-51.67352376947939,-64.53868551756757,-6.66,-6.61,0.0,1.4,0.63,9,2006,0.08125745645430271,230.62424242424242,-380.53
2006-12-31,1362.3500000000004,-75.70000000000005,-0.32853166166188125,-0.0002224755057755989,50.58,-60.53000000000003,-51.80000000000001,0.71,1422.87,-73.60000000000002,48.3,439.26,538.34,1130.18,73.4,1272.15,840.77,6.95,0.0,877.26,0.0,877.26,230.0,393.48,-164.95000000000005,-14.709999999999999,203.55000000000007,8.73,-0.5424134742404224,4.13,2.23,-1.98,0.25,-0.13,-23.800293711505176,-15.139004449510123,-76.95605286807098,-46.55857791026459,-65.33466014948604,-6.46,-6.41,0.0,1.29,0.67,12,2006,-0.05126262626262701,230.41919191919192,-456.23
2007-03-31,905.81,-66.94,-0.25,0.0,30.54,-57.34,-49.02,1.06,963.14,-64.04,34.81,234.96,421.26,998.24,71.11,1137.36,474.29,87.43,0.0,586.62,0.0,586.62,315.0,549.55,174.27,-31.24,-156.51,8.32,-1.055,6.05,1.07,-0.25,0.0,0.0,-23.56,-11.52,-48.72,-36.76,-41.64,-7.46,-7.39,0.0,1.7,0.98,3,2007,0.0,267.76,-66.94
2007-06-30,962.79,77.83,0.28587695133149676,0.0,36.419999999999995,85.21000000000001,93.47,1.33,877.59,-41.129999999999995,92.48,256.39,388.9,1104.0,70.25,1242.29,578.18,13.2,0.0,614.92,0.0,614.92,315.0,627.37,-102.24000000000001,65.42999999999999,94.48999999999998,8.259999999999998,1.16728542978286,6.7,0.98,0.04,0.0,0.0,25.157171717171714,57.74714416896235,49.742589531680444,52.601359044995405,126.92936639118457,0.63,0.58,0.0,1.8,1.16,6,2007,0.0,272.25,10.89
2007-09-30,1192.9100000000003,-117.15,-0.3858695652173913,0.0,-11.859999999999992,-109.0,-101.02000000000001,1.55,1301.9,-111.21999999999998,284.32,233.1,279.66,1050.89,64.05,1182.3,563.01,67.36,0.0,672.07,0.0,672.07,315.0,510.23,240.42999999999998,-40.48,-8.119999999999997,7.98,-1.0068169014084507,9.6,1.32,-0.35,0.0,0.0,-39.64534161490683,-28.88509316770186,-91.85900621118012,-95.69565217391305,-70.11801242236024,-3.63,-3.47,0.0,1.56,1.15,9,2007,0.0,303.6,-106.26
2007-12-31,1392.58,460.33,1.5211288728217582,0.0,24.82,468.21,475.54,4.32,924.3800000000001,-113.5,86.05,208.22,464.88,1613.83,59.53,1738.75,575.01,149.97,0.0,768.19,0.0,768.19,315.0,970.56,-69.39999999999998,-129.52,0.6599999999999966,7.330000000000002,0.7095552647014098,14.02,0.79,1.17,0.0,0.0,105.88097042957607,133.70332759058942,189.7120727539752,269.9548710706922,207.39357076284352,9.48,7.95,0.0,2.1,1.5,12,2007,0.0,302.62393162393164,354.07
