,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,allowance_doubtful_accounts,expense,operating_profit,cash,account_receivable,current_asset,property_plant_equipment,total_asset,short_term_loan,account_payable,current_portion_long_term_debt,current_liability,non_current_liability,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,ROCE%,NPM%,NPMA%,TIE,CurrentRatio,QuickRatio,month,year,dividend,number_of_shares,return_old
2003-06-30,,,,,,,,,0.0,,,3.58,59.33,100.22,367.66,582.7,44.04,6.72,23.89,89.56,10.49,100.05,250.0,482.65,,,,,,0.0,0.21,0.18,0.0,0.0,,,,,,34.41,34.29,0.0,1.12,1.12,6,2003,,182.94444444444446,32.93
2003-09-30,62.97000000000001,28.880000000000003,0.12148196084775928,0.07,35.53,30.299999999999997,41.33,6.5,0.0,32.669999999999995,30.199999999999996,233.66,76.62,312.99,607.05,1097.16,0.0,6.22,23.17,42.02,135.49,177.51,350.0,890.25,60.38,-312.81,482.52,11.030000000000001,13.376471606648199,2.56,0.2,0.26,0.07,0.27,10.522206762659764,0.0,12.970535512053067,0.0,11.77440543601359,38.98,38.88,0.0,7.45,7.45,9,2003,16.64115384615385,237.73076923076923,61.81
2003-12-31,74.03,33.39999999999999,0.12278122046003569,0.008825713200778844,40.650000000000006,34.55,45.69999999999999,6.05,0.0,39.47000000000001,31.370000000000005,312.7,86.96,414.77,994.33,1622.67,0.0,0.29,36.99,87.21,244.92,332.13,402.5,1188.47,17.959999999999994,-418.08000000000004,479.16,11.149999999999999,12.321713323353295,2.05,0.28,0.35,0.07,0.2,8.236865875433251,0.0,11.239743724398696,0.0,9.233147778594683,41.5,40.86,0.0,4.76,4.76,12,2003,2.400846153846153,272.0285714285714,95.21
2004-03-31,96.23,21.38,0.05,0.0,36.29,22.35,39.73,5.45,0.0,73.88,21.68,282.36,102.82,403.13,1849.88,2497.61,0.0,36.36,33.81,163.9,953.97,1117.86,402.5,1209.85,55.77,-883.33,797.22,17.38,27.250000000000004,1.81,0.92,0.05,0.0,0.0,3.44,0.0,7.080000000000001,0.0,3.8399999999999994,22.37,22.22,0.0,2.46,2.46,3,2004,0.0,427.59999999999997,21.38
2004-06-30,145.77999999999997,17.040000000000003,0.0399167100468506,0.0,54.29,19.299999999999997,45.910000000000004,4.44,0.0,126.49000000000001,21.410000000000004,235.52,62.38,349.0,590.67,1432.35,0.0,5.99,40.6,58.22,147.23,205.46,442.75,1226.9,4.989999999999995,-770.41,718.5799999999999,26.610000000000003,27.80602406103286,1.6,0.17,0.09,0.0,0.0,4.754523685580428,7.326933888599688,5.552857886517439,7.965601249349299,5.375450286309214,15.93,15.88,0.0,5.99,5.99,6,2004,0.0,426.8888888888889,38.42
2004-09-30,77.81,29.36,0.06930658011212747,0.0,38.7,31.809999999999995,50.760000000000005,4.02,0.0,45.99000000000001,32.47,141.91,46.68,233.08,592.74,1444.78,0.0,0.49,37.16,51.19,137.34,188.53,442.75,1256.25,68.73000000000002,-149.01,-13.329999999999927,18.949999999999996,14.503673365122616,1.42,0.15,0.16,0.0,0.0,8.126196518146946,10.01480082620242,9.356388315137208,10.95043965771614,9.131141929772793,21.32,21.19,0.0,4.55,4.55,9,2004,0.0,423.625,67.78
2004-12-31,116.97000000000003,74.72,0.13633122807017542,0.0,28.99000000000001,77.24,94.09,3.16,0.0,39.72999999999996,22.090000000000003,298.18,34.17,378.2,583.12,1728.59,0.0,1.07,34.89,60.01,130.06,190.07,593.54,1538.53,48.370000000000005,-90.09999999999991,198.01,16.85000000000001,5.792876739828694,1.22,0.12,0.26,0.0,0.0,17.2826049122807,18.855657543859646,19.42195649122807,21.917866666666665,18.939553684210523,37.13,32.62,0.0,6.3,6.3,12,2004,0.0,548.0769230769231,142.5
2005-03-31,63.6,18.37,0.03,0.0,26.98,20.74,38.84,2.7,0.0,42.85,21.25,281.27,38.83,369.71,639.8,1772.74,0.0,1.25,41.14,70.59,145.26,215.84,593.54,1556.9,33.66,-72.02,21.45,18.1,22.5,1.03,0.14,0.03,0.0,0.0,4.16,3.8799999999999994,4.72,5.32,4.88,29.23,28.88,0.0,5.24,5.24,3,2005,0.0,612.3333333333334,18.37
2005-06-30,64.4,-24.82,-0.03848062015503876,0.0,26.09,-22.38,-3.3400000000000034,1.93,0.0,86.78999999999999,20.15,54.54,38.02,96.25,625.04,1737.76,0.0,1.52,41.1,68.91,136.33,205.24,593.54,1532.52,82.88000000000001,-301.09000000000003,-8.52,19.04,-12.538779210314264,0.75,0.13,-0.01,0.0,0.0,-5.695131782945737,-1.5392248062015503,-6.464744186046512,-7.2343565891472865,-1.5392248062015503,-5.11,-5.04,0.0,1.4,1.4,6,2005,0.0,645.0,-6.45
2005-09-30,73.72,69.05,0.12133386581469648,0.0,25.690000000000005,72.95,92.3,1.88,0.0,0.7700000000000102,19.75,114.59,48.85,168.62,804.64,1799.94,0.24,1.06,41.25,73.2,125.15,198.35,593.99,1601.6,27.34999999999998,43.460000000000036,-10.76,19.35,3.873403330919624,0.7,0.12,0.11,0.0,0.0,15.354249201277954,19.41341853035144,17.2514696485623,19.325175718849838,18.222140575079873,32.68,31.03,0.0,2.3,2.3,9,2005,0.0,569.0909090909091,62.6
