,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,expense,operating_profit,cash,account_receivable,inventory,current_asset,property_plant_equipment,total_asset,short_term_loan,account_payable,current_portion_long_term_debt,current_liability,non_current_liability,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,ROCE%,NPM%,NPMA%,TIE,CurrentRatio,QuickRatio,month,year,dividend,number_of_shares,return_old
2000-03-31,858.5,86.43,6.04,0.0,102.69,97.08,114.05,3.5,761.42,89.9,156.22,133.7,572.08,998.37,533.99,1534.84,97.88,48.34,93.75,294.96,4.95,299.91,143.0,1244.86,142.34,-2.98,-138.07,16.97,0.145,0.4,0.24,6.04,0.0,0.0,22.52,0.0,27.76,0.0,31.32,10.29,10.07,0.0,3.38,1.45,3,2000,0.0,14.309602649006624,86.43
2000-06-30,1062.65,65.47,4.577296905859117,18.0,73.33000000000001,77.35000000000001,96.67999999999999,2.95,985.3000000000001,-21.930000000000007,81.15,314.03,610.25,1059.94,521.08,1583.6,386.61,55.26,31.25,537.69,4.9,542.58,143.0,1051.43,-125.80000000000001,72.87,-27.22,19.33,0.16241026424316482,0.4,0.52,10.62,18.0,1.69,16.533437788018432,0.0,24.91221856484529,0.0,28.756803159973668,8.37,7.91,0.0,1.97,0.84,6,2000,257.4576271186441,14.30320150659134,151.9
2000-09-30,1370.8199999999997,166.77,11.659822386795119,-0.0003010393303140849,205.77,177.63,196.85,3.07,1193.1899999999998,135.2,122.88,246.59,739.48,1150.36,508.93,1661.89,297.03,51.1,31.25,440.28,4.91,445.18,143.0,1217.7,183.55,-47.84,-94.07000000000002,19.220000000000006,0.06687923487437789,0.36,0.37,22.28,18.0,0.81,40.14998085794082,0.0,54.782325289484426,0.0,60.329637556092514,10.17,9.68,0.0,2.61,0.93,9,2000,-0.004305754191705091,14.302962298025134,318.67
2000-12-31,1544.8300000000004,169.82,11.875475854162826,-0.0036550549851426333,199.34999999999997,178.07999999999998,195.00000000000006,3.87,1366.75,119.75000000000003,121.69,324.56,703.49,1209.48,497.58,1709.63,186.84,49.3,0.0,315.83,4.89,320.73,143.0,1390.02,146.79,-14.010000000000002,-142.8,16.919999999999995,0.07910419856318456,0.4,0.23,34.16,18.0,0.53,39.728611844664165,0.0,48.8646629408995,0.0,52.89731867591967,10.58,10.1,0.0,3.83,1.6,12,2000,-0.05226750028373317,14.30005854800937,488.49
2001-03-31,1070.62,143.46,10.03,0.0,168.09,151.96,168.36,5.17,918.66,108.34,86.79,209.7,941.66,1298.01,486.56,1787.25,106.61,67.79,0.0,251.87,4.9,256.77,143.0,1530.48,50.61,-5.28,-80.22,16.4,0.13,0.48,0.17,10.03,0.0,0.0,32.12,36.6,37.48,41.36,39.6,13.98,13.4,0.0,5.15,1.41,3,2001,0.0,14.303090727816553,143.46
2001-06-30,965.8700000000001,135.31999999999996,4.7326565750771215,24.0,176.79,142.79,159.74,6.43,823.08,119.32999999999998,80.89,214.4,1220.54,1569.72,478.85,2051.19,606.92,64.19,0.0,716.69,4.9,721.59,143.0,1329.6,-129.12,-9.05,132.26,16.950000000000003,0.3399253621046409,0.69,0.54,9.75,24.0,2.46,26.386380658583825,31.492795752923445,40.71540856589424,45.47233517468971,42.89000358705788,14.16,13.69,0.0,2.19,0.49,6,2001,686.2276923076922,28.59282051282051,278.78
2001-09-30,923.3,125.38000000000005,4.383460510688838,0.008518180157138618,178.07000000000005,138.04000000000002,155.08999999999997,5.7,785.2700000000002,121.03999999999999,80.59,266.23,1507.63,1902.55,478.02,2383.02,816.7,66.68,0.0,927.5,5.04,932.54,143.0,1450.48,-194.13,-16.090000000000003,209.92,17.049999999999997,0.32234806189184867,0.56,0.64,14.13,24.0,1.7,21.045574030087103,26.55514647664292,34.5713262074426,37.58670031670626,36.89179928741094,14.06,13.66,0.0,2.05,0.43,9,2001,0.24364527192562946,28.602972399150744,404.16
2001-12-31,924.77,171.87999999999994,6.009414623984444,-0.0009942692408591138,272.28999999999996,182.32,199.26000000000005,7.07,742.4399999999996,188.63000000000005,64.03,196.26,1686.41,1992.24,471.43,2466.09,730.03,33.03,0.0,834.44,5.3,839.73,143.0,1626.36,100.05999999999997,-12.799999999999997,-86.82,16.940000000000005,0.29324819641610433,0.62,0.52,20.14,24.0,1.19,27.880819387542523,35.16134157350183,42.274769807652234,45.58084299701408,44.99601416568293,15.22,14.83,0.0,2.39,0.37,12,2001,-0.028437877532496714,28.60178748758689,576.04
2002-03-31,726.51,99.74,3.49,10.0,153.24,107.08,123.56,9.45,619.44,101.92,3.45,144.18,1794.89,1984.4,472.5,2519.33,694.36,51.03,0.0,786.58,5.44,792.02,143.0,1727.3,52.26,-17.17,-35.68,16.48,0.6775,0.78,0.46,3.49,10.0,2.87,15.84,19.88,23.08,24.48,24.72,13.9,13.73,0.0,2.52,0.24,3,2002,285.7879656160458,28.57879656160458,99.74
2002-06-30,536.6500000000001,11.36,0.026585058505850585,9.331189279386392,59.73999999999998,18.35000000000001,34.629999999999995,5.95,518.29,8.480000000000004,2.89,193.7,1928.36,2177.2,463.02,2702.63,1156.83,50.19,0.0,1240.71,5.47,1246.18,428.98,1456.46,-171.15,-5.869999999999997,176.48000000000002,16.279999999999998,55.94119718309859,1.75,0.86,0.26,10.0,38.46,1.680993699369937,2.1595247524752477,3.120676867686769,3.263827182718272,3.5092277227722772,8.97,8.8,0.0,1.75,0.2,6,2002,3987.288957460877,427.30769230769226,111.1
2002-09-30,671.8799999999999,41.45000000000002,0.0978171091445428,-0.08395734059450609,86.81000000000003,52.31,70.11000000000001,4.48,619.5799999999999,35.73999999999998,2.94,208.52,2100.8,2358.92,455.3,2876.68,1284.67,52.69,0.0,1374.98,5.58,1380.56,428.98,1496.11,-117.69000000000001,-10.11,127.83999999999997,17.800000000000004,11.445850422195411,1.28,0.92,0.36,10.0,27.78,5.760340871845298,7.347151753523437,11.085939036381518,11.248967551622423,12.868384136348743,8.04,7.88,0.0,1.72,0.19,9,2002,-35.57692307692196,423.75000000000006,152.55
