,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,expense,operating_profit,cash,account_receivable,inventory,current_asset,property_plant_equipment,total_asset,short_term_loan,account_payable,current_portion_long_term_debt,current_liability,non_current_liability,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,ROCE%,NPM%,NPMA%,TIE,CurrentRatio,QuickRatio,month,year,dividend,number_of_shares,return_old
2004-09-30,,,,,,,,,,,17.22,182.39,76.95,278.0,129.7,440.64,98.72,131.34,9.75,260.41,21.75,282.16,120.0,158.48,,,,,,0.0,1.78,0.3,0.0,0.0,,,,,,8.29,7.96,0.0,1.07,0.77,9,2004,,120.43333333333335,36.13
2004-12-31,155.41000000000003,9.82,0.08121001088139282,0.0,36.53,15.619999999999997,20.760000000000005,,139.79000000000002,17.560000000000002,28.71,169.7,91.33,289.74,131.44,453.78,96.7,135.22,33.77,265.69,19.78,285.48,120.0,168.3,19.369999999999997,-6.58,-3.9499999999999997,5.140000000000001,0.0,0.0,1.7,0.38,0.0,0.0,8.659551686615888,0.0,23.33719260065288,0.0,32.03093797606093,7.75,7.54,0.0,1.09,0.75,12,2004,0.0,120.92105263157896,45.95
2005-03-31,171.29,12.51,0.08,0.0,31.19,18.74,24.95,,152.55,13.92,7.1,170.28,118.73,306.59,188.9,527.94,28.0,128.25,50.31,206.56,16.82,223.38,165.0,304.56,-22.58,-48.49,52.12,6.21,0.0,0.0,0.73,0.08,0.0,0.0,9.48,0.0,16.44,0.0,23.32,7.51,7.3,0.0,1.48,0.91,3,2005,0.0,156.375,12.51
2005-06-30,220.93000000000004,13.37,0.08265842349304482,0.0,31.400000000000002,20.16,27.099999999999998,,200.76999999999998,12.28,12.11,223.52,132.92,379.8,198.21,619.15,88.94,189.63,33.11,311.69,14.28,325.97,165.0,293.17,10.429999999999998,-38.96999999999999,33.54,6.94,0.0,0.0,1.11,0.16,0.0,0.0,8.637805255023183,0.0,18.246846986089643,0.0,26.140726429675425,6.82,6.6,0.0,1.22,0.79,6,2005,0.0,161.75,25.88
2005-09-30,206.40999999999997,10.419999999999998,0.06315151515151514,0.0,28.14,16.65,23.840000000000003,,189.76000000000005,11.610000000000003,5.4,215.9,140.75,374.51,214.63,635.29,132.96,149.55,48.63,331.14,25.3,356.44,165.0,278.85,-30.340000000000003,-28.680000000000007,52.30000000000001,7.1899999999999995,0.0,0.0,1.28,0.22,0.0,0.0,6.556275482093664,11.861002754820936,14.94968595041322,19.06027548209366,20.96630303030303,6.25,6.06,0.0,1.13,0.71,9,2005,0.0,165.0,36.3
2005-12-31,209.39999999999998,-0.23999999999999488,-0.0014642262895174396,0.15,17.64,3.260000000000005,10.25,1.81,206.14,-2.5700000000000003,17.81,226.3,140.19,405.94,280.74,718.06,81.97,150.7,56.27,288.94,150.51,439.45,165.0,278.61,-6.659999999999997,-58.209999999999994,77.28999999999999,6.989999999999998,-309.1393750000066,1.07,1.58,0.22,0.15,0.68,-0.13364392678868267,-0.26728785357736534,-0.34449251247919394,-0.4296838602329359,-0.3647254575707076,4.6,4.46,0.0,1.4,0.92,12,2005,24.586363636363636,163.9090909090909,36.06
2006-03-31,240.2,3.64,0.02,0.0,23.47,6.55,13.83,1.74,233.66,-0.1,12.84,253.18,153.33,432.66,286.67,758.27,69.21,197.42,58.5,325.12,150.89,476.02,165.0,282.25,24.52,-19.59,-9.9,7.28,21.75,1.02,1.69,0.02,0.0,0.0,1.9200000000000002,4.08,5.16,4.96,6.04,1.56,1.52,0.0,1.33,0.86,3,2006,0.0,182.0,3.64
2006-06-30,304.10999999999996,8.09,0.04827791986359762,0.0,26.42,13.14,20.93,1.46,290.96000000000004,6.39,12.08,345.84,202.63,579.28,315.92,929.43,144.44,295.2,45.9,498.73,140.36,639.09,165.0,290.34,-29.59,-32.34,61.18,7.79,7.561427688504327,0.83,2.2,0.07,0.0,0.0,3.4760102301790283,7.007195225916453,11.145302642796247,11.09012787723785,12.607433930093777,2.21,2.16,0.0,1.16,0.76,6,2006,0.0,167.57142857142856,11.73
2006-09-30,270.25,10.54,0.061526717557251906,0.0,26.739999999999995,18.24,27.450000000000003,1.38,252.01,10.54,13.74,345.52,227.61,606.75,312.6,954.96,212.98,237.28,58.9,509.16,144.93,654.09,165.0,300.87,-61.86000000000001,-7.270000000000003,70.78,9.21,5.60975806451613,0.76,2.17,0.13,0.0,0.0,4.410992366412214,9.030229007633586,14.009160305343512,14.539236641221372,16.110534351145038,2.81,2.73,0.0,1.19,0.74,9,2006,0.0,171.3076923076923,22.27
2006-12-31,224.92000000000007,-7.109999999999999,-0.042209762532981525,0.11,16.02000000000001,-0.7299999999999969,8.669999999999995,1.4,225.64999999999998,-6.869999999999997,19.39,246.52,193.03,463.59,328.78,827.11,221.27,124.69,70.93,416.89,134.6,551.5,165.0,275.62,52.220000000000006,-33.28,-13.280000000000001,9.399999999999999,-8.294289732770746,0.84,2.0,0.09,0.11,1.22,-3.433060686015831,-9.0422691292876,-10.317941952506596,-10.261662269129285,-17.015224274406332,1.5,1.46,0.0,1.11,0.65,12,2006,18.52888888888889,168.44444444444446,15.16
