,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,expense,operating_profit,cash,account_receivable,inventory,current_asset,property_plant_equipment,total_asset,short_term_loan,account_payable,current_portion_long_term_debt,current_liability,non_current_liability,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,ROCE%,NPM%,NPMA%,TIE,CurrentRatio,QuickRatio,month,year,dividend,number_of_shares,return_old
2007-09-30,,,,,,,,,,,19.37,131.47,124.86,332.31,1179.3,1549.95,98.78,18.79,196.17,446.2,395.1,841.3,350.0,708.65,,,,,,0.0,1.19,0.26,0.0,0.0,,,,,,15.28,15.01,0.0,0.74,0.46,9,2007,,345.7692307692308,89.9
2007-12-31,142.61,-11.080000000000013,-0.032331895458005626,0.0,45.24000000000001,6.340000000000003,60.49000000000001,,136.26999999999998,-3.4000000000000057,14.66,85.82,122.24,277.53,1348.22,1651.59,104.65,25.28,230.23,497.29,456.73,954.02,350.0,697.57,98.32000000000002,-53.169999999999995,-49.94999999999999,54.150000000000006,-0.0,0.0,1.37,0.23,0.0,0.0,-2.682141588429336,-0.0,-6.35392032479067,-0.0,-8.310702867292575,10.93,10.63,0.0,0.56,0.31,12,2007,0.0,342.695652173913,78.82
2008-03-31,181.05,4.61,0.01,0.0,61.79,28.86,85.99,2.52,152.19,25.9,62.88,118.98,108.91,316.04,1416.83,1764.05,16.73,22.34,241.55,398.52,403.8,802.32,450.0,961.73,87.64,1.52,-40.94,57.13,63.0,1.18,0.83,0.01,0.0,0.0,1.04,0.0,1.9199999999999997,0.0,8.44,2.59,2.55,0.0,0.79,0.52,3,2008,0.0,461.0,4.61
2008-06-30,251.37,15.52,0.03854942871336314,0.1,58.79,36.18000000000001,100.73,1.98,215.19,24.990000000000002,109.5,91.88,107.21,338.69,1334.74,1712.36,9.26,23.72,238.88,390.74,389.37,780.11,450.0,932.25,208.53000000000003,-14.0,-147.91,64.55000000000001,12.840657216494845,0.96,0.84,0.05,0.1,2.0,3.6390660705414803,0.0,6.66134128166915,0.0,15.17305514157973,4.81,4.66,0.0,0.87,0.59,6,2008,40.26,402.59999999999997,20.13
2008-09-30,207.38999999999993,20.19,0.04506696428571429,0.010133928571428585,77.89999999999999,48.489999999999995,111.16999999999999,1.31,158.89999999999998,44.11,34.61,143.32,170.63,390.04,1351.96,1776.16,134.2,21.0,221.84,485.15,338.56,823.72,450.0,952.44,-17.660000000000025,-39.379999999999995,-17.849999999999994,62.68000000000001,7.2691827637444275,0.62,0.86,0.09,0.1,1.11,4.546755952380953,13.680327380952383,8.472589285714287,9.714434523809523,17.606160714285714,6.49,6.3,0.0,0.8,0.45,9,2008,4.540000000000006,448.0,40.32
2008-12-31,176.45000000000005,-8.760000000000002,-0.019429657794676813,0.0006337135614701975,57.54999999999998,9.129999999999995,71.17000000000002,1.43,167.32000000000005,1.7900000000000063,31.66,142.99,100.59,321.63,1560.45,1925.59,129.7,205.88,221.02,671.34,310.58,981.92,450.0,943.68,257.12,-209.46999999999997,-50.59000000000003,62.03999999999999,-18.40099315068493,0.68,1.04,0.07,0.1,1.43,-1.820836501901141,-7.6164258555133095,-3.708288973384031,-4.274524714828899,-10.858403041825097,4.0,3.87,0.0,0.48,0.33,12,2008,0.2857142857142776,450.8571428571428,31.56
2009-03-31,138.66,-29.56,-0.07,0.0,10.28,-13.33,49.05,1.15,151.99,-18.65,22.66,109.48,87.34,272.84,1526.13,1837.7,127.21,116.04,230.28,587.68,335.91,923.58,450.0,914.12,22.01,-34.28,3.27,62.38,-4.1075,0.57,1.01,-0.07,0.0,0.0,-6.44,-2.96,-12.92,-12.6,-4.28,-24.02,-21.32,0.0,0.46,0.32,3,2009,0.0,422.2857142857142,-29.56
2009-06-30,127.1,-6.790000000000003,-0.014943603851444297,0.05,33.64,9.79,72.79,1.31,117.32,13.059999999999999,12.66,99.82,83.16,241.16,1564.33,1839.3,151.23,76.24,239.81,584.0,370.48,954.48,450.0,884.82,61.53,-76.02,4.49,62.99999999999999,-21.922422680412364,0.67,1.08,-0.08,0.05,-0.63,-1.4794167812929853,-0.14943603851444298,-3.0709105914718036,-2.988720770288859,-0.20921045392022017,-14.73,-13.68,-0.12,0.41,0.27,6,2009,22.71875,454.375,-36.35
2009-09-30,129.21000000000004,-33.080000000000005,-0.07146766527437708,0.0009172907964856789,20.129999999999995,-17.45,47.43000000000001,1.44,146.64999999999998,-13.18,6.44,81.25,39.42,165.53,1590.43,1794.32,151.69,27.6,239.94,542.78,399.8,942.58,450.0,851.74,55.08,-6.019999999999996,-55.28,64.88,-5.0372430471584035,0.76,1.11,-0.15,0.05,-0.33,-7.375463056315715,-2.2488492006337317,-15.532305919631286,-14.67469393633876,-3.201751404292093,-18.6,-17.58,-0.45,0.3,0.23,9,2009,0.424583333333338,462.86666666666673,-69.43
2009-12-31,109.32999999999998,-24.159999999999997,-0.05421091997008226,-0.0019296933433059153,17.430000000000007,-9.830000000000002,8.810000000000002,1.33,119.16000000000003,-13.14,7.72,59.04,29.59,138.64,1602.96,1791.51,125.48,43.46,245.95,580.96,382.98,963.93,450.0,827.58,34.43000000000001,0.8599999999999994,-34.01,18.640000000000015,-6.1302224751655645,0.72,1.16,-0.21,0.05,-0.24,-5.390114328453893,-1.7140976600064104,-11.678581044983437,-10.91446522064323,-2.6331018271182813,-19.82,-18.56,-0.5,0.24,0.19,12,2009,-0.860000000000003,445.6666666666667,-93.59
